epoch,phase,payload_mb,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,2048,30000,0.282626,30.5841,-0.24254,3,24,0.0379,5743.498
1,phase1,2048,30000,0.290837,30.2749,-0.231268,3,24,0.039,5743.498
2,phase1,2048,30000,0.427901,20.0857,-0.103587,3,24,0.0573,5743.498
3,phase1,2048,30000,0.427222,20.1258,-0.040117,3,24,0.0572,5743.498
4,phase1,2048,30000,0.431289,19.9361,0.000111,3,24,0.0578,5743.498
5,phase1,2048,30000,0.425502,20.2029,0.024377,3,24,0.057,5743.498
6,phase1,2048,30000,0.434023,19.8053,0.044962,3,24,0.0581,5743.498
7,phase2,256,30000,0.057278,18.8854,-0.065734,3,24,0.0077,5743.498
8,phase2,256,30000,0.055195,19.5665,-0.15245,3,24,0.0074,5743.498
9,phase2,256,30000,0.056037,19.2358,-0.221598,3,24,0.0075,5743.498
10,phase2,256,30000,0.055819,19.3445,-0.278227,3,24,0.0075,5743.498
11,phase2,256,30000,0.056191,19.1716,-0.325337,3,24,0.0075,5743.498
12,phase2,256,30000,0.056079,19.2196,-0.365219,3,24,0.0075,5743.498
13,phase2,256,30000,0.054759,19.652,-0.399657,3,24,0.0073,5743.498
14,phase2,256,30000,0.056199,19.183,-0.429265,3,24,0.0075,5743.498
