epoch,phase,payload_mb,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,2048,30000,0.292898,29.4882,-0.215075,2,16,0.0392,5743.498
1,phase1,2048,30000,0.302856,29.4471,-0.201292,2,16,0.0406,5743.498
2,phase1,2048,30000,0.418665,20.5335,-0.091793,4,32,0.0561,5743.498
3,phase1,2048,30000,0.522889,16.4405,0.03279,4,32,0.07,5743.498
4,phase1,2048,30000,0.525065,16.3679,0.108702,4,32,0.0703,5743.498
5,phase1,2048,30000,0.520675,16.5112,0.157309,4,32,0.0697,5743.498
6,phase1,2048,30000,0.523774,16.4065,0.193046,4,32,0.0701,5743.498
7,phase2,256,30000,0.065752,16.3962,0.066678,4,32,0.0088,5743.498
8,phase2,256,30000,0.066613,16.1632,-0.031353,4,32,0.0089,5743.498
9,phase2,256,30000,0.067133,16.0734,-0.109666,2,16,0.009,5743.498
10,phase2,256,30000,0.056156,19.1793,-0.176388,2,16,0.0075,5743.498
11,phase2,256,30000,0.058123,18.581,-0.231574,2,16,0.0078,5743.498
12,phase2,256,30000,0.05629,19.178,-0.278625,2,16,0.0075,5743.498
13,phase2,256,30000,0.055804,19.3217,-0.319048,2,16,0.0075,5743.498
14,phase2,256,30000,0.056007,19.2458,-0.354045,2,16,0.0075,5743.498
