iter,epoch,payload_mb,sleep_us,comm_dur_s,bw_gbps,phase
0,0,2048,30000,0.399879,21.4813,phase1
1,0,2048,30000,0.289629,29.6584,phase1
2,0,2048,30000,0.291559,29.4621,phase1
3,0,2048,30000,0.284501,30.193,phase1
4,0,2048,30000,0.287044,29.9255,phase1
5,0,2048,30000,0.290286,29.5913,phase1
6,0,2048,30000,0.290474,29.5722,phase1
7,0,2048,30000,0.29225,29.3924,phase1
8,0,2048,30000,0.286174,30.0165,phase1
9,0,2048,30000,0.294718,29.1463,phase1
10,0,2048,30000,0.289787,29.6422,phase1
11,0,2048,30000,0.275767,31.1492,phase1
12,0,2048,30000,0.286241,30.0095,phase1
13,0,2048,30000,0.278811,30.8091,phase1
14,0,2048,30000,0.284109,30.2346,phase1
15,0,2048,30000,0.29038,29.5817,phase1
16,0,2048,30000,0.285276,30.111,phase1
17,0,2048,30000,0.284323,30.2119,phase1
18,0,2048,30000,0.286647,29.9669,phase1
19,0,2048,30000,0.290106,29.6097,phase1
20,1,2048,30000,0.420847,20.4111,phase1
21,1,2048,30000,0.285378,30.1002,phase1
22,1,2048,30000,0.278721,30.8191,phase1
23,1,2048,30000,0.286103,30.0239,phase1
24,1,2048,30000,0.277949,30.9047,phase1
25,1,2048,30000,0.269482,31.8757,phase1
26,1,2048,30000,0.266362,32.2491,phase1
27,1,2048,30000,0.262702,32.6984,phase1
28,1,2048,30000,0.261636,32.8316,phase1
29,1,2048,30000,0.262481,32.7259,phase1
30,1,2048,30000,0.255036,33.6813,phase1
31,1,2048,30000,0.258621,33.2144,phase1
32,1,2048,30000,0.26609,32.2821,phase1
33,1,2048,30000,0.25721,33.3966,phase1
34,1,2048,30000,0.253939,33.8268,phase1
35,1,2048,30000,0.272982,31.4671,phase1
36,1,2048,30000,0.316373,27.1513,phase1
37,1,2048,30000,0.417347,20.5823,phase1
38,1,2048,30000,0.443418,19.3721,phase1
39,1,2048,30000,0.44444,19.3275,phase1
40,2,2048,30000,0.431671,19.8993,phase1
41,2,2048,30000,0.408212,21.0428,phase1
42,2,2048,30000,0.427676,20.0852,phase1
43,2,2048,30000,0.422072,20.3518,phase1
44,2,2048,30000,0.411826,20.8582,phase1
