epoch,phase,payload_mb,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,256,30000,0.084429,13.1777,0.922121,6,48,0.0935,694.467
1,phase1,256,30000,0.080645,13.4197,0.878943,6,48,0.0893,694.467
2,phase1,256,30000,0.078107,13.8701,0.84586,6,48,0.0865,694.467
3,phase1,256,30000,0.07986,13.5836,0.839027,6,48,0.0885,694.467
4,phase1,256,30000,0.080207,13.4494,0.83599,6,48,0.0888,694.467
5,phase1,256,30000,0.081198,13.3289,0.838003,6,48,0.0899,694.467
6,phase1,256,30000,0.068246,15.7737,0.798465,6,48,0.0756,694.467
7,phase2,2048,30000,0.526389,16.3259,2.037424,6,48,0.5831,694.467
8,phase2,2048,30000,0.523499,16.4191,2.993952,6,48,0.5799,694.467
9,phase2,2048,30000,0.521954,16.469,3.755559,6,48,0.5781,694.467
10,phase2,2048,30000,0.521639,16.483,4.377446,6,48,0.5778,694.467
11,phase2,2048,30000,0.485823,19.241,4.829184,6,48,0.5381,694.467
12,phase2,2048,30000,0.265273,32.4045,4.832981,6,48,0.2938,694.467
13,phase2,2048,30000,0.265789,32.3462,4.83705,6,48,0.2944,694.467
14,phase2,2048,30000,0.265673,32.3546,4.840404,6,48,0.2943,694.467
