iter,epoch,payload_mb,sleep_us,comm_dur_s,bw_gbps,phase
0,0,256,30000,0.172744,6.2158,phase1
1,0,256,30000,0.090066,11.9217,phase1
2,0,256,30000,0.085379,12.5762,phase1
3,0,256,30000,0.072841,14.7408,phase1
4,0,256,30000,0.076863,13.9695,phase1
5,0,256,30000,0.076146,14.1011,phase1
6,0,256,30000,0.06868,15.6341,phase1
7,0,256,30000,0.076026,14.1233,phase1
8,0,256,30000,0.080433,13.3496,phase1
9,0,256,30000,0.076637,14.0107,phase1
10,0,256,30000,0.089977,11.9336,phase1
11,0,256,30000,0.080923,13.2686,phase1
12,0,256,30000,0.080454,13.346,phase1
13,0,256,30000,0.080385,13.3574,phase1
14,0,256,30000,0.076865,13.9692,phase1
15,0,256,30000,0.08142,13.1877,phase1
16,0,256,30000,0.082731,12.9786,phase1
17,0,256,30000,0.082022,13.0909,phase1
18,0,256,30000,0.067439,15.9216,phase1
19,0,256,30000,0.090546,11.8585,phase1
20,1,256,30000,0.088837,12.0866,phase1
21,1,256,30000,0.086109,12.4695,phase1
22,1,256,30000,0.074251,14.4609,phase1
23,1,256,30000,0.085891,12.5011,phase1
24,1,256,30000,0.089347,12.0177,phase1
25,1,256,30000,0.080285,13.3741,phase1
26,1,256,30000,0.076876,13.9672,phase1
27,1,256,30000,0.080729,13.3005,phase1
28,1,256,30000,0.089402,12.0103,phase1
29,1,256,30000,0.081434,13.1855,phase1
30,1,256,30000,0.080245,13.3807,phase1
31,1,256,30000,0.080454,13.3461,phase1
32,1,256,30000,0.068767,15.6142,phase1
33,1,256,30000,0.084574,12.6958,phase1
34,1,256,30000,0.072128,14.8867,phase1
35,1,256,30000,0.080642,13.3149,phase1
36,1,256,30000,0.07335,14.6386,phase1
37,1,256,30000,0.06489,16.5472,phase1
38,1,256,30000,0.085631,12.5392,phase1
39,1,256,30000,0.089052,12.0575,phase1
40,2,256,30000,0.080393,13.3562,phase1
41,2,256,30000,0.064544,16.6357,phase1
42,2,256,30000,0.064846,16.5582,phase1
43,2,256,30000,0.077644,13.829,phase1
44,2,256,30000,0.084559,12.6981,phase1
45,2,256,30000,0.081197,13.2239,phase1
46,2,256,30000,0.075963,14.1351,phase1
47,2,256,30000,0.076438,14.0472,phase1
48,2,256,30000,0.0815,13.1748,phase1
49,2,256,30000,0.072544,14.8013,phase1
50,2,256,30000,0.080441,13.3481,phase1
51,2,256,30000,0.085218,12.6,phase1
52,2,256,30000,0.089294,12.0248,phase1
53,2,256,30000,0.063951,16.79,phase1
54,2,256,30000,0.080375,13.3591,phase1
55,2,256,30000,0.080504,13.3378,phase1
56,2,256,30000,0.090614,11.8496,phase1
57,2,256,30000,0.077318,13.8874,phase1
58,2,256,30000,0.077892,13.785,phase1
59,2,256,30000,0.076908,13.9615,phase1
60,3,256,30000,0.07714,13.9195,phase1
61,3,256,30000,0.077291,13.8922,phase1
62,3,256,30000,0.067777,15.8422,phase1
63,3,256,30000,0.084696,12.6776,phase1
64,3,256,30000,0.077212,13.9064,phase1
65,3,256,30000,0.071793,14.9561,phase1
66,3,256,30000,0.073089,14.6909,phase1
67,3,256,30000,0.080871,13.2772,phase1
68,3,256,30000,0.077652,13.8277,phase1
69,3,256,30000,0.063246,16.9773,phase1
70,3,256,30000,0.088968,12.0689,phase1
71,3,256,30000,0.085024,12.6288,phase1
72,3,256,30000,0.080462,13.3447,phase1
73,3,256,30000,0.07682,13.9774,phase1
74,3,256,30000,0.077264,13.8971,phase1
75,3,256,30000,0.086196,12.457,phase1
76,3,256,30000,0.077495,13.8556,phase1
77,3,256,30000,0.102018,10.525,phase1
78,3,256,30000,0.084701,12.6769,phase1
79,3,256,30000,0.087482,12.2738,phase1
80,4,256,30000,0.085059,12.6235,phase1
81,4,256,30000,0.076123,14.1053,phase1
82,4,256,30000,0.080447,13.3472,phase1
83,4,256,30000,0.07731,13.8889,phase1
84,4,256,30000,0.06831,15.7186,phase1
85,4,256,30000,0.089387,12.0123,phase1
86,4,256,30000,0.084539,12.7012,phase1
87,4,256,30000,0.081075,13.2437,phase1
88,4,256,30000,0.086003,12.4849,phase1
89,4,256,30000,0.073011,14.7066,phase1
90,4,256,30000,0.080789,13.2907,phase1
91,4,256,30000,0.089011,12.0631,phase1
92,4,256,30000,0.080282,13.3746,phase1
93,4,256,30000,0.085376,12.5766,phase1
94,4,256,30000,0.080233,13.3829,phase1
95,4,256,30000,0.075959,14.1358,phase1
96,4,256,30000,0.076416,14.0512,phase1
97,4,256,30000,0.080831,13.2837,phase1
98,4,256,30000,0.081733,13.1372,phase1
99,4,256,30000,0.072253,14.8608,phase1
100,5,256,30000,0.084686,12.6791,phase1
101,5,256,30000,0.090345,11.8849,phase1
102,5,256,30000,0.080495,13.3392,phase1
103,5,256,30000,0.081878,13.1139,phase1
104,5,256,30000,0.081931,13.1054,phase1
105,5,256,30000,0.084769,12.6667,phase1
106,5,256,30000,0.088933,12.0736,phase1
107,5,256,30000,0.085137,12.6119,phase1
108,5,256,30000,0.078449,13.6871,phase1
109,5,256,30000,0.088831,12.0874,phase1
110,5,256,30000,0.088914,12.0761,phase1
111,5,256,30000,0.080854,13.28,phase1
112,5,256,30000,0.080428,13.3503,phase1
113,5,256,30000,0.072133,14.8856,phase1
114,5,256,30000,0.080672,13.3099,phase1
115,5,256,30000,0.077391,13.8743,phase1
116,5,256,30000,0.077199,13.9088,phase1
117,5,256,30000,0.080564,13.3278,phase1
118,5,256,30000,0.080749,13.2972,phase1
119,5,256,30000,0.059591,18.0184,phase1
120,6,256,30000,0.062982,17.0485,phase1
121,6,256,30000,0.072077,14.8972,phase1
122,6,256,30000,0.071571,15.0024,phase1
123,6,256,30000,0.067176,15.984,phase1
124,6,256,30000,0.067429,15.9239,phase1
125,6,256,30000,0.063005,17.0422,phase1
126,6,256,30000,0.069373,15.4777,phase1
127,6,256,30000,0.071758,14.9633,phase1
128,6,256,30000,0.071758,14.9633,phase1
129,6,256,30000,0.067418,15.9267,phase1
130,6,256,30000,0.067428,15.9243,phase1
