epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.300795,14.3712,-0.482562,3,16,0.5135,3905.163
1,phase1,1024,3.0,30000,0.298824,14.4037,-0.48434,3,16,0.5101,3905.163
2,phase1,1024,3.0,30000,0.293485,14.6525,-0.487973,3,16,0.501,3905.163
3,phase1,1024,3.0,30000,0.300814,14.2946,-0.486657,3,16,0.5135,3905.163
4,phase1,1024,3.0,30000,0.30047,14.3132,-0.485988,3,16,0.5129,3905.163
5,phase1,1024,3.0,30000,0.297533,14.4464,-0.486376,3,16,0.5079,3905.163
6,phase1,1024,3.0,30000,0.29869,14.4008,-0.486367,3,16,0.5099,3905.163
7,phase2,1024,1.2,30000,0.294945,14.5761,0.282087,3,16,1.2588,3905.163
8,phase2,1024,1.2,30000,0.295645,14.5572,0.280875,3,16,1.2618,3905.163
9,phase2,1024,1.2,30000,0.292869,14.6859,0.278718,3,16,1.2499,3905.163
10,phase2,1024,1.2,30000,0.293239,14.6663,0.277104,3,16,1.2515,3905.163
11,phase2,1024,1.2,30000,0.292371,14.7005,0.275446,3,16,1.2478,3905.163
12,phase2,1024,1.2,30000,0.153112,28.1444,0.227696,3,16,0.6535,3905.163
13,phase2,1024,1.2,30000,0.153011,28.0999,0.186705,3,16,0.653,3905.163
14,phase2,1024,1.2,30000,0.150465,28.5887,0.150451,3,16,0.6422,3905.163
