iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.369737,11.6163,phase1
1,0,1024,1.2,30000,0.203123,21.1446,phase1
2,0,1024,1.2,30000,0.16179,26.5466,phase1
3,0,1024,1.2,30000,0.195403,21.9801,phase1
4,0,1024,1.2,30000,0.179923,23.8711,phase1
5,0,1024,1.2,30000,0.174293,24.6422,phase1
6,0,1024,1.2,30000,0.17112,25.0992,phase1
7,0,1024,1.2,30000,0.177365,24.2154,phase1
8,0,1024,1.2,30000,0.173355,24.7756,phase1
9,0,1024,1.2,30000,0.178762,24.0261,phase1
10,0,1024,1.2,30000,0.17603,24.3991,phase1
11,0,1024,1.2,30000,0.181277,23.6929,phase1
12,0,1024,1.2,30000,0.173459,24.7607,phase1
13,0,1024,1.2,30000,0.170216,25.2324,phase1
14,0,1024,1.2,30000,0.175286,24.5026,phase1
15,0,1024,1.2,30000,0.157316,27.3016,phase1
16,0,1024,1.2,30000,0.180722,23.7656,phase1
17,0,1024,1.2,30000,0.179289,23.9555,phase1
18,0,1024,1.2,30000,0.182703,23.5079,phase1
19,0,1024,1.2,30000,0.185941,23.0985,phase1
20,1,1024,1.2,30000,0.193493,22.1971,phase1
21,1,1024,1.2,30000,0.177977,24.1321,phase1
22,1,1024,1.2,30000,0.165905,25.8881,phase1
23,1,1024,1.2,30000,0.174479,24.616,phase1
24,1,1024,1.2,30000,0.175232,24.5102,phase1
25,1,1024,1.2,30000,0.177498,24.1973,phase1
26,1,1024,1.2,30000,0.185395,23.1666,phase1
27,1,1024,1.2,30000,0.174477,24.6162,phase1
28,1,1024,1.2,30000,0.156659,27.416,phase1
29,1,1024,1.2,30000,0.166663,25.7703,phase1
30,1,1024,1.2,30000,0.168823,25.4407,phase1
31,1,1024,1.2,30000,0.180116,23.8456,phase1
32,1,1024,1.2,30000,0.168878,25.4324,phase1
33,1,1024,1.2,30000,0.162693,26.3992,phase1
34,1,1024,1.2,30000,0.182486,23.5358,phase1
35,1,1024,1.2,30000,0.187091,22.9566,phase1
36,1,1024,1.2,30000,0.19102,22.4844,phase1
37,1,1024,1.2,30000,0.164431,26.1202,phase1
38,1,1024,1.2,30000,0.14835,28.9515,phase1
39,1,1024,1.2,30000,0.186371,23.0453,phase1
40,2,1024,1.2,30000,0.181623,23.6477,phase1
41,2,1024,1.2,30000,0.181621,23.648,phase1
42,2,1024,1.2,30000,0.199526,21.5259,phase1
43,2,1024,1.2,30000,0.165617,25.9331,phase1
44,2,1024,1.2,30000,0.165386,25.9694,phase1
45,2,1024,1.2,30000,0.194215,22.1145,phase1
46,2,1024,1.2,30000,0.205139,20.9369,phase1
47,2,1024,1.2,30000,0.172996,24.8269,phase1
48,2,1024,1.2,30000,0.191958,22.3746,phase1
49,2,1024,1.2,30000,0.183051,23.4632,phase1
50,2,1024,1.2,30000,0.197423,21.7551,phase1
51,2,1024,1.2,30000,0.203737,21.0809,phase1
52,2,1024,1.2,30000,0.179325,23.9508,phase1
53,2,1024,1.2,30000,0.175348,24.4939,phase1
54,2,1024,1.2,30000,0.185444,23.1605,phase1
55,2,1024,1.2,30000,0.191054,22.4804,phase1
56,2,1024,1.2,30000,0.167631,25.6216,phase1
57,2,1024,1.2,30000,0.19052,22.5434,phase1
58,2,1024,1.2,30000,0.178288,24.09,phase1
59,2,1024,1.2,30000,0.153389,28.0005,phase1
