epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.173131,25.6199,-0.312199,3,16,0.6868,4201.087
1,phase1,1024,1.2,30000,0.169788,25.4478,-0.319047,3,16,0.6736,4201.087
2,phase1,1024,1.2,30000,0.167497,25.8109,-0.324262,3,16,0.6645,4201.087
3,phase1,1024,1.2,30000,0.29247,15.914,-0.201417,3,16,1.1603,4201.087
4,phase1,1024,1.2,30000,0.329128,13.1463,-0.098303,3,16,1.3057,4201.087
5,phase1,1024,1.2,30000,0.331738,13.009,-0.027795,3,16,1.3161,4201.087
6,phase1,1024,1.2,30000,0.331714,13.014,0.022575,3,16,1.316,4201.087
7,phase2,1024,3.0,30000,0.319594,13.5053,-0.57827,3,16,0.5072,4201.087
8,phase2,1024,3.0,30000,0.3339,12.9226,-0.56587,3,16,0.5299,4201.087
9,phase2,1024,3.0,30000,0.33762,12.8157,-0.555357,3,16,0.5358,4201.087
10,phase2,1024,3.0,30000,0.325716,13.235,-0.548473,3,16,0.5169,4201.087
11,phase2,1024,3.0,30000,0.338093,12.8131,-0.5411,3,16,0.5365,4201.087
12,phase2,1024,3.0,30000,0.323368,13.3729,-0.536658,3,16,0.5131,4201.087
13,phase2,1024,3.0,30000,0.33078,13.0137,-0.532012,3,16,0.5249,4201.087
14,phase2,1024,3.0,30000,0.330731,13.0208,-0.527989,3,16,0.5248,4201.087
