iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.340185,12.6254,phase1
1,0,1024,1.2,30000,0.184032,23.3382,phase1
2,0,1024,1.2,30000,0.194093,22.1283,phase1
3,0,1024,1.2,30000,0.158789,27.0482,phase1
4,0,1024,1.2,30000,0.172738,24.864,phase1
5,0,1024,1.2,30000,0.163063,26.3393,phase1
6,0,1024,1.2,30000,0.159328,26.9567,phase1
7,0,1024,1.2,30000,0.159472,26.9324,phase1
8,0,1024,1.2,30000,0.163901,26.2046,phase1
9,0,1024,1.2,30000,0.152346,28.1922,phase1
10,0,1024,1.2,30000,0.160574,26.7476,phase1
11,0,1024,1.2,30000,0.173524,24.7515,phase1
12,0,1024,1.2,30000,0.191137,22.4706,phase1
13,0,1024,1.2,30000,0.147498,29.1188,phase1
14,0,1024,1.2,30000,0.141801,30.2887,phase1
15,0,1024,1.2,30000,0.15692,27.3704,phase1
16,0,1024,1.2,30000,0.172135,24.9511,phase1
17,0,1024,1.2,30000,0.157835,27.2118,phase1
18,0,1024,1.2,30000,0.159031,27.0071,phase1
19,0,1024,1.2,30000,0.154207,27.8519,phase1
20,1,1024,1.2,30000,0.163324,26.2973,phase1
21,1,1024,1.2,30000,0.165942,25.8823,phase1
22,1,1024,1.2,30000,0.167965,25.5706,phase1
23,1,1024,1.2,30000,0.18808,22.8359,phase1
24,1,1024,1.2,30000,0.184924,23.2256,phase1
25,1,1024,1.2,30000,0.172396,24.9133,phase1
26,1,1024,1.2,30000,0.184502,23.2786,phase1
27,1,1024,1.2,30000,0.150547,28.5292,phase1
28,1,1024,1.2,30000,0.177659,24.1754,phase1
29,1,1024,1.2,30000,0.157062,27.3457,phase1
30,1,1024,1.2,30000,0.17021,25.2333,phase1
31,1,1024,1.2,30000,0.165028,26.0256,phase1
32,1,1024,1.2,30000,0.162014,26.5098,phase1
33,1,1024,1.2,30000,0.146902,29.2369,phase1
34,1,1024,1.2,30000,0.162439,26.4406,phase1
35,1,1024,1.2,30000,0.177173,24.2417,phase1
36,1,1024,1.2,30000,0.206673,20.7815,phase1
37,1,1024,1.2,30000,0.1666,25.7802,phase1
38,1,1024,1.2,30000,0.161477,26.5981,phase1
39,1,1024,1.2,30000,0.164846,26.0544,phase1
40,2,1024,1.2,30000,0.180564,23.7863,phase1
41,2,1024,1.2,30000,0.154419,27.8138,phase1
42,2,1024,1.2,30000,0.171237,25.0821,phase1
43,2,1024,1.2,30000,0.193605,22.1842,phase1
44,2,1024,1.2,30000,0.151752,28.3026,phase1
45,2,1024,1.2,30000,0.157377,27.291,phase1
46,2,1024,1.2,30000,0.171412,25.0564,phase1
47,2,1024,1.2,30000,0.147073,29.203,phase1
48,2,1024,1.2,30000,0.179989,23.8624,phase1
49,2,1024,1.2,30000,0.168571,25.4787,phase1
50,2,1024,1.2,30000,0.180809,23.7542,phase1
51,2,1024,1.2,30000,0.173816,24.7099,phase1
52,2,1024,1.2,30000,0.166108,25.8564,phase1
53,2,1024,1.2,30000,0.156227,27.4918,phase1
54,2,1024,1.2,30000,0.153384,28.0014,phase1
55,2,1024,1.2,30000,0.195027,22.0225,phase1
56,2,1024,1.2,30000,0.177978,24.132,phase1
57,2,1024,1.2,30000,0.155647,27.5944,phase1
58,2,1024,1.2,30000,0.152889,28.092,phase1
59,2,1024,1.2,30000,0.162056,26.503,phase1
60,3,1024,1.2,30000,0.168107,25.549,phase1
61,3,1024,1.2,30000,0.158493,27.0988,phase1
62,3,1024,1.2,30000,0.185932,23.0997,phase1
63,3,1024,1.2,30000,0.157936,27.1944,phase1
64,3,1024,1.2,30000,0.240451,17.8622,phase1
65,3,1024,1.2,30000,0.292564,14.6804,phase1
66,3,1024,1.2,30000,0.31968,13.4352,phase1
67,3,1024,1.2,30000,0.305613,14.0536,phase1
68,3,1024,1.2,30000,0.327312,13.1219,phase1
69,3,1024,1.2,30000,0.383961,11.1859,phase1
70,3,1024,1.2,30000,0.3924,10.9454,phase1
71,3,1024,1.2,30000,0.315677,13.6056,phase1
72,3,1024,1.2,30000,0.37105,11.5752,phase1
73,3,1024,1.2,30000,0.301383,14.2508,phase1
74,3,1024,1.2,30000,0.327256,13.1242,phase1
75,3,1024,1.2,30000,0.298508,14.3881,phase1
76,3,1024,1.2,30000,0.314331,13.6638,phase1
77,3,1024,1.2,30000,0.322804,13.3052,phase1
78,3,1024,1.2,30000,0.294815,14.5684,phase1
79,3,1024,1.2,30000,0.371124,11.5729,phase1
80,4,1024,1.2,30000,0.324721,13.2266,phase1
