epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.203189,21.5769,-0.192988,2,24,0.8061,4201.087
1,phase1,1024,1.2,30000,0.19713,22.2738,-0.205045,2,24,0.7821,4201.087
2,phase1,1024,1.2,30000,0.270783,18.9167,-0.110873,2,24,1.0743,4201.087
3,phase1,1024,1.2,30000,0.272297,16.9948,-0.061026,4,0,1.0803,4201.087
4,phase1,1024,1.2,30000,0.246041,17.8601,-0.05194,4,0,0.9761,4201.087
5,phase1,1024,1.2,30000,0.240235,18.076,-0.049722,4,0,0.9531,4201.087
6,phase1,1024,1.2,30000,0.239176,18.1772,-0.048683,4,0,0.9489,4201.087
7,phase2,1024,3.0,30000,0.246054,17.61,-0.617799,1,32,0.3905,4201.087
8,phase2,1024,3.0,30000,0.386642,11.1912,-0.591718,1,32,0.6136,4201.087
9,phase2,1024,3.0,30000,0.399465,10.7746,-0.568824,1,32,0.6339,4201.087
10,phase2,1024,3.0,30000,0.40071,10.9017,-0.549928,1,32,0.6359,4201.087
11,phase2,1024,3.0,30000,0.411098,10.4625,-0.532791,1,32,0.6524,4201.087
12,phase2,1024,3.0,30000,0.417283,10.3213,-0.517146,1,32,0.6622,4201.087
13,phase2,1024,3.0,30000,0.415326,10.3597,-0.504321,1,32,0.6591,4201.087
14,phase2,1024,3.0,30000,0.341543,14.5161,-0.501054,1,32,0.542,4201.087
