iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.353456,12.1514,phase1
1,0,1024,1.2,30000,0.217199,19.7743,phase1
2,0,1024,1.2,30000,0.192306,22.334,phase1
3,0,1024,1.2,30000,0.205305,20.92,phase1
4,0,1024,1.2,30000,0.20026,21.4469,phase1
5,0,1024,1.2,30000,0.189094,22.7134,phase1
6,0,1024,1.2,30000,0.202427,21.2173,phase1
7,0,1024,1.2,30000,0.183627,23.3897,phase1
8,0,1024,1.2,30000,0.190611,22.5327,phase1
9,0,1024,1.2,30000,0.204643,20.9876,phase1
10,0,1024,1.2,30000,0.171036,25.1115,phase1
11,0,1024,1.2,30000,0.200235,21.4496,phase1
12,0,1024,1.2,30000,0.196973,21.8049,phase1
13,0,1024,1.2,30000,0.172714,24.8674,phase1
14,0,1024,1.2,30000,0.208531,20.5963,phase1
15,0,1024,1.2,30000,0.185206,23.1903,phase1
16,0,1024,1.2,30000,0.194769,22.0516,phase1
17,0,1024,1.2,30000,0.19217,22.3498,phase1
18,0,1024,1.2,30000,0.208101,20.6389,phase1
19,0,1024,1.2,30000,0.195126,22.0113,phase1
20,1,1024,1.2,30000,0.342748,12.531,phase1
21,1,1024,1.2,30000,0.172874,24.8444,phase1
22,1,1024,1.2,30000,0.173189,24.7994,phase1
23,1,1024,1.2,30000,0.185565,23.1454,phase1
24,1,1024,1.2,30000,0.191447,22.4342,phase1
25,1,1024,1.2,30000,0.209011,20.549,phase1
26,1,1024,1.2,30000,0.183098,23.4572,phase1
27,1,1024,1.2,30000,0.185538,23.1488,phase1
28,1,1024,1.2,30000,0.161869,26.5336,phase1
29,1,1024,1.2,30000,0.171978,24.9739,phase1
30,1,1024,1.2,30000,0.184327,23.3009,phase1
31,1,1024,1.2,30000,0.199416,21.5377,phase1
32,1,1024,1.2,30000,0.214455,20.0274,phase1
33,1,1024,1.2,30000,0.19959,21.519,phase1
34,1,1024,1.2,30000,0.198178,21.6723,phase1
35,1,1024,1.2,30000,0.204345,21.0183,phase1
36,1,1024,1.2,30000,0.19174,22.4,phase1
37,1,1024,1.2,30000,0.185746,23.1228,phase1
38,1,1024,1.2,30000,0.183538,23.4009,phase1
39,1,1024,1.2,30000,0.203941,21.0598,phase1
40,2,1024,1.2,30000,0.201115,21.3557,phase1
41,2,1024,1.2,30000,0.173766,24.7169,phase1
42,2,1024,1.2,30000,0.173726,24.7226,phase1
43,2,1024,1.2,30000,0.185703,23.1281,phase1
44,2,1024,1.2,30000,0.177837,24.1511,phase1
45,2,1024,1.2,30000,0.20678,20.7707,phase1
46,2,1024,1.2,30000,0.172118,24.9536,phase1
47,2,1024,1.2,30000,0.198923,21.5911,phase1
48,2,1024,1.2,30000,0.168801,25.444,phase1
49,2,1024,1.2,30000,0.155032,27.7038,phase1
50,2,1024,1.2,30000,0.178758,24.0267,phase1
51,2,1024,1.2,30000,0.215651,19.9163,phase1
52,2,1024,1.2,30000,0.190006,22.6043,phase1
53,2,1024,1.2,30000,0.248498,17.2837,phase1
54,2,1024,1.2,30000,0.458829,9.3607,phase1
55,2,1024,1.2,30000,0.483195,8.8887,phase1
56,2,1024,1.2,30000,0.462388,9.2887,phase1
57,2,1024,1.2,30000,0.490146,8.7626,phase1
58,2,1024,1.2,30000,0.424232,10.1241,phase1
59,2,1024,1.2,30000,0.450155,9.5411,phase1
60,3,1024,1.2,30000,0.462784,9.2807,phase1
61,3,1024,1.2,30000,0.46442,9.248,phase1
62,3,1024,1.2,30000,0.501286,8.5679,phase1
63,3,1024,1.2,30000,0.337601,12.722,phase1
64,3,1024,1.2,30000,0.188691,22.7619,phase1
65,3,1024,1.2,30000,0.22352,19.2151,phase1
66,3,1024,1.2,30000,0.23902,17.9691,phase1
67,3,1024,1.2,30000,0.231789,18.5296,phase1
68,3,1024,1.2,30000,0.22386,19.186,phase1
69,3,1024,1.2,30000,0.232731,18.4546,phase1
70,3,1024,1.2,30000,0.2236,19.2083,phase1
71,3,1024,1.2,30000,0.242519,17.7098,phase1
72,3,1024,1.2,30000,0.218866,19.6238,phase1
73,3,1024,1.2,30000,0.228637,18.7851,phase1
74,3,1024,1.2,30000,0.228727,18.7777,phase1
75,3,1024,1.2,30000,0.231843,18.5253,phase1
76,3,1024,1.2,30000,0.235828,18.2123,phase1
77,3,1024,1.2,30000,0.262361,16.3705,phase1
78,3,1024,1.2,30000,0.227405,18.8869,phase1
79,3,1024,1.2,30000,0.240461,17.8614,phase1
80,4,1024,1.2,30000,0.396406,10.8348,phase1
81,4,1024,1.2,30000,0.252543,17.0069,phase1
82,4,1024,1.2,30000,0.241312,17.7984,phase1
83,4,1024,1.2,30000,0.236793,18.1381,phase1
84,4,1024,1.2,30000,0.209945,20.4576,phase1
85,4,1024,1.2,30000,0.238951,17.9742,phase1
86,4,1024,1.2,30000,0.241468,17.7869,phase1
87,4,1024,1.2,30000,0.24976,17.1964,phase1
88,4,1024,1.2,30000,0.27525,15.6039,phase1
89,4,1024,1.2,30000,0.227367,18.89,phase1
90,4,1024,1.2,30000,0.271445,15.8226,phase1
91,4,1024,1.2,30000,0.209924,20.4596,phase1
92,4,1024,1.2,30000,0.240912,17.828,phase1
93,4,1024,1.2,30000,0.258333,16.6257,phase1
94,4,1024,1.2,30000,0.236808,18.1369,phase1
95,4,1024,1.2,30000,0.210187,20.4341,phase1
96,4,1024,1.2,30000,0.218696,19.639,phase1
97,4,1024,1.2,30000,0.271322,15.8298,phase1
98,4,1024,1.2,30000,0.252298,17.0234,phase1
99,4,1024,1.2,30000,0.181096,23.7165,phase1
100,5,1024,1.2,30000,0.214199,20.0513,phase1
101,5,1024,1.2,30000,0.272595,15.7559,phase1
102,5,1024,1.2,30000,0.244479,17.5678,phase1
103,5,1024,1.2,30000,0.249216,17.2339,phase1
104,5,1024,1.2,30000,0.239895,17.9035,phase1
105,5,1024,1.2,30000,0.198447,21.6429,phase1
106,5,1024,1.2,30000,0.251545,17.0744,phase1
107,5,1024,1.2,30000,0.272023,15.789,phase1
108,5,1024,1.2,30000,0.244826,17.5429,phase1
109,5,1024,1.2,30000,0.222846,19.2732,phase1
110,5,1024,1.2,30000,0.249301,17.228,phase1
111,5,1024,1.2,30000,0.235995,18.1994,phase1
112,5,1024,1.2,30000,0.214144,20.0564,phase1
113,5,1024,1.2,30000,0.232476,18.4749,phase1
114,5,1024,1.2,30000,0.289147,14.8539,phase1
115,5,1024,1.2,30000,0.207775,20.6712,phase1
116,5,1024,1.2,30000,0.196953,21.807,phase1
117,5,1024,1.2,30000,0.257668,16.6686,phase1
118,5,1024,1.2,30000,0.240525,17.8566,phase1
119,5,1024,1.2,30000,0.270644,15.8694,phase1
120,6,1024,1.2,30000,0.210797,20.3749,phase1
121,6,1024,1.2,30000,0.275407,15.595,phase1
122,6,1024,1.2,30000,0.206467,20.8022,phase1
123,6,1024,1.2,30000,0.25541,16.816,phase1
124,6,1024,1.2,30000,0.207473,20.7014,phase1
125,6,1024,1.2,30000,0.266698,16.1043,phase1
126,6,1024,1.2,30000,0.228944,18.7599,phase1
127,6,1024,1.2,30000,0.298317,14.3973,phase1
128,6,1024,1.2,30000,0.241068,17.8164,phase1
129,6,1024,1.2,30000,0.223777,19.1931,phase1
130,6,1024,1.2,30000,0.25484,16.8536,phase1
131,6,1024,1.2,30000,0.271319,15.83,phase1
132,6,1024,1.2,30000,0.257961,16.6497,phase1
133,6,1024,1.2,30000,0.262289,16.3749,phase1
134,6,1024,1.2,30000,0.215554,19.9253,phase1
135,6,1024,1.2,30000,0.229132,18.7445,phase1
136,6,1024,1.2,30000,0.227155,18.9076,phase1
137,6,1024,1.2,30000,0.197744,21.7198,phase1
138,6,1024,1.2,30000,0.236196,18.1839,phase1
139,6,1024,1.2,30000,0.216979,19.7944,phase1
140,7,1024,3.0,30000,0.22857,18.7906,phase2
141,7,1024,3.0,30000,0.262228,16.3787,phase2
142,7,1024,3.0,30000,0.317064,13.5461,phase2
143,7,1024,3.0,30000,0.257388,16.6867,phase2
144,7,1024,3.0,30000,0.236423,18.1664,phase2
145,7,1024,3.0,30000,0.271489,15.82,phase2
146,7,1024,3.0,30000,0.253058,16.9722,phase2
147,7,1024,3.0,30000,0.253573,16.9378,phase2
148,7,1024,3.0,30000,0.235853,18.2104,phase2
149,7,1024,3.0,30000,0.245004,17.5302,phase2
150,7,1024,3.0,30000,0.219662,19.5526,phase2
151,7,1024,3.0,30000,0.22846,18.7996,phase2
152,7,1024,3.0,30000,0.245665,17.483,phase2
153,7,1024,3.0,30000,0.227405,18.8869,phase2
154,7,1024,3.0,30000,0.257893,16.6541,phase2
