iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.275465,15.5917,phase1
1,0,1024,1.2,30000,0.179198,23.9678,phase1
2,0,1024,1.2,30000,0.172239,24.9361,phase1
3,0,1024,1.2,30000,0.172772,24.8592,phase1
4,0,1024,1.2,30000,0.156525,27.4394,phase1
5,0,1024,1.2,30000,0.182726,23.5049,phase1
6,0,1024,1.2,30000,0.17835,24.0817,phase1
7,0,1024,1.2,30000,0.176542,24.3283,phase1
8,0,1024,1.2,30000,0.17318,24.8006,phase1
9,0,1024,1.2,30000,0.171213,25.0856,phase1
10,0,1024,1.2,30000,0.17747,24.2011,phase1
11,0,1024,1.2,30000,0.176497,24.3345,phase1
12,0,1024,1.2,30000,0.176944,24.2731,phase1
13,0,1024,1.2,30000,0.179204,23.967,phase1
14,0,1024,1.2,30000,0.173655,24.7327,phase1
15,0,1024,1.2,30000,0.167666,25.6162,phase1
16,0,1024,1.2,30000,0.159838,26.8708,phase1
17,0,1024,1.2,30000,0.176817,24.2904,phase1
18,0,1024,1.2,30000,0.18101,23.7278,phase1
19,0,1024,1.2,30000,0.17904,23.9888,phase1
20,1,1024,1.2,30000,0.173227,24.7939,phase1
21,1,1024,1.2,30000,0.172612,24.8823,phase1
22,1,1024,1.2,30000,0.172046,24.964,phase1
23,1,1024,1.2,30000,0.174121,24.6665,phase1
24,1,1024,1.2,30000,0.152897,28.0906,phase1
25,1,1024,1.2,30000,0.177925,24.1392,phase1
26,1,1024,1.2,30000,0.179086,23.9827,phase1
27,1,1024,1.2,30000,0.179802,23.8872,phase1
28,1,1024,1.2,30000,0.181232,23.6987,phase1
29,1,1024,1.2,30000,0.171003,25.1163,phase1
30,1,1024,1.2,30000,0.166405,25.8104,phase1
31,1,1024,1.2,30000,0.181287,23.6915,phase1
32,1,1024,1.2,30000,0.172457,24.9046,phase1
33,1,1024,1.2,30000,0.169677,25.3126,phase1
34,1,1024,1.2,30000,0.17296,24.8321,phase1
35,1,1024,1.2,30000,0.170852,25.1385,phase1
36,1,1024,1.2,30000,0.168371,25.5089,phase1
37,1,1024,1.2,30000,0.165494,25.9525,phase1
38,1,1024,1.2,30000,0.16327,26.3059,phase1
39,1,1024,1.2,30000,0.172955,24.8329,phase1
40,2,1024,1.2,30000,0.171286,25.0748,phase1
41,2,1024,1.2,30000,0.180132,23.8435,phase1
42,2,1024,1.2,30000,0.158264,27.138,phase1
43,2,1024,1.2,30000,0.169596,25.3247,phase1
44,2,1024,1.2,30000,0.176178,24.3785,phase1
45,2,1024,1.2,30000,0.17491,24.5553,phase1
46,2,1024,1.2,30000,0.180333,23.8169,phase1
47,2,1024,1.2,30000,0.163921,26.2014,phase1
48,2,1024,1.2,30000,0.189231,22.6969,phase1
49,2,1024,1.2,30000,0.170736,25.1557,phase1
50,2,1024,1.2,30000,0.184967,23.2201,phase1
51,2,1024,1.2,30000,0.182475,23.5372,phase1
52,2,1024,1.2,30000,0.182045,23.5929,phase1
53,2,1024,1.2,30000,0.190563,22.5383,phase1
54,2,1024,1.2,30000,0.179186,23.9693,phase1
55,2,1024,1.2,30000,0.170817,25.1437,phase1
56,2,1024,1.2,30000,0.172543,24.8922,phase1
57,2,1024,1.2,30000,0.177486,24.1989,phase1
58,2,1024,1.2,30000,0.166415,25.8088,phase1
59,2,1024,1.2,30000,0.173243,24.7916,phase1
60,3,1024,1.2,30000,0.171679,25.0174,phase1
61,3,1024,1.2,30000,0.173121,24.809,phase1
62,3,1024,1.2,30000,0.218334,19.6716,phase1
63,3,1024,1.2,30000,0.322985,13.2977,phase1
64,3,1024,1.2,30000,0.315297,13.622,phase1
65,3,1024,1.2,30000,0.307568,13.9643,phase1
66,3,1024,1.2,30000,0.310373,13.8381,phase1
67,3,1024,1.2,30000,0.309917,13.8584,phase1
68,3,1024,1.2,30000,0.311485,13.7887,phase1
69,3,1024,1.2,30000,0.327128,13.1293,phase1
70,3,1024,1.2,30000,0.323628,13.2713,phase1
71,3,1024,1.2,30000,0.337392,12.7299,phase1
72,3,1024,1.2,30000,0.315131,13.6291,phase1
73,3,1024,1.2,30000,0.314818,13.6427,phase1
74,3,1024,1.2,30000,0.34523,12.4409,phase1
75,3,1024,1.2,30000,0.310268,13.8428,phase1
76,3,1024,1.2,30000,0.294239,14.5969,phase1
77,3,1024,1.2,30000,0.306421,14.0165,phase1
78,3,1024,1.2,30000,0.302141,14.2151,phase1
79,3,1024,1.2,30000,0.327828,13.1013,phase1
80,4,1024,1.2,30000,0.324768,13.2247,phase1
81,4,1024,1.2,30000,0.29868,14.3798,phase1
82,4,1024,1.2,30000,0.301366,14.2517,phase1
83,4,1024,1.2,30000,0.305878,14.0414,phase1
84,4,1024,1.2,30000,0.306439,14.0157,phase1
85,4,1024,1.2,30000,0.324389,13.2402,phase1
86,4,1024,1.2,30000,0.302086,14.2177,phase1
87,4,1024,1.2,30000,0.332051,12.9347,phase1
88,4,1024,1.2,30000,0.319328,13.45,phase1
89,4,1024,1.2,30000,0.331166,12.9692,phase1
90,4,1024,1.2,30000,0.332625,12.9123,phase1
91,4,1024,1.2,30000,0.303107,14.1698,phase1
92,4,1024,1.2,30000,0.315442,13.6157,phase1
93,4,1024,1.2,30000,0.324287,13.2443,phase1
