[JobA-LONGLIU-MAIN] Loaded T_target=4201.09ms from /tmp/ttarget_v5_jobA.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29520...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29520, priority=P3
[JobA-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_epoch=7 (c_i swap), num_iters=300
[JobA-LONGLIU-MAIN] Phase 1 (epoch 0-6): c_i=1.2
[JobA-LONGLIU-MAIN] Phase 2 (epoch 7-14): c_i=3.0
[JobA-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=7.5 GB
[JobA-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobA-LONGLIU-MAIN] iter   0 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=344.2ms, bw=12.48 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   1 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=180.6ms, bw=23.78 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   2 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=175.8ms, bw=24.43 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   3 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=181.5ms, bw=23.67 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   4 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=170.3ms, bw=25.22 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   5 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=179.6ms, bw=23.92 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   6 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=188.6ms, bw=22.77 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   7 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=173.4ms, bw=24.78 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   8 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=167.8ms, bw=25.60 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   9 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=181.4ms, bw=23.68 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  10 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=173.7ms, bw=24.72 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  11 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=183.7ms, bw=23.37 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  12 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=180.4ms, bw=23.81 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  13 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=186.4ms, bw=23.04 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  14 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=181.0ms, bw=23.73 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  15 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=165.7ms, bw=25.92 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  16 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=163.3ms, bw=26.31 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  17 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=179.1ms, bw=23.98 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  18 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=177.0ms, bw=24.27 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  19 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=165.1ms, bw=26.02 Gbps [phase1]
[SLO] T_target PRESET (calibrated): 4201.1ms (c_i=1.2, SLO target=5041.3ms) — EMA updates SKIPPED
[SLO] Epoch 1: π=-0.266 (A=3.70s, expected=5.04s, T_target=4201.1ms, k=1), Priority P3 -> P2 (DSCP 16 -> 24)
[MultiComm] Rank 0: switching priority P3 -> P2 (DSCP 16 -> 24)
[JobA-LONGLIU-MAIN] iter  20 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=314.3ms, bw=13.67 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  21 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=165.8ms, bw=25.91 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  22 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=175.4ms, bw=24.49 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  23 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=170.5ms, bw=25.18 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  24 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=177.3ms, bw=24.22 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  25 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=171.9ms, bw=24.99 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  26 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=187.6ms, bw=22.90 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  27 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=176.6ms, bw=24.32 Gbps [phase1]
