iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.344231,12.477,phase1
1,0,1024,1.2,30000,0.18062,23.779,phase1
2,0,1024,1.2,30000,0.175827,24.4273,phase1
3,0,1024,1.2,30000,0.18146,23.669,phase1
4,0,1024,1.2,30000,0.170268,25.2247,phase1
5,0,1024,1.2,30000,0.17955,23.9207,phase1
6,0,1024,1.2,30000,0.188634,22.7688,phase1
7,0,1024,1.2,30000,0.173351,24.7761,phase1
8,0,1024,1.2,30000,0.167792,25.5969,phase1
9,0,1024,1.2,30000,0.181395,23.6774,phase1
10,0,1024,1.2,30000,0.173732,24.7218,phase1
11,0,1024,1.2,30000,0.183742,23.3749,phase1
12,0,1024,1.2,30000,0.180393,23.809,phase1
13,0,1024,1.2,30000,0.186429,23.0381,phase1
14,0,1024,1.2,30000,0.180964,23.7338,phase1
15,0,1024,1.2,30000,0.16571,25.9186,phase1
16,0,1024,1.2,30000,0.163272,26.3057,phase1
17,0,1024,1.2,30000,0.179094,23.9816,phase1
18,0,1024,1.2,30000,0.176958,24.2711,phase1
19,0,1024,1.2,30000,0.165061,26.0204,phase1
20,1,1024,1.2,30000,0.314257,13.6671,phase1
21,1,1024,1.2,30000,0.165764,25.9102,phase1
22,1,1024,1.2,30000,0.17541,24.4853,phase1
23,1,1024,1.2,30000,0.17055,25.1831,phase1
24,1,1024,1.2,30000,0.17733,24.2202,phase1
25,1,1024,1.2,30000,0.171856,24.9917,phase1
26,1,1024,1.2,30000,0.187554,22.8998,phase1
27,1,1024,1.2,30000,0.176618,24.3178,phase1
28,1,1024,1.2,30000,0.183572,23.3966,phase1
29,1,1024,1.2,30000,0.17893,24.0036,phase1
30,1,1024,1.2,30000,0.171943,24.979,phase1
31,1,1024,1.2,30000,0.159794,26.8781,phase1
32,1,1024,1.2,30000,0.178043,24.1233,phase1
33,1,1024,1.2,30000,0.173764,24.7172,phase1
34,1,1024,1.2,30000,0.173021,24.8234,phase1
35,1,1024,1.2,30000,0.182,23.5987,phase1
36,1,1024,1.2,30000,0.179184,23.9696,phase1
37,1,1024,1.2,30000,0.184745,23.2481,phase1
38,1,1024,1.2,30000,0.186333,23.0499,phase1
39,1,1024,1.2,30000,0.172287,24.9291,phase1
40,2,1024,1.2,30000,0.177504,24.1965,phase1
41,2,1024,1.2,30000,0.181967,23.603,phase1
42,2,1024,1.2,30000,0.167871,25.5849,phase1
43,2,1024,1.2,30000,0.161826,26.5406,phase1
44,2,1024,1.2,30000,0.178676,24.0377,phase1
45,2,1024,1.2,30000,0.174415,24.6249,phase1
46,2,1024,1.2,30000,0.170165,25.24,phase1
47,2,1024,1.2,30000,0.177768,24.1606,phase1
48,2,1024,1.2,30000,0.162317,26.4603,phase1
49,2,1024,1.2,30000,0.177723,24.1666,phase1
50,2,1024,1.2,30000,0.185198,23.1912,phase1
51,2,1024,1.2,30000,0.188648,22.7671,phase1
52,2,1024,1.2,30000,0.175505,24.4721,phase1
53,2,1024,1.2,30000,0.185101,23.2034,phase1
54,2,1024,1.2,30000,0.181348,23.6835,phase1
55,2,1024,1.2,30000,0.177974,24.1325,phase1
56,2,1024,1.2,30000,0.170655,25.1676,phase1
57,2,1024,1.2,30000,0.172967,24.8312,phase1
58,2,1024,1.2,30000,0.15393,27.9021,phase1
59,2,1024,1.2,30000,0.168839,25.4383,phase1
60,3,1024,1.2,30000,0.219218,19.5922,phase1
61,3,1024,1.2,30000,0.29306,14.6556,phase1
62,3,1024,1.2,30000,0.301395,14.2503,phase1
63,3,1024,1.2,30000,0.310734,13.822,phase1
64,3,1024,1.2,30000,0.305899,14.0405,phase1
65,3,1024,1.2,30000,0.289613,14.83,phase1
66,3,1024,1.2,30000,0.29687,14.4675,phase1
67,3,1024,1.2,30000,0.302273,14.2089,phase1
68,3,1024,1.2,30000,0.284321,15.106,phase1
69,3,1024,1.2,30000,0.307099,13.9856,phase1
70,3,1024,1.2,30000,0.293466,14.6353,phase1
71,3,1024,1.2,30000,0.306733,14.0023,phase1
72,3,1024,1.2,30000,0.293071,14.6551,phase1
73,3,1024,1.2,30000,0.305502,14.0587,phase1
74,3,1024,1.2,30000,0.310182,13.8466,phase1
75,3,1024,1.2,30000,0.305807,14.0447,phase1
76,3,1024,1.2,30000,0.309982,13.8555,phase1
77,3,1024,1.2,30000,0.323296,13.2849,phase1
78,3,1024,1.2,30000,0.307178,13.982,phase1
79,3,1024,1.2,30000,0.323121,13.2921,phase1
80,4,1024,1.2,30000,0.276395,15.5393,phase1
81,4,1024,1.2,30000,0.225098,19.0804,phase1
82,4,1024,1.2,30000,0.294905,14.5639,phase1
83,4,1024,1.2,30000,0.318927,13.4669,phase1
