epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.334864,13.0551,-0.424375,3,16,0.5717,3905.163
1,phase1,1024,3.0,30000,0.33177,13.0412,-0.42713,3,16,0.5664,3905.163
2,phase1,1024,3.0,30000,0.326596,13.2111,-0.430983,3,16,0.5575,3905.163
3,phase1,1024,3.0,30000,0.340187,12.6571,-0.427116,3,16,0.5807,3905.163
4,phase1,1024,3.0,30000,0.317098,13.5887,-0.432671,3,16,0.5413,3905.163
5,phase1,1024,3.0,30000,0.334666,12.877,-0.431378,3,16,0.5713,3905.163
6,phase1,1024,3.0,30000,0.334655,12.9163,-0.430459,3,16,0.5713,3905.163
7,phase2,1024,1.2,30000,0.32954,13.0844,0.422848,3,16,1.4064,3905.163
8,phase2,1024,1.2,30000,0.333246,12.9917,0.423838,3,16,1.4222,3905.163
9,phase2,1024,1.2,30000,0.324196,13.3363,0.42075,3,16,1.3836,3905.163
10,phase2,1024,1.2,30000,0.328603,13.117,0.419941,3,16,1.4024,3905.163
11,phase2,1024,1.2,30000,0.300035,15.1123,0.408957,3,16,1.2805,3905.163
12,phase2,1024,1.2,30000,0.194464,22.1256,0.364464,3,16,0.8299,3905.163
13,phase2,1024,1.2,30000,0.184286,23.3567,0.323215,3,16,0.7865,3905.163
14,phase2,1024,1.2,30000,0.180801,23.7967,0.286476,3,16,0.7716,3905.163
