iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.517682,8.2965,phase1
1,0,1024,3.0,30000,0.314797,13.6436,phase1
2,0,1024,3.0,30000,0.31881,13.4719,phase1
3,0,1024,3.0,30000,0.319012,13.4634,phase1
4,0,1024,3.0,30000,0.362099,11.8613,phase1
5,0,1024,3.0,30000,0.401325,10.702,phase1
6,0,1024,3.0,30000,0.323624,13.2715,phase1
7,0,1024,3.0,30000,0.380371,11.2915,phase1
8,0,1024,3.0,30000,0.297051,14.4587,phase1
9,0,1024,3.0,30000,0.318598,13.4808,phase1
10,0,1024,3.0,30000,0.31162,13.7827,phase1
11,0,1024,3.0,30000,0.309882,13.86,phase1
12,0,1024,3.0,30000,0.322959,13.2988,phase1
13,0,1024,3.0,30000,0.302862,14.1813,phase1
14,0,1024,3.0,30000,0.341297,12.5843,phase1
15,0,1024,3.0,30000,0.357565,12.0117,phase1
16,0,1024,3.0,30000,0.285629,15.0369,phase1
17,0,1024,3.0,30000,0.296774,14.4722,phase1
18,0,1024,3.0,30000,0.30126,14.2567,phase1
19,0,1024,3.0,30000,0.314061,13.6756,phase1
20,1,1024,3.0,30000,0.327444,13.1166,phase1
21,1,1024,3.0,30000,0.344375,12.4718,phase1
22,1,1024,3.0,30000,0.402536,10.6698,phase1
23,1,1024,3.0,30000,0.36264,11.8436,phase1
24,1,1024,3.0,30000,0.331974,12.9376,phase1
25,1,1024,3.0,30000,0.298812,14.3735,phase1
26,1,1024,3.0,30000,0.393697,10.9093,phase1
27,1,1024,3.0,30000,0.348513,12.3237,phase1
28,1,1024,3.0,30000,0.328378,13.0793,phase1
29,1,1024,3.0,30000,0.344673,12.461,phase1
30,1,1024,3.0,30000,0.302814,14.1835,phase1
31,1,1024,3.0,30000,0.289344,14.8438,phase1
32,1,1024,3.0,30000,0.303705,14.1419,phase1
33,1,1024,3.0,30000,0.323197,13.289,phase1
34,1,1024,3.0,30000,0.323863,13.2617,phase1
35,1,1024,3.0,30000,0.336633,12.7586,phase1
36,1,1024,3.0,30000,0.318679,13.4774,phase1
37,1,1024,3.0,30000,0.289838,14.8185,phase1
38,1,1024,3.0,30000,0.332426,12.9201,phase1
39,1,1024,3.0,30000,0.331848,12.9426,phase1
40,2,1024,3.0,30000,0.322842,13.3036,phase1
41,2,1024,3.0,30000,0.331751,12.9464,phase1
42,2,1024,3.0,30000,0.348945,12.3084,phase1
43,2,1024,3.0,30000,0.341305,12.584,phase1
44,2,1024,3.0,30000,0.339926,12.635,phase1
45,2,1024,3.0,30000,0.345122,12.4448,phase1
46,2,1024,3.0,30000,0.354958,12.0999,phase1
47,2,1024,3.0,30000,0.311009,13.8098,phase1
48,2,1024,3.0,30000,0.375257,11.4454,phase1
49,2,1024,3.0,30000,0.315633,13.6075,phase1
50,2,1024,3.0,30000,0.323863,13.2617,phase1
51,2,1024,3.0,30000,0.318701,13.4765,phase1
52,2,1024,3.0,30000,0.31317,13.7145,phase1
53,2,1024,3.0,30000,0.29296,14.6606,phase1
54,2,1024,3.0,30000,0.354967,12.0996,phase1
55,2,1024,3.0,30000,0.322798,13.3055,phase1
56,2,1024,3.0,30000,0.280529,15.3102,phase1
57,2,1024,3.0,30000,0.309939,13.8575,phase1
58,2,1024,3.0,30000,0.318395,13.4894,phase1
59,2,1024,3.0,30000,0.309846,13.8616,phase1
60,3,1024,3.0,30000,0.319044,13.462,phase1
61,3,1024,3.0,30000,0.363817,11.8053,phase1
62,3,1024,3.0,30000,0.34152,12.576,phase1
63,3,1024,3.0,30000,0.371888,11.5491,phase1
64,3,1024,3.0,30000,0.340622,12.6092,phase1
65,3,1024,3.0,30000,0.310074,13.8514,phase1
66,3,1024,3.0,30000,0.328511,13.074,phase1
67,3,1024,3.0,30000,0.324622,13.2307,phase1
68,3,1024,3.0,30000,0.332715,12.9088,phase1
69,3,1024,3.0,30000,0.33181,12.9441,phase1
70,3,1024,3.0,30000,0.371322,11.5667,phase1
71,3,1024,3.0,30000,0.332247,12.927,phase1
72,3,1024,3.0,30000,0.367153,11.698,phase1
73,3,1024,3.0,30000,0.333473,12.8795,phase1
74,3,1024,3.0,30000,0.32851,13.0741,phase1
75,3,1024,3.0,30000,0.357813,12.0034,phase1
76,3,1024,3.0,30000,0.327171,13.1276,phase1
77,3,1024,3.0,30000,0.344604,12.4635,phase1
78,3,1024,3.0,30000,0.344682,12.4607,phase1
79,3,1024,3.0,30000,0.332136,12.9314,phase1
80,4,1024,3.0,30000,0.332158,12.9305,phase1
81,4,1024,3.0,30000,0.30577,14.0464,phase1
82,4,1024,3.0,30000,0.289835,14.8187,phase1
83,4,1024,3.0,30000,0.301825,14.23,phase1
84,4,1024,3.0,30000,0.323724,13.2674,phase1
85,4,1024,3.0,30000,0.331501,12.9561,phase1
86,4,1024,3.0,30000,0.311019,13.8093,phase1
87,4,1024,3.0,30000,0.349575,12.2863,phase1
88,4,1024,3.0,30000,0.302712,14.1883,phase1
89,4,1024,3.0,30000,0.303614,14.1462,phase1
90,4,1024,3.0,30000,0.327056,13.1322,phase1
91,4,1024,3.0,30000,0.285011,15.0695,phase1
92,4,1024,3.0,30000,0.319765,13.4316,phase1
93,4,1024,3.0,30000,0.312871,13.7276,phase1
94,4,1024,3.0,30000,0.29283,14.6671,phase1
95,4,1024,3.0,30000,0.310479,13.8333,phase1
96,4,1024,3.0,30000,0.343383,12.5078,phase1
97,4,1024,3.0,30000,0.341869,12.5632,phase1
98,4,1024,3.0,30000,0.335637,12.7965,phase1
99,4,1024,3.0,30000,0.321331,13.3662,phase1
100,5,1024,3.0,30000,0.30726,13.9783,phase1
101,5,1024,3.0,30000,0.348765,12.3148,phase1
102,5,1024,3.0,30000,0.327191,13.1268,phase1
103,5,1024,3.0,30000,0.334045,12.8575,phase1
104,5,1024,3.0,30000,0.339922,12.6351,phase1
105,5,1024,3.0,30000,0.33161,12.9518,phase1
106,5,1024,3.0,30000,0.354483,12.1161,phase1
107,5,1024,3.0,30000,0.31493,13.6378,phase1
108,5,1024,3.0,30000,0.340207,12.6246,phase1
109,5,1024,3.0,30000,0.357691,12.0075,phase1
110,5,1024,3.0,30000,0.306727,14.0026,phase1
111,5,1024,3.0,30000,0.315943,13.5941,phase1
112,5,1024,3.0,30000,0.327279,13.1233,phase1
113,5,1024,3.0,30000,0.296968,14.4627,phase1
114,5,1024,3.0,30000,0.374561,11.4667,phase1
115,5,1024,3.0,30000,0.349875,12.2757,phase1
116,5,1024,3.0,30000,0.331521,12.9553,phase1
117,5,1024,3.0,30000,0.345976,12.4141,phase1
118,5,1024,3.0,30000,0.357617,12.01,phase1
119,5,1024,3.0,30000,0.330748,12.9856,phase1
120,6,1024,3.0,30000,0.315004,13.6346,phase1
121,6,1024,3.0,30000,0.394324,10.892,phase1
122,6,1024,3.0,30000,0.35298,12.1677,phase1
123,6,1024,3.0,30000,0.333238,12.8886,phase1
124,6,1024,3.0,30000,0.396217,10.8399,phase1
125,6,1024,3.0,30000,0.323003,13.297,phase1
126,6,1024,3.0,30000,0.314477,13.6575,phase1
127,6,1024,3.0,30000,0.323111,13.2926,phase1
128,6,1024,3.0,30000,0.341962,12.5598,phase1
129,6,1024,3.0,30000,0.323139,13.2914,phase1
130,6,1024,3.0,30000,0.303378,14.1572,phase1
131,6,1024,3.0,30000,0.310916,13.8139,phase1
132,6,1024,3.0,30000,0.353482,12.1504,phase1
133,6,1024,3.0,30000,0.333539,12.8769,phase1
134,6,1024,3.0,30000,0.378951,11.3338,phase1
135,6,1024,3.0,30000,0.311637,13.7819,phase1
136,6,1024,3.0,30000,0.350076,12.2687,phase1
137,6,1024,3.0,30000,0.3174,13.5317,phase1
138,6,1024,3.0,30000,0.301506,14.2451,phase1
139,6,1024,3.0,30000,0.314762,13.6451,phase1
140,7,1024,1.2,30000,0.310158,13.8477,phase2
141,7,1024,1.2,30000,0.324406,13.2395,phase2
142,7,1024,1.2,30000,0.335858,12.788,phase2
143,7,1024,1.2,30000,0.309933,13.8577,phase2
144,7,1024,1.2,30000,0.310918,13.8138,phase2
145,7,1024,1.2,30000,0.316757,13.5592,phase2
146,7,1024,1.2,30000,0.310237,13.8441,phase2
147,7,1024,1.2,30000,0.34522,12.4412,phase2
148,7,1024,1.2,30000,0.3065,14.013,phase2
149,7,1024,1.2,30000,0.322461,13.3193,phase2
150,7,1024,1.2,30000,0.327547,13.1125,phase2
151,7,1024,1.2,30000,0.314738,13.6462,phase2
152,7,1024,1.2,30000,0.353949,12.1344,phase2
153,7,1024,1.2,30000,0.367338,11.6921,phase2
154,7,1024,1.2,30000,0.332474,12.9182,phase2
155,7,1024,1.2,30000,0.310274,13.8425,phase2
156,7,1024,1.2,30000,0.341881,12.5628,phase2
157,7,1024,1.2,30000,0.363359,11.8202,phase2
158,7,1024,1.2,30000,0.375458,11.4393,phase2
159,7,1024,1.2,30000,0.311337,13.7952,phase2
160,8,1024,1.2,30000,0.340952,12.597,phase2
161,8,1024,1.2,30000,0.353864,12.1373,phase2
162,8,1024,1.2,30000,0.405149,10.601,phase2
163,8,1024,1.2,30000,0.331773,12.9455,phase2
164,8,1024,1.2,30000,0.292671,14.675,phase2
165,8,1024,1.2,30000,0.327348,13.1205,phase2
166,8,1024,1.2,30000,0.281836,15.2392,phase2
167,8,1024,1.2,30000,0.294583,14.5798,phase2
168,8,1024,1.2,30000,0.324232,13.2466,phase2
169,8,1024,1.2,30000,0.320227,13.4123,phase2
170,8,1024,1.2,30000,0.337342,12.7318,phase2
171,8,1024,1.2,30000,0.344607,12.4634,phase2
172,8,1024,1.2,30000,0.324623,13.2306,phase2
173,8,1024,1.2,30000,0.366297,11.7254,phase2
174,8,1024,1.2,30000,0.387794,11.0754,phase2
175,8,1024,1.2,30000,0.335856,12.7881,phase2
176,8,1024,1.2,30000,0.305697,14.0498,phase2
177,8,1024,1.2,30000,0.305819,14.0441,phase2
178,8,1024,1.2,30000,0.324952,13.2172,phase2
179,8,1024,1.2,30000,0.359308,11.9534,phase2
180,9,1024,1.2,30000,0.301889,14.227,phase2
181,9,1024,1.2,30000,0.302456,14.2003,phase2
182,9,1024,1.2,30000,0.385845,11.1313,phase2
183,9,1024,1.2,30000,0.344491,12.4676,phase2
184,9,1024,1.2,30000,0.370455,11.5937,phase2
185,9,1024,1.2,30000,0.319148,13.4576,phase2
186,9,1024,1.2,30000,0.327219,13.1257,phase2
