[JobB-LONGLIU-MAIN] Loaded T_target=3905.16ms from /tmp/ttarget_v5_jobB.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/current/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: active priorities = 0 1 2 3 4 5 6 (7 total)
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29521...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40, ToS=160)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32, ToS=128)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24, ToS=96)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0, ToS=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8, ToS=32)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29521, priority=P3
[JobB-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_epoch=7 (c_i swap), num_iters=300
[JobB-LONGLIU-MAIN] Phase 1 (epoch 0-6): c_i=3.0
[JobB-LONGLIU-MAIN] Phase 2 (epoch 7-14): c_i=1.2
[JobB-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=6.2 GB
[JobB-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobB-LONGLIU-MAIN] iter   0 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=358.3ms, bw=11.99 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   1 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=241.5ms, bw=17.78 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   2 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=197.4ms, bw=21.76 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   3 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=236.0ms, bw=18.20 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   4 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=237.3ms, bw=18.10 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   5 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=222.9ms, bw=19.27 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   6 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=236.6ms, bw=18.15 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   7 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=227.5ms, bw=18.88 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   8 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=218.8ms, bw=19.63 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   9 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=224.6ms, bw=19.12 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  10 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=231.9ms, bw=18.52 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  11 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=218.6ms, bw=19.65 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  12 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=212.9ms, bw=20.17 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  13 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.4ms, bw=20.41 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  14 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.5ms, bw=20.40 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  15 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=207.4ms, bw=20.71 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  16 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=267.8ms, bw=16.04 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  17 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=240.7ms, bw=17.85 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  18 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=233.4ms, bw=18.40 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  19 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.7ms, bw=20.38 Gbps [phase1]
[SLO] T_target PRESET (calibrated): 3905.2ms (c_i=3.0, SLO target=11715.5ms) — EMA updates SKIPPED
[SLO] Epoch 1: π=-0.599 (A=4.69s, expected=11.72s, T_target=3905.2ms, k=1), Priority P3 -> P1 (DSCP 16 -> 32)
[MultiComm] Rank 0: switching priority P3 -> P1 (DSCP 16 -> 32)
[JobB-LONGLIU-MAIN] iter  20 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=557.0ms, bw=7.71 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  21 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=410.9ms, bw=10.45 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  22 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=462.9ms, bw=9.28 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  23 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=437.2ms, bw=9.82 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  24 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=423.8ms, bw=10.14 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  25 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=441.5ms, bw=9.73 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  26 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=439.5ms, bw=9.77 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  27 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=427.2ms, bw=10.05 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  28 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=270.5ms, bw=15.88 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  29 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=382.9ms, bw=11.22 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  30 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=434.0ms, bw=9.90 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  31 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=428.6ms, bw=10.02 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  32 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=441.4ms, bw=9.73 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  33 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=445.6ms, bw=9.64 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  34 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=426.9ms, bw=10.06 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  35 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=418.7ms, bw=10.26 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  36 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=422.3ms, bw=10.17 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  37 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=406.4ms, bw=10.57 Gbps [phase1]
