epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.232283,18.7689,-0.59932,1,32,0.3965,3905.163
1,phase1,1024,3.0,30000,0.425921,10.2412,-0.434327,2,24,0.7271,3905.163
2,phase1,1024,3.0,30000,0.422277,10.2583,-0.3814,2,24,0.7209,3905.163
3,phase1,1024,3.0,30000,0.362379,13.2253,-0.380542,2,24,0.6186,3905.163
4,phase1,1024,3.0,30000,0.211111,20.3703,-0.431599,2,24,0.3604,3905.163
5,phase1,1024,3.0,30000,0.214483,20.0485,-0.464682,2,24,0.3662,3905.163
6,phase1,1024,3.0,30000,0.213897,20.11,-0.488477,2,24,0.3652,3905.163
7,phase2,1024,1.2,30000,0.21381,20.1058,0.234193,4,0,0.9125,3905.163
8,phase2,1024,1.2,30000,0.264089,16.5664,0.223297,4,0,1.1271,3905.163
9,phase2,1024,1.2,30000,0.244922,17.7224,0.206439,4,0,1.0453,3905.163
10,phase2,1024,1.2,30000,0.265557,16.3225,0.200612,4,0,1.1334,3905.163
11,phase2,1024,1.2,30000,0.257505,16.8555,0.192929,4,0,1.099,3905.163
12,phase2,1024,1.2,30000,0.260546,16.8212,0.188365,4,0,1.112,3905.163
13,phase2,1024,1.2,30000,0.260045,16.6887,0.183399,4,0,1.1098,3905.163
14,phase2,1024,1.2,30000,0.257444,16.8133,0.178382,4,0,1.0987,3905.163
