iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.358344,11.9856,phase1
1,0,1024,3.0,30000,0.241504,17.7842,phase1
2,0,1024,3.0,30000,0.197424,21.755,phase1
3,0,1024,3.0,30000,0.236046,18.1955,phase1
4,0,1024,3.0,30000,0.237335,18.0966,phase1
5,0,1024,3.0,30000,0.222892,19.2693,phase1
6,0,1024,3.0,30000,0.236635,18.1501,phase1
7,0,1024,3.0,30000,0.22749,18.8798,phase1
8,0,1024,3.0,30000,0.218821,19.6278,phase1
9,0,1024,3.0,30000,0.22465,19.1185,phase1
10,0,1024,3.0,30000,0.231927,18.5186,phase1
11,0,1024,3.0,30000,0.218617,19.6461,phase1
12,0,1024,3.0,30000,0.212936,20.1702,phase1
13,0,1024,3.0,30000,0.210439,20.4096,phase1
14,0,1024,3.0,30000,0.21055,20.3988,phase1
15,0,1024,3.0,30000,0.207393,20.7093,phase1
16,0,1024,3.0,30000,0.267841,16.0355,phase1
17,0,1024,3.0,30000,0.24068,17.8451,phase1
18,0,1024,3.0,30000,0.233442,18.3984,phase1
19,0,1024,3.0,30000,0.210697,20.3845,phase1
20,1,1024,3.0,30000,0.55698,7.7112,phase1
21,1,1024,3.0,30000,0.410883,10.453,phase1
22,1,1024,3.0,30000,0.462905,9.2783,phase1
23,1,1024,3.0,30000,0.437208,9.8236,phase1
24,1,1024,3.0,30000,0.423763,10.1353,phase1
25,1,1024,3.0,30000,0.441516,9.7278,phase1
26,1,1024,3.0,30000,0.439517,9.772,phase1
27,1,1024,3.0,30000,0.427166,10.0546,phase1
28,1,1024,3.0,30000,0.270471,15.8796,phase1
29,1,1024,3.0,30000,0.382917,11.2165,phase1
30,1,1024,3.0,30000,0.434044,9.8952,phase1
31,1,1024,3.0,30000,0.428582,10.0213,phase1
32,1,1024,3.0,30000,0.441364,9.7311,phase1
33,1,1024,3.0,30000,0.445621,9.6382,phase1
34,1,1024,3.0,30000,0.42691,10.0606,phase1
35,1,1024,3.0,30000,0.418727,10.2572,phase1
36,1,1024,3.0,30000,0.42231,10.1702,phase1
37,1,1024,3.0,30000,0.406432,10.5675,phase1
38,1,1024,3.0,30000,0.414063,10.3727,phase1
39,1,1024,3.0,30000,0.427043,10.0575,phase1
40,2,1024,3.0,30000,0.590559,7.2727,phase1
41,2,1024,3.0,30000,0.405597,10.5893,phase1
42,2,1024,3.0,30000,0.419367,10.2416,phase1
43,2,1024,3.0,30000,0.397287,10.8107,phase1
44,2,1024,3.0,30000,0.441969,9.7178,phase1
