[JobA-LONGLIU-MAIN] Loaded T_target=4201.09ms from /tmp/ttarget_v5_jobA.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/current/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: active priorities = 0 1 2 3 4 5 6 (7 total)
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29520...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40, ToS=160)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32, ToS=128)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24, ToS=96)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0, ToS=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8, ToS=32)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29520, priority=P3
[JobA-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_window=7 (c_i swap), num_iters=300
[JobA-LONGLIU-MAIN] Phase 1 (window 0-6): c_i=1.2
[JobA-LONGLIU-MAIN] Phase 2 (window 7-14): c_i=3.0
[JobA-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=7.5 GB
[JobA-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobA-LONGLIU-MAIN] iter   0 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=886.0ms, bw=4.85 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   1 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=674.9ms, bw=6.36 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   2 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=652.7ms, bw=6.58 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   3 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=613.7ms, bw=7.00 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   4 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=654.7ms, bw=6.56 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   5 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=655.5ms, bw=6.55 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   6 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=667.2ms, bw=6.44 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   7 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=596.0ms, bw=7.21 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   8 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=635.6ms, bw=6.76 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   9 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=660.3ms, bw=6.50 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  10 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=657.0ms, bw=6.54 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  11 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=628.1ms, bw=6.84 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  12 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=667.5ms, bw=6.43 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  13 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=647.4ms, bw=6.63 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  14 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=618.3ms, bw=6.95 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  15 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=628.2ms, bw=6.84 Gbps [phase1]
