[JobA-LONGLIU-MAIN] Loaded T_target=4201.09ms from /tmp/ttarget_v5_jobA.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/current/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: active priorities = 0 1 2 3 4 5 6 (7 total)
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29520...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40, ToS=160)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32, ToS=128)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24, ToS=96)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0, ToS=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8, ToS=32)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29520, priority=P3
[JobA-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_window=7 (c_i swap), num_iters=300
[JobA-LONGLIU-MAIN] Phase 1 (window 0-6): c_i=1.2
[JobA-LONGLIU-MAIN] Phase 2 (window 7-14): c_i=3.0
[JobA-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=7.5 GB
[JobA-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobA-LONGLIU-MAIN] iter   0 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=776.7ms, bw=5.53 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   1 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=579.4ms, bw=7.41 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   2 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=579.0ms, bw=7.42 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   3 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=578.4ms, bw=7.43 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   4 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=592.5ms, bw=7.25 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   5 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=582.1ms, bw=7.38 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   6 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=581.9ms, bw=7.38 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   7 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=614.5ms, bw=6.99 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   8 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=593.1ms, bw=7.24 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   9 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=575.9ms, bw=7.46 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  10 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=585.4ms, bw=7.34 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  11 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=596.1ms, bw=7.21 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  12 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=575.8ms, bw=7.46 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  13 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=580.8ms, bw=7.39 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  14 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=582.8ms, bw=7.37 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  15 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=590.9ms, bw=7.27 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  16 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=600.4ms, bw=7.15 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  17 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=975.1ms, bw=4.40 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  18 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=1313.7ms, bw=3.27 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  19 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=1360.6ms, bw=3.16 Gbps [phase1]
[SLO] T_target PRESET (calibrated): 4201.1ms (c_i=1.2, SLO target=5041.3ms) — EMA updates SKIPPED
[SLO] Window 1: π=+1.742 (A=13.82s, expected=5.04s, T_target=4201.1ms, k=1), comm_ratio=1.00, urgency=+1.742, Priority P3 -> P6 (DSCP 16 -> 8)
[MultiComm] Rank 0: switching priority P3 -> P6 (DSCP 16 -> 8)
[JobA-LONGLIU-MAIN] iter  20 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=720.8ms, bw=5.96 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  21 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=720.4ms, bw=5.96 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  22 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=713.6ms, bw=6.02 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  23 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=713.0ms, bw=6.02 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  24 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=716.5ms, bw=5.99 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  25 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=711.8ms, bw=6.03 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  26 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=716.6ms, bw=5.99 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  27 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=716.1ms, bw=6.00 Gbps [phase1]
