[JobB-LONGLIU-MAIN] Loaded T_target=3905.16ms from /tmp/ttarget_v5_jobB.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/current/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: active priorities = 0 1 2 3 4 5 6 (7 total)
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29521...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40, ToS=160)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32, ToS=128)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24, ToS=96)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0, ToS=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8, ToS=32)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29521, priority=P3
[JobB-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_window=7 (c_i swap), num_iters=300
[JobB-LONGLIU-MAIN] Phase 1 (window 0-6): c_i=3.0
[JobB-LONGLIU-MAIN] Phase 2 (window 7-14): c_i=1.2
[JobB-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=6.2 GB
[JobB-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobB-LONGLIU-MAIN] iter   0 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1490.8ms, bw=2.88 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   1 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1414.2ms, bw=3.04 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   2 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1191.1ms, bw=3.61 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   3 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1673.5ms, bw=2.57 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   4 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=2019.7ms, bw=2.13 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   5 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1964.4ms, bw=2.19 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   6 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1992.1ms, bw=2.16 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   7 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=2018.3ms, bw=2.13 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   8 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1902.1ms, bw=2.26 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   9 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1987.5ms, bw=2.16 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  10 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1975.3ms, bw=2.17 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  11 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1767.4ms, bw=2.43 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  12 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1870.8ms, bw=2.30 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  13 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1877.8ms, bw=2.29 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  14 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1986.6ms, bw=2.16 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  15 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1825.7ms, bw=2.35 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  16 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1902.2ms, bw=2.26 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  17 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=2088.1ms, bw=2.06 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  18 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1784.6ms, bw=2.41 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  19 (window 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=1971.4ms, bw=2.18 Gbps [phase1]
[SLO] T_target PRESET (calibrated): 3905.2ms (c_i=3.0, SLO target=11715.5ms) — EMA updates SKIPPED
[SLO] Window 1: π=+2.137 (A=36.75s, expected=11.72s, T_target=3905.2ms, k=1), comm_ratio=1.00, urgency=+2.137, Priority P3 -> P6 (DSCP 16 -> 8)
[MultiComm] Rank 0: switching priority P3 -> P6 (DSCP 16 -> 8)
[JobB-LONGLIU-MAIN] iter  20 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1307.9ms, bw=3.28 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  21 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1274.2ms, bw=3.37 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  22 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1364.0ms, bw=3.15 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  23 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1326.6ms, bw=3.24 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  24 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1485.6ms, bw=2.89 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  25 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1241.3ms, bw=3.46 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  26 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1265.7ms, bw=3.39 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  27 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1394.8ms, bw=3.08 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  28 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1261.3ms, bw=3.41 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  29 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1487.3ms, bw=2.89 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  30 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1489.8ms, bw=2.88 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  31 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1244.8ms, bw=3.45 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  32 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1282.3ms, bw=3.35 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  33 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1334.3ms, bw=3.22 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  34 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1283.8ms, bw=3.35 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  35 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1331.0ms, bw=3.23 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  36 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1287.1ms, bw=3.34 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  37 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1314.4ms, bw=3.27 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  38 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1279.3ms, bw=3.36 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  39 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1250.3ms, bw=3.44 Gbps [phase1]
[SLO] comm baseline initialized: 26503.4ms/window (window 2)
[JobB-LONGLIU-MAIN] iter  40 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1342.9ms, bw=3.20 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  41 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1262.0ms, bw=3.40 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  42 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1308.4ms, bw=3.28 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  43 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1334.4ms, bw=3.22 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  44 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1292.0ms, bw=3.32 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  45 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1338.8ms, bw=3.21 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  46 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1310.0ms, bw=3.28 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  47 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1248.5ms, bw=3.44 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  48 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1245.2ms, bw=3.45 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  49 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1374.5ms, bw=3.12 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  50 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1271.2ms, bw=3.38 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  51 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1387.8ms, bw=3.09 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  52 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1382.7ms, bw=3.11 Gbps [phase1]
