iter,epoch,comm_dur_s,bw_gbps
0,0,0.077212,13.9065
1,0,0.085225,12.599
2,0,0.071815,14.9514
3,0,0.084687,12.6789
4,0,0.081019,13.2529
5,0,0.075916,14.1438
6,0,0.068552,15.6633
7,0,0.08951,11.9958
8,0,0.06778,15.8415
9,0,0.080288,13.3737
10,0,0.067462,15.9163
11,0,0.076486,14.0385
12,0,0.080366,13.3606
13,0,0.080288,13.3736
14,0,0.080714,13.303
15,0,0.084966,12.6374
16,0,0.075086,14.3001
17,0,0.076924,13.9586
18,0,0.076058,14.1173
19,0,0.076097,14.1102
20,1,0.071896,14.9346
21,1,0.089023,12.0614
22,1,0.067741,15.8508
23,1,0.097646,10.9963
24,1,0.089252,12.0305
25,1,0.073121,14.6845
26,1,0.077283,13.8937
27,1,0.077805,13.8004
28,1,0.090724,11.8352
29,1,0.089248,12.031
30,1,0.093708,11.4584
31,1,0.074559,14.4013
32,1,0.090202,11.9038
33,1,0.084856,12.6537
34,1,0.081375,13.195
35,1,0.076761,13.9881
36,1,0.084021,12.7795
37,1,0.066424,16.165
38,1,0.080094,13.406
39,1,0.081652,13.1502
40,2,0.071578,15.0009
41,2,0.080453,13.3462
42,2,0.073674,14.5742
43,2,0.084667,12.6819
44,2,0.073477,14.6133
45,2,0.084584,12.6944
46,2,0.076054,14.1182
47,2,0.081973,13.0987
48,2,0.081737,13.1365
49,2,0.090015,11.9285
50,2,0.080994,13.257
51,2,0.07718,13.9121
52,2,0.080381,13.3581
53,2,0.07389,14.5316
54,2,0.085103,12.617
55,2,0.081512,13.1728
56,2,0.077191,13.9102
57,2,0.081176,13.2273
58,2,0.070161,15.304
59,2,0.089803,11.9566
60,3,0.080476,13.3424
61,3,0.076058,14.1174
62,3,0.07702,13.941
63,3,0.077604,13.8361
64,3,0.084764,12.6674
65,3,0.076168,14.0971
66,3,0.080421,13.3515
67,3,0.076573,14.0224
68,3,0.068293,15.7227
69,3,0.08901,12.0631
70,3,0.089597,11.9842
71,3,0.076483,14.039
72,3,0.076437,14.0474
73,3,0.082019,13.0914
74,3,0.076027,14.1232
75,3,0.088942,12.0724
76,3,0.076262,14.0796
77,3,0.06913,15.5321
78,3,0.080254,13.3793
79,3,0.074001,14.5099
80,4,0.084683,12.6796
81,4,0.089005,12.0639
82,4,0.080438,13.3487
83,4,0.089008,12.0634
84,4,0.063525,16.9027
85,4,0.07646,14.0432
86,4,0.08583,12.5101
87,4,0.09437,11.378
88,4,0.076785,13.9837
89,4,0.067808,15.835
90,4,0.080804,13.2883
91,4,0.101937,10.5334
92,4,0.076448,14.0453
93,4,0.085702,12.5288
94,4,0.073901,14.5295
95,4,0.088895,12.0788
96,4,0.076243,14.0831
97,4,0.080372,13.3596
98,4,0.077589,13.8388
99,4,0.068783,15.6106
100,5,0.0716,14.9963
101,5,0.075894,14.1479
102,5,0.084739,12.6712
103,5,0.077418,13.8695
104,5,0.07643,14.0488
105,5,0.077564,13.8434
106,5,0.080352,13.363
107,5,0.08616,12.4621
108,5,0.094385,11.3761
109,5,0.089147,12.0446
110,5,0.081223,13.2197
111,5,0.089371,12.0144
112,5,0.07211,14.8904
113,5,0.08025,13.3799
114,5,0.090341,11.8855
115,5,0.072429,14.8247
116,5,0.076415,14.0515
117,5,0.076117,14.1065
118,5,0.076394,14.0553
119,5,0.085379,12.5762
120,6,0.087187,12.3153
121,6,0.085517,12.5559
122,6,0.08193,13.1056
123,6,0.072102,14.8919
124,6,0.085039,12.6265
125,6,0.082451,13.0228
126,6,0.089769,11.9612
127,6,0.07685,13.9718
128,6,0.085087,12.6193
129,6,0.072093,14.8939
130,6,0.075044,14.3081
131,6,0.080789,13.2907
132,6,0.084611,12.6904
133,6,0.081378,13.1946
134,6,0.076964,13.9513
135,6,0.077253,13.8991
136,6,0.068677,15.6347
137,6,0.07299,14.7109
138,6,0.0777,13.8192
139,6,0.072521,14.8059
140,7,0.076548,14.027
141,7,0.085448,12.566
142,7,0.085563,12.5491
143,7,0.075943,14.1387
144,7,0.080215,13.3857
145,7,0.094294,11.3872
146,7,0.076958,13.9524
147,7,0.08534,12.5819
148,7,0.097932,10.9641
149,7,0.084787,12.6639
150,7,0.089093,12.0519
151,7,0.069624,15.4221
152,7,0.089016,12.0624
153,7,0.071763,14.9623
154,7,0.076041,14.1206
155,7,0.071742,14.9667
156,7,0.067789,15.8395
157,7,0.08051,13.3367
158,7,0.089468,12.0014
159,7,0.086441,12.4216
160,8,0.081291,13.2086
161,8,0.072881,14.7328
162,8,0.077559,13.8442
163,8,0.090047,11.9242
164,8,0.076076,14.1141
165,8,0.086429,12.4234
166,8,0.078087,13.7507
167,8,0.076745,13.9909
168,8,0.084741,12.6708
169,8,0.084762,12.6677
170,8,0.081174,13.2277
171,8,0.08507,12.6218
172,8,0.069512,15.4468
173,8,0.081115,13.2374
174,8,0.068087,15.7702
175,8,0.077514,13.8522
176,8,0.076927,13.958
177,8,0.079622,13.4855
178,8,0.080236,13.3823
179,8,0.076388,14.0565
180,9,0.085375,12.5768
181,9,0.098844,10.863
182,9,0.072448,14.8208
183,9,0.075793,14.1668
184,9,0.081585,13.1609
185,9,0.076353,14.0629
186,9,0.080337,13.3655
187,9,0.070506,15.2291
188,9,0.077404,13.8719
189,9,0.085061,12.6232
190,9,0.08049,13.34
191,9,0.080367,13.3605
192,9,0.069836,15.3753
193,9,0.075792,14.167
194,9,0.076502,14.0355
195,9,0.072909,14.7271
196,9,0.076584,14.0205
197,9,0.094004,11.4223
198,9,0.090985,11.8013
199,9,0.08186,13.1168
