iter,window,comm_dur_s,bw_gbps,phase
0,0,0.877769,9.7861,solo_rampup
1,0,0.83716,10.2608,solo_rampup
2,0,0.83293,10.3129,solo_rampup
3,0,0.843616,10.1823,solo_rampup
4,0,0.822563,10.4429,solo_rampup
5,0,0.829865,10.351,solo_rampup
6,0,0.834064,10.2989,solo_rampup
7,0,0.832296,10.3208,solo_rampup
8,0,0.829363,10.3573,solo_rampup
9,0,0.820354,10.471,solo_rampup
10,0,1.412368,6.0819,solo_rampup
11,0,1.598736,5.373,solo_rampup
12,0,1.75559,4.8929,solo_rampup
13,0,1.771487,4.849,solo_rampup
14,0,1.686253,5.0941,solo_rampup
15,0,1.715225,5.0081,solo_rampup
16,0,1.676477,5.1238,solo_rampup
17,0,1.702346,5.0459,solo_rampup
18,0,1.707531,5.0306,solo_rampup
19,0,1.720593,4.9924,solo_rampup
20,1,1.706905,5.0325,solo_rampup
21,1,1.685869,5.0953,solo_rampup
22,1,1.68095,5.1102,solo_rampup
23,1,1.729927,4.9655,solo_rampup
24,1,1.702312,5.046,solo_rampup
25,1,1.69033,5.0818,solo_rampup
26,1,1.694435,5.0695,solo_rampup
27,1,1.708896,5.0266,solo_rampup
28,1,1.737844,4.9429,solo_rampup
29,1,1.689654,5.0838,solo_rampup
30,1,1.734415,4.9526,solo_rampup
31,1,1.716709,5.0037,solo_rampup
32,1,1.672737,5.1353,solo_rampup
33,1,1.703045,5.0439,solo_rampup
34,1,1.643781,5.2257,solo_rampup
35,1,1.706732,5.033,solo_rampup
36,1,1.695841,5.0653,solo_rampup
37,1,1.71596,5.0059,solo_rampup
38,1,1.759785,4.8812,solo_rampup
39,1,1.677509,5.1207,solo_rampup
40,2,1.698726,5.0567,solo_rampup
41,2,1.685143,5.0975,solo_rampup
42,2,1.734421,4.9526,solo_rampup
43,2,1.711698,5.0184,solo_rampup
44,2,1.690881,5.0802,solo_rampup
45,2,1.678369,5.118,solo_rampup
46,2,1.680761,5.1107,solo_rampup
47,2,1.690481,5.0814,solo_rampup
48,2,1.698744,5.0566,solo_rampup
49,2,1.678395,5.1179,solo_rampup
50,2,1.715791,5.0064,solo_rampup
51,2,1.690552,5.0811,solo_rampup
52,2,1.669591,5.1449,solo_rampup
53,2,1.681111,5.1097,solo_rampup
54,2,1.691367,5.0787,solo_rampup
55,2,1.668781,5.1474,solo_rampup
56,2,1.684256,5.1001,solo_rampup
57,2,1.707871,5.0296,solo_rampup
58,2,1.720875,4.9916,solo_rampup
59,2,1.716598,5.004,solo_rampup
60,3,1.664248,5.1615,solo_rampup
61,3,1.712237,5.0168,solo_rampup
62,3,1.746211,4.9192,solo_rampup
63,3,1.639073,5.2407,solo_rampup
64,3,1.66851,5.1483,solo_rampup
65,3,1.750952,4.9059,solo_rampup
66,3,1.669446,5.1454,solo_rampup
67,3,1.673879,5.1318,solo_rampup
68,3,1.713368,5.0135,solo_rampup
69,3,1.682219,5.1063,solo_rampup
70,3,1.648575,5.2105,solo_rampup
71,3,1.741683,4.932,solo_rampup
72,3,1.756579,4.8901,solo_rampup
73,3,1.699679,5.0539,solo_rampup
74,3,1.695239,5.0671,solo_rampup
75,3,1.712653,5.0156,solo_rampup
76,3,1.721185,4.9907,solo_rampup
77,3,1.725308,4.9788,solo_rampup
78,3,1.674351,5.1303,solo_rampup
79,3,1.69484,5.0683,solo_rampup
80,4,1.682468,5.1056,solo_rampup
81,4,1.703903,5.0413,solo_rampup
82,4,1.703685,5.042,solo_rampup
83,4,1.710717,5.0212,solo_rampup
84,4,1.735769,4.9488,solo_rampup
85,4,1.708376,5.0281,solo_rampup
86,4,1.656828,5.1846,solo_rampup
87,4,1.726618,4.975,solo_rampup
88,4,1.672828,5.135,solo_rampup
89,4,1.695482,5.0664,solo_rampup
90,4,1.712852,5.015,solo_rampup
91,4,1.668737,5.1476,solo_rampup
92,4,1.674957,5.1284,solo_rampup
93,4,1.691564,5.0781,solo_rampup
94,4,1.678342,5.1181,solo_rampup
95,4,1.756704,4.8898,solo_rampup
96,4,1.725522,4.9782,solo_rampup
97,4,1.705149,5.0376,solo_rampup
98,4,1.678485,5.1177,solo_rampup
99,4,1.687493,5.0904,solo_rampup
100,5,1.764029,4.8695,contested
101,5,1.664658,5.1602,contested
102,5,1.647282,5.2146,contested
103,5,1.725738,4.9775,contested
104,5,1.738696,4.9404,contested
105,5,1.790317,4.798,contested
106,5,1.698884,5.0562,contested
107,5,1.712413,5.0163,contested
108,5,1.7252,4.9791,contested
109,5,1.708304,5.0283,contested
110,5,1.71775,5.0007,contested
111,5,1.713435,5.0133,contested
112,5,1.700977,5.05,contested
113,5,1.717452,5.0016,contested
114,5,1.691492,5.0783,contested
115,5,1.703708,5.0419,contested
116,5,1.74288,4.9286,contested
117,5,1.675287,5.1274,contested
118,5,1.700477,5.0515,contested
119,5,1.712324,5.0165,contested
120,6,1.686528,5.0933,contested
121,6,1.726286,4.976,contested
122,6,1.668559,5.1481,contested
123,6,1.70396,5.0412,contested
124,6,1.721218,4.9906,contested
125,6,1.686755,5.0926,contested
126,6,1.66227,5.1676,contested
127,6,1.731847,4.96,contested
128,6,1.731068,4.9622,contested
129,6,1.721106,4.9909,contested
130,6,1.687799,5.0894,contested
131,6,1.725468,4.9783,contested
132,6,1.75229,4.9021,contested
133,6,1.695979,5.0649,contested
134,6,1.71636,5.0047,contested
135,6,1.704231,5.0404,contested
136,6,1.660657,5.1726,contested
137,6,1.785587,4.8107,contested
138,6,1.674783,5.129,contested
139,6,1.64258,5.2295,contested
140,7,1.690908,5.0801,contested
141,7,1.673715,5.1323,contested
142,7,1.676891,5.1225,contested
143,7,1.726465,4.9754,contested
144,7,1.752658,4.9011,contested
145,7,1.704072,5.0408,contested
146,7,1.703968,5.0411,contested
147,7,1.687205,5.0912,contested
148,7,1.690526,5.0812,contested
149,7,1.74247,4.9297,contested
150,7,1.692569,5.0751,contested
151,7,1.691017,5.0797,contested
152,7,1.718016,4.9999,contested
153,7,1.732146,4.9591,contested
154,7,1.66824,5.1491,contested
155,7,1.694947,5.068,contested
156,7,1.690437,5.0815,contested
157,7,1.70441,5.0398,contested
158,7,1.67339,5.1333,contested
159,7,1.67875,5.1169,contested
160,8,1.717883,5.0003,contested
161,8,1.652558,5.198,contested
162,8,1.669761,5.1444,contested
163,8,1.721632,4.9894,contested
164,8,1.751584,4.9041,contested
165,8,1.666064,5.1558,contested
166,8,1.751579,4.9041,contested
167,8,1.742631,4.9293,contested
168,8,1.673359,5.1333,contested
169,8,1.72622,4.9762,contested
170,8,1.743327,4.9273,contested
171,8,1.673858,5.1318,contested
172,8,1.673069,5.1342,contested
173,8,1.739679,4.9377,contested
174,8,1.738637,4.9406,contested
175,8,1.731654,4.9605,contested
176,8,1.661617,5.1696,contested
177,8,1.664504,5.1607,contested
178,8,1.704573,5.0393,contested
179,8,1.709829,5.0239,contested
180,9,1.721143,4.9908,contested
181,9,1.722188,4.9878,contested
182,9,1.707955,5.0294,contested
183,9,1.65597,5.1873,contested
184,9,1.725995,4.9768,contested
185,9,1.67815,5.1187,contested
186,9,1.738079,4.9422,contested
187,9,1.681994,5.107,contested
188,9,1.65589,5.1875,contested
189,9,1.691015,5.0798,contested
190,9,1.729712,4.9661,contested
191,9,1.669449,5.1454,contested
192,9,1.759904,4.8809,contested
193,9,1.695656,5.0658,contested
194,9,1.648811,5.2098,contested
195,9,1.730819,4.9629,contested
196,9,1.695723,5.0656,contested
197,9,1.68146,5.1086,contested
198,9,1.630222,5.2692,contested
199,9,1.781484,4.8218,contested
200,10,1.682113,5.1066,contested
201,10,1.668799,5.1474,contested
202,10,1.674071,5.1312,contested
203,10,1.682003,5.107,contested
204,10,1.760306,4.8798,contested
205,10,1.717346,5.0019,contested
206,10,1.686147,5.0944,contested
207,10,1.690625,5.0809,contested
208,10,1.686756,5.0926,contested
209,10,1.718443,4.9987,contested
210,10,1.695758,5.0655,contested
211,10,1.052915,8.1582,contested
212,10,0.819926,10.4765,contested
213,10,0.803574,10.6897,contested
214,10,0.831277,10.3334,contested
215,10,0.804792,10.6735,contested
216,10,0.803951,10.6846,contested
217,10,0.80535,10.6661,contested
218,10,0.812326,10.5745,contested
219,10,0.812661,10.5701,contested
220,11,0.806455,10.6515,contested
221,11,0.808462,10.625,contested
222,11,0.813598,10.558,contested
223,11,0.804515,10.6772,contested
224,11,0.813085,10.5646,contested
225,11,0.812509,10.5721,contested
226,11,0.814611,10.5448,contested
227,11,0.805162,10.6686,contested
228,11,0.815964,10.5273,contested
229,11,0.809058,10.6172,contested
230,11,0.8125,10.5722,contested
231,11,0.81372,10.5564,contested
232,11,0.804609,10.6759,contested
233,11,0.811824,10.581,contested
234,11,0.8057,10.6615,contested
235,11,0.81042,10.5994,contested
236,11,0.802837,10.6995,contested
237,11,0.801466,10.7178,contested
238,11,0.813846,10.5547,contested
239,11,0.814808,10.5423,contested
240,12,0.806082,10.6564,contested
241,12,0.804571,10.6764,contested
242,12,0.809707,10.6087,contested
243,12,0.81307,10.5648,contested
244,12,0.811786,10.5815,contested
245,12,0.803068,10.6964,contested
246,12,0.815655,10.5313,contested
247,12,0.824188,10.4223,contested
248,12,0.813817,10.5551,contested
249,12,0.811952,10.5794,contested
250,12,0.815083,10.5387,contested
251,12,0.807792,10.6338,contested
252,12,0.818356,10.4966,contested
253,12,0.805505,10.664,contested
254,12,0.80651,10.6508,contested
255,12,0.821299,10.459,contested
256,12,0.822244,10.4469,contested
257,12,0.812482,10.5725,contested
258,12,0.80769,10.6352,contested
259,12,0.802802,10.6999,contested
260,13,0.807225,10.6413,contested
261,13,0.809475,10.6117,contested
262,13,0.81702,10.5137,contested
263,13,0.807996,10.6312,contested
264,13,0.817901,10.5024,contested
265,13,0.807785,10.6339,contested
266,13,0.816715,10.5177,contested
267,13,0.822856,10.4392,contested
268,13,0.812749,10.569,contested
269,13,0.828455,10.3686,contested
270,13,0.817098,10.5127,contested
271,13,0.813571,10.5583,contested
272,13,0.802589,10.7028,contested
273,13,0.811759,10.5819,contested
274,13,0.818313,10.4971,contested
275,13,0.817497,10.5076,contested
276,13,0.817086,10.5129,contested
277,13,0.822595,10.4425,contested
278,13,0.816359,10.5223,contested
279,13,0.809619,10.6098,contested
280,14,0.817804,10.5037,contested
281,14,0.818415,10.4958,contested
282,14,0.816213,10.5241,contested
283,14,0.809331,10.6136,contested
284,14,0.812857,10.5676,contested
285,14,0.801584,10.7162,contested
286,14,0.805059,10.67,contested
287,14,0.814669,10.5441,contested
288,14,0.808115,10.6296,contested
289,14,0.814063,10.5519,contested
290,14,0.822523,10.4434,contested
291,14,0.816725,10.5175,contested
292,14,0.810879,10.5934,contested
293,14,0.813156,10.5637,contested
294,14,0.811251,10.5885,contested
295,14,0.823027,10.437,contested
296,14,0.808059,10.6303,contested
297,14,0.818054,10.5004,contested
298,14,0.835476,10.2815,contested
299,14,0.815467,10.5338,contested
