iter,epoch,comm_dur_s,bw_gbps,phase
0,0,0.706572,12.1572,contested
1,0,0.569896,15.0728,contested
2,0,0.557286,15.4139,contested
3,0,0.565147,15.1995,contested
4,0,0.514435,16.6978,contested
5,0,0.522357,16.4446,contested
6,0,0.523196,16.4182,contested
7,0,0.539899,15.9103,contested
8,0,1.034387,8.3044,contested
9,0,0.532046,16.1451,contested
10,0,0.526467,16.3162,contested
11,0,0.530612,16.1887,contested
12,0,0.528271,16.2605,contested
13,0,0.522053,16.4541,contested
14,0,0.535261,16.0481,contested
15,0,0.530141,16.2031,contested
16,0,0.5309,16.1799,contested
17,0,0.518393,16.5703,contested
18,0,0.54948,15.6328,contested
19,0,0.836613,10.2675,contested
20,1,0.703921,12.203,contested
21,1,0.552045,15.5602,contested
22,1,0.515035,16.6784,contested
23,1,0.714423,12.0236,contested
24,1,0.530947,16.1785,contested
25,1,0.523796,16.3994,contested
26,1,0.527114,16.2962,contested
27,1,0.528104,16.2656,contested
28,1,0.526376,16.319,contested
29,1,0.526419,16.3177,contested
30,1,0.521834,16.461,contested
31,1,0.545024,15.7607,contested
32,1,0.521764,16.4632,contested
33,1,0.517846,16.5878,contested
34,1,0.535292,16.0472,contested
35,1,0.501475,17.1293,contested
36,1,0.522752,16.4322,contested
37,1,0.531014,16.1765,contested
38,1,0.534884,16.0594,contested
39,1,0.747077,11.4981,contested
40,2,0.518648,16.5622,contested
41,2,0.547852,15.6793,contested
42,2,0.5321,16.1435,contested
43,2,0.533344,16.1058,contested
44,2,0.539264,15.929,contested
45,2,0.535154,16.0513,contested
46,2,0.527159,16.2948,contested
47,2,0.521976,16.4566,contested
48,2,0.540187,15.9018,contested
49,2,0.536584,16.0085,contested
50,2,0.526142,16.3263,contested
51,2,0.522014,16.4554,contested
52,2,0.523646,16.4041,contested
53,2,0.523418,16.4112,contested
54,2,0.517733,16.5914,contested
55,2,0.683571,12.5663,contested
56,2,0.536735,16.004,contested
57,2,0.527797,16.2751,contested
58,2,0.540613,15.8893,contested
59,2,0.536557,16.0094,contested
60,3,0.530428,16.1943,contested
61,3,0.532057,16.1448,contested
62,3,0.526751,16.3074,contested
63,3,0.508978,16.8768,contested
64,3,0.531706,16.1554,contested
65,3,0.550597,15.6011,contested
66,3,0.535926,16.0282,contested
67,3,0.517712,16.5921,contested
68,3,0.509179,16.8702,contested
69,3,0.531541,16.1604,contested
70,3,0.535427,16.0431,contested
71,3,0.699134,12.2865,contested
72,3,0.521935,16.4579,contested
73,3,0.531713,16.1552,contested
74,3,0.531021,16.1763,contested
75,3,0.54131,15.8688,contested
76,3,0.514902,16.6826,contested
77,3,0.532411,16.134,contested
78,3,0.513426,16.7306,contested
79,3,0.527764,16.2761,contested
80,4,0.539727,15.9153,contested
81,4,0.553823,15.5102,contested
82,4,0.540043,15.906,contested
83,4,0.527098,16.2966,contested
84,4,0.513825,16.7176,contested
85,4,0.526316,16.3209,contested
86,4,0.531076,16.1746,contested
87,4,0.697369,12.3176,contested
88,4,0.539932,15.9093,contested
89,4,0.540384,15.896,contested
90,4,0.518124,16.5789,contested
91,4,0.517613,16.5953,contested
92,4,0.539253,15.9293,contested
93,4,0.527085,16.2971,contested
94,4,0.545081,15.759,contested
95,4,0.539367,15.926,contested
96,4,0.543299,15.8107,contested
97,4,0.518357,16.5715,contested
98,4,0.537166,15.9912,contested
99,4,0.523398,16.4119,contested
100,5,0.517762,16.5905,contested
101,5,0.535997,16.0261,contested
102,5,0.519841,16.5242,contested
103,5,0.683371,12.5699,contested
104,5,0.531493,16.1619,contested
105,5,0.523617,16.405,contested
106,5,0.522641,16.4356,contested
107,5,0.530603,16.189,contested
108,5,0.522936,16.4264,contested
109,5,0.530822,16.1823,contested
110,5,0.530351,16.1967,contested
111,5,0.527894,16.2721,contested
112,5,0.53934,15.9268,contested
113,5,0.522294,16.4466,contested
114,5,0.518239,16.5753,contested
115,5,0.514397,16.699,contested
116,5,0.539347,15.9266,contested
117,5,0.539798,15.9132,contested
118,5,0.526742,16.3077,contested
119,5,0.69539,12.3527,contested
120,6,0.514752,16.6875,contested
121,6,0.530461,16.1933,contested
122,6,0.535168,16.0509,contested
123,6,0.528247,16.2612,contested
124,6,0.533747,16.0936,contested
125,6,0.530552,16.1905,contested
126,6,0.52736,16.2886,contested
127,6,0.536308,16.0168,contested
128,6,0.535921,16.0284,contested
129,6,0.527676,16.2788,contested
130,6,0.519417,16.5377,contested
131,6,0.528485,16.2539,contested
132,6,0.531001,16.1769,contested
133,6,0.530509,16.1919,contested
134,6,0.52663,16.3111,contested
135,6,0.70668,12.1553,contested
136,6,0.522651,16.4353,contested
137,6,0.524245,16.3853,contested
138,6,0.548308,15.6662,contested
139,6,0.535574,16.0387,contested
140,7,0.518006,16.5827,contested
141,7,0.537214,15.9898,contested
142,7,0.535394,16.0441,contested
143,7,0.540951,15.8793,contested
144,7,0.531501,16.1616,contested
145,7,0.526889,16.3031,contested
146,7,0.540864,15.8819,contested
147,7,0.502148,17.1064,contested
148,7,0.513599,16.725,contested
149,7,0.523447,16.4103,contested
150,7,0.515441,16.6652,contested
151,7,0.710058,12.0975,contested
152,7,0.531733,16.1546,contested
153,7,0.52375,16.4008,contested
154,7,0.502669,17.0886,contested
155,7,0.528125,16.265,contested
156,7,0.510937,16.8121,contested
157,7,0.523899,16.3962,contested
158,7,0.523128,16.4203,contested
159,7,0.556548,15.4343,contested
160,8,0.53542,16.0434,contested
161,8,0.500575,17.1601,contested
162,8,0.519192,16.5448,contested
163,8,0.532852,16.1207,contested
164,8,0.527075,16.2974,contested
165,8,0.51835,16.5717,contested
166,8,0.485121,17.7068,contested
167,8,0.838152,10.2487,contested
168,8,0.533214,16.1097,contested
169,8,0.526165,16.3256,contested
170,8,0.536865,16.0002,contested
171,8,0.550129,15.6144,contested
172,8,0.52232,16.4457,contested
173,8,0.552828,15.5382,contested
174,8,0.529559,16.2209,contested
175,8,0.520929,16.4897,contested
176,8,0.536937,15.998,contested
177,8,0.53983,15.9123,contested
178,8,0.529142,16.2337,contested
179,8,0.543986,15.7907,contested
180,9,0.515425,16.6657,contested
181,9,0.526885,16.3033,contested
182,9,0.537259,15.9884,contested
183,9,0.64039,13.4136,contested
184,9,0.526779,16.3065,contested
185,9,0.5183,16.5733,contested
186,9,0.531339,16.1666,contested
187,9,0.510354,16.8313,contested
188,9,0.539683,15.9166,contested
189,9,0.528189,16.263,contested
190,9,0.53715,15.9917,contested
191,9,0.538179,15.9611,contested
192,9,0.51654,16.6297,contested
193,9,0.526028,16.3298,contested
194,9,0.540659,15.8879,contested
195,9,0.532523,16.1306,contested
196,9,0.522011,16.4555,contested
197,9,0.522723,16.4331,contested
198,9,0.532161,16.1416,contested
199,9,0.708619,12.1221,contested
200,10,0.514379,16.6996,contested
201,10,0.539458,15.9233,contested
202,10,0.535357,16.0452,contested
203,10,0.53225,16.1389,contested
204,10,0.556754,15.4286,contested
205,10,0.526581,16.3126,contested
206,10,0.540462,15.8937,contested
207,10,0.53087,16.1809,contested
208,10,0.531694,16.1558,contested
209,10,0.519703,16.5285,contested
210,10,0.548435,15.6626,contested
211,10,0.523396,16.4119,contested
212,10,0.523603,16.4054,contested
213,10,0.52425,16.3852,contested
214,10,0.513813,16.718,contested
215,10,0.676117,12.7048,contested
216,10,0.513965,16.7131,contested
217,10,0.523773,16.4001,contested
218,10,0.523707,16.4022,contested
219,10,0.535818,16.0314,contested
220,11,0.514527,16.6948,contested
221,11,0.528656,16.2486,contested
222,11,0.554039,15.5042,contested
223,11,0.537518,15.9807,contested
224,11,0.54891,15.6491,contested
225,11,0.527232,16.2925,contested
226,11,0.536697,16.0052,contested
227,11,0.526995,16.2998,contested
228,11,0.519338,16.5402,contested
229,11,0.536449,16.0126,contested
230,11,0.527846,16.2736,contested
231,11,0.532963,16.1173,contested
232,11,0.535056,16.0543,contested
233,11,0.52642,16.3177,contested
234,11,0.548202,15.6693,contested
235,11,0.531149,16.1724,contested
236,11,0.515165,16.6741,contested
237,11,0.545107,15.7582,contested
238,11,0.539567,15.92,contested
239,11,0.525535,16.3451,contested
240,12,0.536571,16.0089,contested
241,12,0.540002,15.9072,contested
242,12,0.527663,16.2792,contested
243,12,0.526819,16.3053,contested
244,12,0.52719,16.2938,contested
245,12,0.53612,16.0224,contested
246,12,0.544546,15.7745,contested
247,12,0.535282,16.0475,contested
248,12,0.548482,15.6613,contested
249,12,0.525215,16.3551,contested
250,12,0.535111,16.0526,contested
251,12,0.527221,16.2929,contested
252,12,0.510478,16.8272,contested
253,12,0.522412,16.4428,contested
254,12,0.532434,16.1333,contested
255,12,0.540306,15.8983,contested
256,12,0.532484,16.1318,contested
257,12,0.535137,16.0518,contested
258,12,0.519512,16.5346,contested
259,12,0.548938,15.6483,contested
260,13,0.544181,15.7851,contested
261,13,0.536238,16.0189,contested
262,13,0.526642,16.3108,contested
263,13,0.531006,16.1767,contested
264,13,0.545746,15.7398,contested
265,13,0.535337,16.0458,contested
266,13,0.514988,16.6799,contested
267,13,0.531005,16.1768,contested
268,13,0.526927,16.3019,contested
269,13,0.545394,15.75,contested
270,13,0.526366,16.3193,contested
271,13,0.522271,16.4473,contested
272,13,0.535334,16.0459,contested
273,13,0.5575,15.408,contested
274,13,0.522752,16.4321,contested
275,13,0.545131,15.7576,contested
276,13,0.518207,16.5763,contested
277,13,0.534978,16.0566,contested
278,13,0.531132,16.1729,contested
279,13,0.532801,16.1222,contested
280,14,0.530881,16.1805,contested
281,14,0.522155,16.4509,contested
282,14,0.543823,15.7955,contested
283,14,0.540535,15.8915,contested
284,14,0.534196,16.0801,contested
285,14,0.532373,16.1352,contested
286,14,0.527748,16.2766,contested
287,14,0.5328,16.1223,contested
288,14,0.446454,19.2403,contested
289,14,0.301763,28.4658,contested
290,14,0.293491,29.2681,contested
291,14,0.27362,31.3937,contested
292,14,0.291641,29.4538,contested
293,14,0.30505,28.1591,contested
294,14,0.305655,28.1033,contested
295,14,0.297087,28.9139,contested
296,14,0.293378,29.2794,contested
297,14,0.297255,28.8975,contested
298,14,0.292076,29.41,contested
299,14,0.29519,29.0997,contested
