iter,window,comm_dur_s,bw_gbps,phase
0,0,2.623617,3.2741,contested
1,0,2.508189,3.4248,contested
2,0,2.467854,3.4807,contested
3,0,2.42643,3.5402,contested
4,0,2.494633,3.4434,contested
5,0,2.45357,3.501,contested
6,0,2.504633,3.4296,contested
7,0,2.526399,3.4001,contested
8,0,2.552501,3.3653,contested
9,0,2.494302,3.4438,contested
10,0,2.481711,3.4613,contested
11,0,2.469938,3.4778,contested
12,0,2.464311,3.4857,contested
13,0,2.481181,3.462,contested
14,0,2.51373,3.4172,contested
15,0,2.516722,3.4131,contested
16,0,2.513524,3.4175,contested
17,0,2.5515,3.3666,contested
18,0,2.488104,3.4524,contested
19,0,2.468968,3.4792,contested
20,1,2.520582,3.4079,contested
21,1,2.468766,3.4794,contested
22,1,2.507705,3.4254,contested
23,1,2.559859,3.3556,contested
24,1,2.495618,3.442,contested
25,1,2.508166,3.4248,contested
26,1,2.548247,3.3709,contested
27,1,2.530998,3.3939,contested
28,1,2.492214,3.4467,contested
29,1,2.512671,3.4186,contested
30,1,2.514647,3.416,contested
31,1,2.490903,3.4485,contested
32,1,2.50873,3.424,contested
33,1,2.499351,3.4369,contested
34,1,2.563842,3.3504,contested
35,1,2.506874,3.4266,contested
36,1,2.513402,3.4177,contested
37,1,2.505889,3.4279,contested
38,1,2.538573,3.3838,contested
39,1,2.474554,3.4713,contested
40,2,2.508162,3.4248,contested
41,2,2.49744,3.4395,contested
42,2,2.603904,3.2989,contested
43,2,2.559931,3.3555,contested
44,2,2.539548,3.3825,contested
45,2,2.508715,3.424,contested
46,2,2.486965,3.454,contested
47,2,2.583816,3.3245,contested
48,2,2.527874,3.3981,contested
49,2,2.506741,3.4267,contested
50,2,2.49581,3.4417,contested
51,2,2.480598,3.4628,contested
52,2,2.52515,3.4018,contested
53,2,2.508634,3.4241,contested
54,2,2.548459,3.3706,contested
55,2,2.44795,3.509,contested
56,2,2.478642,3.4656,contested
57,2,2.518751,3.4104,contested
58,2,2.500534,3.4352,contested
59,2,2.471253,3.4759,contested
60,3,2.571574,3.3403,contested
61,3,2.513817,3.4171,contested
62,3,2.489465,3.4505,contested
63,3,2.510182,3.422,contested
64,3,2.482555,3.4601,contested
65,3,2.486992,3.4539,contested
66,3,2.512389,3.419,contested
67,3,2.476734,3.4683,contested
68,3,2.518609,3.4106,contested
69,3,2.554916,3.3621,contested
70,3,2.521721,3.4064,contested
71,3,2.544926,3.3753,contested
72,3,2.472051,3.4748,contested
