iter,window,comm_dur_s,bw_gbps,phase
0,0,1.848409,4.6472,contested
1,0,1.708668,5.0273,contested
2,0,1.664014,5.1622,contested
3,0,1.724076,4.9823,contested
4,0,1.678498,5.1176,contested
5,0,1.689872,5.0832,contested
6,0,1.677611,5.1203,contested
7,0,1.678028,5.1191,contested
8,0,1.686552,5.0932,contested
9,0,1.685289,5.097,contested
10,0,1.685536,5.0963,contested
11,0,1.693968,5.0709,contested
12,0,1.711841,5.018,contested
13,0,1.700386,5.0518,contested
14,0,1.68188,5.1073,contested
15,0,1.695271,5.067,contested
16,0,1.712252,5.0167,contested
17,0,1.718827,4.9976,contested
18,0,1.703802,5.0416,contested
19,0,1.733062,4.9565,contested
20,1,2.693433,3.1892,contested
21,1,2.50359,3.431,contested
22,1,2.39615,3.5849,contested
23,1,2.50482,3.4294,contested
24,1,2.4837,3.4585,contested
25,1,2.517895,3.4116,contested
26,1,2.462834,3.4878,contested
27,1,2.509002,3.4236,contested
28,1,2.481115,3.4621,contested
29,1,2.539222,3.3829,contested
30,1,2.492235,3.4467,contested
31,1,2.538951,3.3833,contested
32,1,2.530566,3.3945,contested
33,1,2.469356,3.4786,contested
34,1,2.501499,3.4339,contested
35,1,2.449581,3.5067,contested
36,1,2.472456,3.4743,contested
37,1,2.444654,3.5138,contested
38,1,2.50849,3.4243,contested
39,1,2.448802,3.5078,contested
40,2,2.513674,3.4173,contested
41,2,2.544564,3.3758,contested
42,2,2.490784,3.4487,contested
43,2,2.49725,3.4398,contested
44,2,2.51407,3.4167,contested
45,2,2.480068,3.4636,contested
46,2,3.088472,2.7813,contested
47,2,3.192669,2.6905,contested
48,2,3.075543,2.793,contested
49,2,3.147447,2.7292,contested
50,2,3.062738,2.8047,contested
51,2,3.159037,2.7192,contested
52,2,3.175565,2.705,contested
53,2,3.23785,2.653,contested
54,2,3.196686,2.6871,contested
55,2,2.932463,2.9293,contested
56,2,2.517889,3.4116,contested
57,2,2.531264,3.3935,contested
58,2,2.483448,3.4589,contested
59,2,2.44472,3.5137,contested
60,3,2.504266,3.4301,contested
61,3,2.414691,3.5574,contested
62,3,2.478141,3.4663,contested
63,3,2.510721,3.4213,contested
64,3,2.529689,3.3956,contested
65,3,2.4796,3.4642,contested
66,3,2.49525,3.4425,contested
67,3,2.470972,3.4763,contested
68,3,2.501019,3.4346,contested
69,3,2.47148,3.4756,contested
70,3,2.491678,3.4474,contested
71,3,2.511291,3.4205,contested
72,3,2.487681,3.453,contested
73,3,2.47455,3.4713,contested
74,3,2.512338,3.4191,contested
75,3,2.487321,3.4535,contested
76,3,2.552133,3.3658,contested
77,3,2.568595,3.3442,contested
78,3,2.507326,3.4259,contested
79,3,2.422873,3.5454,contested
80,4,2.530564,3.3945,contested
81,4,2.510706,3.4213,contested
82,4,2.531823,3.3928,contested
83,4,2.457087,3.496,contested
84,4,2.571499,3.3404,contested
85,4,2.61639,3.2831,contested
86,4,3.189105,2.6935,contested
87,4,3.032374,2.8327,contested
88,4,3.14284,2.7332,contested
89,4,3.262957,2.6326,contested
90,4,3.180653,2.7007,contested
91,4,3.232601,2.6573,contested
92,4,3.054558,2.8122,contested
93,4,3.076073,2.7925,contested
94,4,3.18378,2.698,contested
95,4,2.802181,3.0654,contested
96,4,2.525434,3.4014,contested
97,4,2.492349,3.4465,contested
98,4,2.473618,3.4726,contested
99,4,2.477734,3.4669,contested
100,5,3.105,2.7665,contested
101,5,3.125338,2.7485,contested
102,5,3.176875,2.7039,contested
103,5,3.202131,2.6826,contested
104,5,3.136818,2.7384,contested
105,5,3.205407,2.6798,contested
106,5,3.245835,2.6464,contested
107,5,3.055809,2.811,contested
108,5,3.24524,2.6469,contested
109,5,3.085459,2.784,contested
110,5,2.501122,3.4344,contested
111,5,2.530724,3.3943,contested
112,5,2.500645,3.4351,contested
113,5,2.514523,3.4161,contested
114,5,2.509796,3.4226,contested
115,5,2.463919,3.4863,contested
116,5,2.535721,3.3876,contested
117,5,2.462632,3.4881,contested
118,5,2.469284,3.4787,contested
119,5,2.467359,3.4814,contested
120,6,2.556132,3.3605,contested
121,6,2.502323,3.4328,contested
122,6,2.449219,3.5072,contested
123,6,2.504764,3.4294,contested
124,6,2.482335,3.4604,contested
125,6,2.556793,3.3597,contested
126,6,2.465498,3.4841,contested
