epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.188979,23.1164,-0.249385,2,16,0.7497,4201.087
1,phase1,1024,1.2,30000,0.188875,23.2834,-0.249658,2,16,0.7493,4201.087
2,phase1,1024,1.2,30000,0.181631,24.021,-0.259213,2,16,0.7206,4201.087
3,phase1,1024,1.2,30000,0.297114,14.555,-0.147672,2,16,1.1787,4201.087
4,phase1,1024,1.2,30000,0.301174,14.2703,-0.077431,4,32,1.1948,4201.087
5,phase1,1024,1.2,30000,0.369406,11.8548,0.014437,4,32,1.4655,4201.087
6,phase1,1024,1.2,30000,0.370625,11.6054,0.080811,4,32,1.4704,4201.087
7,phase2,1024,3.0,30000,0.364615,11.8125,-0.548957,1,8,0.5786,4201.087
8,phase2,1024,3.0,30000,0.313836,13.8484,-0.543351,1,8,0.498,4201.087
9,phase2,1024,3.0,30000,0.292627,14.8587,-0.542247,1,8,0.4644,4201.087
10,phase2,1024,3.0,30000,0.263214,16.3824,-0.545598,1,8,0.4177,4201.087
11,phase2,1024,3.0,30000,0.267873,16.1087,-0.54775,1,8,0.4251,4201.087
12,phase2,1024,3.0,30000,0.270344,15.926,-0.54927,1,8,0.429,4201.087
13,phase2,1024,3.0,30000,0.257591,16.7109,-0.552022,1,8,0.4088,4201.087
14,phase2,1024,3.0,30000,0.271568,15.8999,-0.552925,1,8,0.4309,4201.087
