iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.848432,5.0622,phase1
1,0,1024,1.2,30000,0.643781,6.6715,phase1
2,0,1024,1.2,30000,0.628328,6.8356,phase1
3,0,1024,1.2,30000,0.658566,6.5217,phase1
4,0,1024,1.2,30000,0.605075,7.0982,phase1
5,0,1024,1.2,30000,0.650429,6.6033,phase1
6,0,1024,1.2,30000,0.642631,6.6834,phase1
7,0,1024,1.2,30000,0.603485,7.1169,phase1
8,0,1024,1.2,30000,0.656359,6.5436,phase1
9,0,1024,1.2,30000,0.62392,6.8838,phase1
10,0,1024,1.2,30000,0.679052,6.3249,phase1
11,0,1024,1.2,30000,0.620152,6.9257,phase1
12,0,1024,1.2,30000,0.631062,6.8059,phase1
13,0,1024,1.2,30000,0.669328,6.4168,phase1
14,0,1024,1.2,30000,0.63545,6.7589,phase1
15,0,1024,1.2,30000,0.649,6.6178,phase1
16,0,1024,1.2,30000,0.631928,6.7966,phase1
17,0,1024,1.2,30000,0.702303,6.1156,phase1
18,0,1024,1.2,30000,1.24116,3.4604,phase1
19,0,1024,1.2,30000,1.263993,3.3979,phase1
20,1,1024,1.2,30000,1.291899,3.3245,phase1
21,1,1024,1.2,30000,1.226634,3.5014,phase1
22,1,1024,1.2,30000,1.231509,3.4876,phase1
23,1,1024,1.2,30000,1.192275,3.6023,phase1
24,1,1024,1.2,30000,1.243603,3.4536,phase1
25,1,1024,1.2,30000,1.188724,3.6131,phase1
26,1,1024,1.2,30000,1.434811,2.9934,phase1
27,1,1024,1.2,30000,1.244679,3.4507,phase1
28,1,1024,1.2,30000,1.219517,3.5219,phase1
29,1,1024,1.2,30000,1.215749,3.5328,phase1
30,1,1024,1.2,30000,1.180323,3.6388,phase1
31,1,1024,1.2,30000,1.222205,3.5141,phase1
32,1,1024,1.2,30000,1.257883,3.4144,phase1
33,1,1024,1.2,30000,1.214232,3.5372,phase1
34,1,1024,1.2,30000,1.204981,3.5643,phase1
35,1,1024,1.2,30000,1.189986,3.6093,phase1
36,1,1024,1.2,30000,1.205063,3.5641,phase1
37,1,1024,1.2,30000,1.22649,3.5018,phase1
38,1,1024,1.2,30000,1.31809,3.2585,phase1
39,1,1024,1.2,30000,1.206856,3.5588,phase1
40,2,1024,1.2,30000,1.209521,3.551,phase1
41,2,1024,1.2,30000,1.191712,3.604,phase1
42,2,1024,1.2,30000,1.340293,3.2045,phase1
43,2,1024,1.2,30000,1.162523,3.6945,phase1
44,2,1024,1.2,30000,1.183916,3.6278,phase1
45,2,1024,1.2,30000,1.300346,3.3029,phase1
46,2,1024,1.2,30000,1.252901,3.428,phase1
47,2,1024,1.2,30000,1.205505,3.5628,phase1
48,2,1024,1.2,30000,1.232046,3.486,phase1
49,2,1024,1.2,30000,1.318333,3.2579,phase1
50,2,1024,1.2,30000,1.222834,3.5123,phase1
51,2,1024,1.2,30000,1.275548,3.3672,phase1
52,2,1024,1.2,30000,1.378649,3.1153,phase1
53,2,1024,1.2,30000,1.189092,3.612,phase1
54,2,1024,1.2,30000,1.196698,3.589,phase1
55,2,1024,1.2,30000,1.27684,3.3637,phase1
