iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.886024,4.8475,phase1
1,0,1024,1.2,30000,0.674886,6.364,phase1
2,0,1024,1.2,30000,0.652741,6.5799,phase1
3,0,1024,1.2,30000,0.613722,6.9982,phase1
4,0,1024,1.2,30000,0.654721,6.56,phase1
5,0,1024,1.2,30000,0.655454,6.5527,phase1
6,0,1024,1.2,30000,0.667222,6.4371,phase1
7,0,1024,1.2,30000,0.596016,7.2061,phase1
8,0,1024,1.2,30000,0.635566,6.7577,phase1
9,0,1024,1.2,30000,0.660268,6.5049,phase1
10,0,1024,1.2,30000,0.656958,6.5377,phase1
11,0,1024,1.2,30000,0.628096,6.8381,phase1
12,0,1024,1.2,30000,0.667485,6.4346,phase1
13,0,1024,1.2,30000,0.64744,6.6338,phase1
14,0,1024,1.2,30000,0.61829,6.9465,phase1
15,0,1024,1.2,30000,0.628181,6.8371,phase1
16,0,1024,1.2,30000,0.807001,5.3221,phase1
17,0,1024,1.2,30000,1.38378,3.1038,phase1
18,0,1024,1.2,30000,1.399805,3.0683,phase1
19,0,1024,1.2,30000,1.18851,3.6137,phase1
20,1,1024,1.2,30000,0.754871,5.6897,phase1
21,1,1024,1.2,30000,0.739043,5.8115,phase1
22,1,1024,1.2,30000,0.76344,5.6258,phase1
23,1,1024,1.2,30000,0.703086,6.1087,phase1
24,1,1024,1.2,30000,0.733737,5.8535,phase1
25,1,1024,1.2,30000,0.713038,6.0235,phase1
26,1,1024,1.2,30000,0.715651,6.0015,phase1
27,1,1024,1.2,30000,0.733963,5.8518,phase1
28,1,1024,1.2,30000,0.690356,6.2214,phase1
29,1,1024,1.2,30000,0.742091,5.7877,phase1
30,1,1024,1.2,30000,0.728625,5.8946,phase1
31,1,1024,1.2,30000,0.720548,5.9607,phase1
32,1,1024,1.2,30000,0.72895,5.892,phase1
33,1,1024,1.2,30000,0.715473,6.003,phase1
34,1,1024,1.2,30000,0.728793,5.8933,phase1
35,1,1024,1.2,30000,0.76031,5.649,phase1
36,1,1024,1.2,30000,0.72038,5.9621,phase1
37,1,1024,1.2,30000,0.720507,5.961,phase1
38,1,1024,1.2,30000,0.707294,6.0724,phase1
39,1,1024,1.2,30000,0.746577,5.7529,phase1
40,2,1024,1.2,30000,0.724725,5.9263,phase1
41,2,1024,1.2,30000,0.728852,5.8928,phase1
42,2,1024,1.2,30000,0.724426,5.9288,phase1
43,2,1024,1.2,30000,0.707583,6.0699,phase1
44,2,1024,1.2,30000,0.737445,5.8241,phase1
45,2,1024,1.2,30000,0.709204,6.056,phase1
46,2,1024,1.2,30000,0.729028,5.8914,phase1
47,2,1024,1.2,30000,0.733451,5.8558,phase1
48,2,1024,1.2,30000,0.708573,6.0614,phase1
49,2,1024,1.2,30000,0.734835,5.8448,phase1
50,2,1024,1.2,30000,0.743674,5.7753,phase1
51,2,1024,1.2,30000,0.720142,5.9641,phase1
52,2,1024,1.2,30000,0.721478,5.953,phase1
53,2,1024,1.2,30000,0.737675,5.8223,phase1
54,2,1024,1.2,30000,0.751669,5.7139,phase1
55,2,1024,1.2,30000,0.707123,6.0739,phase1
56,2,1024,1.2,30000,0.694582,6.1835,phase1
57,2,1024,1.2,30000,0.725148,5.9229,phase1
58,2,1024,1.2,30000,0.711466,6.0368,phase1
59,2,1024,1.2,30000,0.737882,5.8207,phase1
60,3,1024,1.2,30000,0.720235,5.9633,phase1
61,3,1024,1.2,30000,0.720399,5.9619,phase1
62,3,1024,1.2,30000,0.716042,5.9982,phase1
63,3,1024,1.2,30000,0.750417,5.7234,phase1
64,3,1024,1.2,30000,1.205309,3.5634,phase1
65,3,1024,1.2,30000,1.27838,3.3597,phase1
66,3,1024,1.2,30000,1.364022,3.1488,phase1
67,3,1024,1.2,30000,1.304624,3.2921,phase1
68,3,1024,1.2,30000,1.485799,2.8907,phase1
69,3,1024,1.2,30000,1.239727,3.4644,phase1
70,3,1024,1.2,30000,1.288636,3.333,phase1
71,3,1024,1.2,30000,1.390539,3.0887,phase1
72,3,1024,1.2,30000,1.252447,3.4293,phase1
73,3,1024,1.2,30000,1.504952,2.8539,phase1
74,3,1024,1.2,30000,1.481253,2.8996,phase1
75,3,1024,1.2,30000,1.240568,3.4621,phase1
76,3,1024,1.2,30000,1.256509,3.4182,phase1
77,3,1024,1.2,30000,1.347066,3.1884,phase1
78,3,1024,1.2,30000,1.292592,3.3228,phase1
79,3,1024,1.2,30000,1.326625,3.2375,phase1
80,4,1024,1.2,30000,1.286637,3.3381,phase1
81,4,1024,1.2,30000,1.297143,3.3111,phase1
82,4,1024,1.2,30000,1.30013,3.3035,phase1
83,4,1024,1.2,30000,1.220379,3.5194,phase1
84,4,1024,1.2,30000,1.356783,3.1656,phase1
85,4,1024,1.2,30000,1.253433,3.4266,phase1
86,4,1024,1.2,30000,1.282265,3.3495,phase1
87,4,1024,1.2,30000,1.360334,3.1573,phase1
88,4,1024,1.2,30000,1.291051,3.3267,phase1
89,4,1024,1.2,30000,1.352762,3.175,phase1
90,4,1024,1.2,30000,1.308301,3.2829,phase1
91,4,1024,1.2,30000,1.241362,3.4599,phase1
92,4,1024,1.2,30000,1.261101,3.4057,phase1
93,4,1024,1.2,30000,1.332834,3.2224,phase1
94,4,1024,1.2,30000,1.269478,3.3833,phase1
95,4,1024,1.2,30000,1.437025,2.9888,phase1
96,4,1024,1.2,30000,1.36065,3.1566,phase1
97,4,1024,1.2,30000,1.409695,3.0467,phase1
98,4,1024,1.2,30000,1.437136,2.9886,phase1
99,4,1024,1.2,30000,1.275146,3.3682,phase1
100,5,1024,1.2,30000,1.308611,3.2821,phase1
101,5,1024,1.2,30000,1.254063,3.4248,phase1
102,5,1024,1.2,30000,1.244515,3.4511,phase1
103,5,1024,1.2,30000,1.280371,3.3545,phase1
104,5,1024,1.2,30000,1.297184,3.311,phase1
105,5,1024,1.2,30000,1.271935,3.3767,phase1
106,5,1024,1.2,30000,1.27039,3.3808,phase1
107,5,1024,1.2,30000,1.335735,3.2154,phase1
108,5,1024,1.2,30000,1.310441,3.2775,phase1
109,5,1024,1.2,30000,1.234888,3.478,phase1
110,5,1024,1.2,30000,1.28801,3.3346,phase1
111,5,1024,1.2,30000,1.336352,3.2139,phase1
112,5,1024,1.2,30000,1.373863,3.1262,phase1
113,5,1024,1.2,30000,1.407992,3.0504,phase1
114,5,1024,1.2,30000,1.244756,3.4504,phase1
115,5,1024,1.2,30000,1.271236,3.3786,phase1
116,5,1024,1.2,30000,1.494367,2.8741,phase1
117,5,1024,1.2,30000,1.300009,3.3038,phase1
118,5,1024,1.2,30000,1.33026,3.2287,phase1
119,5,1024,1.2,30000,1.276011,3.3659,phase1
120,6,1024,1.2,30000,1.342938,3.1982,phase1
121,6,1024,1.2,30000,1.375356,3.1228,phase1
122,6,1024,1.2,30000,1.301956,3.2989,phase1
123,6,1024,1.2,30000,1.297609,3.3099,phase1
124,6,1024,1.2,30000,1.43901,2.9847,phase1
125,6,1024,1.2,30000,1.369519,3.1361,phase1
126,6,1024,1.2,30000,1.358533,3.1615,phase1
127,6,1024,1.2,30000,1.220188,3.5199,phase1
128,6,1024,1.2,30000,1.288988,3.332,phase1
129,6,1024,1.2,30000,1.31046,3.2775,phase1
130,6,1024,1.2,30000,1.253817,3.4255,phase1
131,6,1024,1.2,30000,1.331171,3.2265,phase1
132,6,1024,1.2,30000,1.315302,3.2654,phase1
133,6,1024,1.2,30000,1.314842,3.2665,phase1
134,6,1024,1.2,30000,1.371161,3.1324,phase1
135,6,1024,1.2,30000,1.345409,3.1923,phase1
136,6,1024,1.2,30000,1.349764,3.182,phase1
137,6,1024,1.2,30000,1.357575,3.1637,phase1
138,6,1024,1.2,30000,1.38886,3.0924,phase1
139,6,1024,1.2,30000,1.257032,3.4168,phase1
140,7,1024,3.0,30000,1.335865,3.2151,phase2
141,7,1024,3.0,30000,1.313337,3.2703,phase2
142,7,1024,3.0,30000,1.300001,3.3038,phase2
143,7,1024,3.0,30000,1.266999,3.3899,phase2
144,7,1024,3.0,30000,1.366524,3.143,phase2
145,7,1024,3.0,30000,1.361628,3.1543,phase2
146,7,1024,3.0,30000,1.291793,3.3248,phase2
147,7,1024,3.0,30000,1.300375,3.3029,phase2
148,7,1024,3.0,30000,1.293683,3.32,phase2
149,7,1024,3.0,30000,1.283199,3.3471,phase2
150,7,1024,3.0,30000,1.430239,3.003,phase2
151,7,1024,3.0,30000,1.284932,3.3426,phase2
152,7,1024,3.0,30000,1.36806,3.1395,phase2
153,7,1024,3.0,30000,1.339518,3.2064,phase2
154,7,1024,3.0,30000,1.304917,3.2914,phase2
155,7,1024,3.0,30000,1.26414,3.3975,phase2
156,7,1024,3.0,30000,1.25733,3.4159,phase2
157,7,1024,3.0,30000,1.42747,3.0088,phase2
158,7,1024,3.0,30000,1.27121,3.3786,phase2
159,7,1024,3.0,30000,1.309066,3.2809,phase2
160,8,1024,3.0,30000,1.274543,3.3698,phase2
161,8,1024,3.0,30000,1.279936,3.3556,phase2
162,8,1024,3.0,30000,1.356651,3.1659,phase2
163,8,1024,3.0,30000,1.504279,2.8552,phase2
164,8,1024,3.0,30000,1.266328,3.3917,phase2
165,8,1024,3.0,30000,1.371167,3.1323,phase2
166,8,1024,3.0,30000,1.335578,3.2158,phase2
167,8,1024,3.0,30000,1.3098,3.2791,phase2
168,8,1024,3.0,30000,1.274777,3.3692,phase2
169,8,1024,3.0,30000,1.322333,3.248,phase2
170,8,1024,3.0,30000,1.33255,3.2231,phase2
171,8,1024,3.0,30000,1.424061,3.016,phase2
172,8,1024,3.0,30000,1.301998,3.2988,phase2
173,8,1024,3.0,30000,1.220111,3.5201,phase2
174,8,1024,3.0,30000,1.279449,3.3569,phase2
175,8,1024,3.0,30000,1.34005,3.2051,phase2
176,8,1024,3.0,30000,1.41792,3.0291,phase2
177,8,1024,3.0,30000,1.357046,3.1649,phase2
178,8,1024,3.0,30000,1.314074,3.2684,phase2
179,8,1024,3.0,30000,1.287765,3.3352,phase2
180,9,1024,3.0,30000,1.339432,3.2066,phase2
181,9,1024,3.0,30000,1.412845,3.0399,phase2
182,9,1024,3.0,30000,1.287571,3.3357,phase2
183,9,1024,3.0,30000,1.348457,3.1851,phase2
184,9,1024,3.0,30000,1.213784,3.5385,phase2
185,9,1024,3.0,30000,1.296428,3.3129,phase2
186,9,1024,3.0,30000,1.412905,3.0398,phase2
187,9,1024,3.0,30000,1.479201,2.9036,phase2
188,9,1024,3.0,30000,1.332676,3.2228,phase2
189,9,1024,3.0,30000,1.250135,3.4356,phase2
190,9,1024,3.0,30000,1.253026,3.4277,phase2
191,9,1024,3.0,30000,1.263041,3.4005,phase2
192,9,1024,3.0,30000,1.365203,3.146,phase2
193,9,1024,3.0,30000,1.474637,2.9126,phase2
194,9,1024,3.0,30000,1.271926,3.3767,phase2
195,9,1024,3.0,30000,1.278984,3.3581,phase2
196,9,1024,3.0,30000,1.274993,3.3686,phase2
197,9,1024,3.0,30000,1.25306,3.4276,phase2
198,9,1024,3.0,30000,1.417319,3.0303,phase2
199,9,1024,3.0,30000,1.262401,3.4022,phase2
200,10,1024,3.0,30000,1.29216,3.3239,phase2
201,10,1024,3.0,30000,1.326829,3.237,phase2
202,10,1024,3.0,30000,1.279149,3.3577,phase2
203,10,1024,3.0,30000,1.421659,3.0211,phase2
204,10,1024,3.0,30000,1.257101,3.4166,phase2
205,10,1024,3.0,30000,1.271892,3.3768,phase2
206,10,1024,3.0,30000,1.466303,2.9291,phase2
207,10,1024,3.0,30000,1.265774,3.3932,phase2
208,10,1024,3.0,30000,1.300384,3.3028,phase2
209,10,1024,3.0,30000,1.322079,3.2486,phase2
210,10,1024,3.0,30000,1.310121,3.2783,phase2
211,10,1024,3.0,30000,1.219912,3.5207,phase2
212,10,1024,3.0,30000,1.309119,3.2808,phase2
213,10,1024,3.0,30000,1.287459,3.336,phase2
214,10,1024,3.0,30000,1.421836,3.0207,phase2
215,10,1024,3.0,30000,1.235783,3.4755,phase2
216,10,1024,3.0,30000,1.29243,3.3232,phase2
217,10,1024,3.0,30000,1.508612,2.847,phase2
218,10,1024,3.0,30000,1.26707,3.3897,phase2
219,10,1024,3.0,30000,1.387799,3.0948,phase2
220,11,1024,3.0,30000,1.501446,2.8606,phase2
221,11,1024,3.0,30000,1.283079,3.3474,phase2
222,11,1024,3.0,30000,1.283153,3.3472,phase2
223,11,1024,3.0,30000,1.305328,3.2903,phase2
224,11,1024,3.0,30000,1.440469,2.9816,phase2
225,11,1024,3.0,30000,1.297293,3.3107,phase2
226,11,1024,3.0,30000,1.291808,3.3248,phase2
227,11,1024,3.0,30000,1.283786,3.3455,phase2
228,11,1024,3.0,30000,1.353671,3.1728,phase2
229,11,1024,3.0,30000,1.250148,3.4356,phase2
