iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.746628,5.7525,phase1
1,0,1024,1.2,30000,0.576657,7.448,phase1
2,0,1024,1.2,30000,0.592065,7.2542,phase1
3,0,1024,1.2,30000,0.591369,7.2628,phase1
4,0,1024,1.2,30000,0.594264,7.2274,phase1
5,0,1024,1.2,30000,0.573509,7.4889,phase1
6,0,1024,1.2,30000,0.59719,7.192,phase1
7,0,1024,1.2,30000,0.588317,7.3004,phase1
8,0,1024,1.2,30000,0.583778,7.3572,phase1
9,0,1024,1.2,30000,0.609816,7.0431,phase1
10,0,1024,1.2,30000,0.582341,7.3754,phase1
11,0,1024,1.2,30000,0.599586,7.1632,phase1
12,0,1024,1.2,30000,0.603819,7.113,phase1
13,0,1024,1.2,30000,0.597733,7.1854,phase1
14,0,1024,1.2,30000,0.579367,7.4132,phase1
15,0,1024,1.2,30000,0.591289,7.2637,phase1
16,0,1024,1.2,30000,0.598904,7.1714,phase1
17,0,1024,1.2,30000,0.597996,7.1823,phase1
18,0,1024,1.2,30000,0.587092,7.3157,phase1
19,0,1024,1.2,30000,0.596562,7.1995,phase1
20,1,1024,1.2,30000,1.261399,3.4049,phase1
21,1,1024,1.2,30000,1.369406,3.1364,phase1
22,1,1024,1.2,30000,1.275518,3.3672,phase1
23,1,1024,1.2,30000,1.299572,3.3049,phase1
24,1,1024,1.2,30000,1.441691,2.9791,phase1
25,1,1024,1.2,30000,1.504063,2.8556,phase1
26,1,1024,1.2,30000,1.169996,3.6709,phase1
27,1,1024,1.2,30000,1.201397,3.575,phase1
28,1,1024,1.2,30000,1.148182,3.7407,phase1
29,1,1024,1.2,30000,1.261902,3.4036,phase1
30,1,1024,1.2,30000,1.196482,3.5897,phase1
31,1,1024,1.2,30000,1.183015,3.6305,phase1
32,1,1024,1.2,30000,1.236328,3.474,phase1
33,1,1024,1.2,30000,1.191638,3.6043,phase1
34,1,1024,1.2,30000,1.183528,3.629,phase1
35,1,1024,1.2,30000,1.363984,3.1488,phase1
36,1,1024,1.2,30000,1.222586,3.513,phase1
37,1,1024,1.2,30000,1.253168,3.4273,phase1
38,1,1024,1.2,30000,1.336252,3.2142,phase1
39,1,1024,1.2,30000,1.161616,3.6974,phase1
40,2,1024,1.2,30000,1.295561,3.3151,phase1
41,2,1024,1.2,30000,1.338577,3.2086,phase1
42,2,1024,1.2,30000,1.494851,2.8732,phase1
43,2,1024,1.2,30000,1.381712,3.1084,phase1
44,2,1024,1.2,30000,1.15546,3.7171,phase1
45,2,1024,1.2,30000,1.097091,3.9149,phase1
46,2,1024,1.2,30000,1.196164,3.5906,phase1
47,2,1024,1.2,30000,1.334351,3.2188,phase1
48,2,1024,1.2,30000,1.2987,3.3071,phase1
49,2,1024,1.2,30000,1.339168,3.2072,phase1
50,2,1024,1.2,30000,1.15729,3.7112,phase1
51,2,1024,1.2,30000,1.266946,3.39,phase1
52,2,1024,1.2,30000,1.42573,3.0125,phase1
53,2,1024,1.2,30000,1.378272,3.1162,phase1
54,2,1024,1.2,30000,1.188735,3.6131,phase1
55,2,1024,1.2,30000,1.425028,3.014,phase1
56,2,1024,1.2,30000,1.188847,3.6127,phase1
57,2,1024,1.2,30000,1.312883,3.2714,phase1
58,2,1024,1.2,30000,1.253419,3.4266,phase1
59,2,1024,1.2,30000,1.128718,3.8052,phase1
60,3,1024,1.2,30000,1.158943,3.7059,phase1
61,3,1024,1.2,30000,1.166022,3.6834,phase1
62,3,1024,1.2,30000,1.16878,3.6747,phase1
63,3,1024,1.2,30000,1.169736,3.6717,phase1
64,3,1024,1.2,30000,1.122162,3.8274,phase1
65,3,1024,1.2,30000,1.178205,3.6453,phase1
66,3,1024,1.2,30000,1.171388,3.6666,phase1
67,3,1024,1.2,30000,1.434156,2.9948,phase1
68,3,1024,1.2,30000,1.140454,3.766,phase1
69,3,1024,1.2,30000,1.14896,3.7381,phase1
70,3,1024,1.2,30000,1.205157,3.5638,phase1
71,3,1024,1.2,30000,1.196178,3.5906,phase1
72,3,1024,1.2,30000,1.127462,3.8094,phase1
73,3,1024,1.2,30000,1.161839,3.6967,phase1
74,3,1024,1.2,30000,1.399399,3.0692,phase1
75,3,1024,1.2,30000,1.153065,3.7248,phase1
76,3,1024,1.2,30000,1.170825,3.6683,phase1
77,3,1024,1.2,30000,1.21141,3.5454,phase1
78,3,1024,1.2,30000,1.213766,3.5385,phase1
79,3,1024,1.2,30000,1.16745,3.6789,phase1
80,4,1024,1.2,30000,1.244781,3.4504,phase1
81,4,1024,1.2,30000,1.189445,3.6109,phase1
82,4,1024,1.2,30000,1.224459,3.5076,phase1
83,4,1024,1.2,30000,1.17922,3.6422,phase1
84,4,1024,1.2,30000,1.153308,3.724,phase1
85,4,1024,1.2,30000,1.258203,3.4136,phase1
86,4,1024,1.2,30000,1.170077,3.6707,phase1
87,4,1024,1.2,30000,1.163298,3.6921,phase1
88,4,1024,1.2,30000,1.185433,3.6231,phase1
89,4,1024,1.2,30000,1.158538,3.7072,phase1
90,4,1024,1.2,30000,1.209365,3.5514,phase1
91,4,1024,1.2,30000,1.180548,3.6381,phase1
92,4,1024,1.2,30000,1.232138,3.4858,phase1
93,4,1024,1.2,30000,1.169921,3.6712,phase1
94,4,1024,1.2,30000,1.166995,3.6804,phase1
95,4,1024,1.2,30000,1.183602,3.6287,phase1
96,4,1024,1.2,30000,1.155361,3.7174,phase1
97,4,1024,1.2,30000,1.197829,3.5856,phase1
98,4,1024,1.2,30000,1.301668,3.2996,phase1
99,4,1024,1.2,30000,1.206746,3.5591,phase1
100,5,1024,1.2,30000,1.3788,3.115,phase1
101,5,1024,1.2,30000,1.119185,3.8376,phase1
102,5,1024,1.2,30000,1.189844,3.6097,phase1
103,5,1024,1.2,30000,1.232472,3.4848,phase1
104,5,1024,1.2,30000,1.253842,3.4254,phase1
105,5,1024,1.2,30000,1.106683,3.8809,phase1
106,5,1024,1.2,30000,1.253119,3.4274,phase1
107,5,1024,1.2,30000,1.161975,3.6963,phase1
108,5,1024,1.2,30000,1.168769,3.6748,phase1
109,5,1024,1.2,30000,1.276201,3.3654,phase1
110,5,1024,1.2,30000,1.320577,3.2523,phase1
111,5,1024,1.2,30000,1.157629,3.7101,phase1
112,5,1024,1.2,30000,1.154671,3.7196,phase1
