iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.776694,5.5298,phase1
1,0,1024,1.2,30000,0.579428,7.4124,phase1
2,0,1024,1.2,30000,0.579041,7.4174,phase1
3,0,1024,1.2,30000,0.578425,7.4253,phase1
4,0,1024,1.2,30000,0.59252,7.2486,phase1
5,0,1024,1.2,30000,0.582112,7.3782,phase1
6,0,1024,1.2,30000,0.581921,7.3807,phase1
7,0,1024,1.2,30000,0.614478,6.9896,phase1
8,0,1024,1.2,30000,0.593146,7.241,phase1
9,0,1024,1.2,30000,0.575934,7.4574,phase1
10,0,1024,1.2,30000,0.585392,7.3369,phase1
11,0,1024,1.2,30000,0.596099,7.2051,phase1
12,0,1024,1.2,30000,0.575783,7.4593,phase1
13,0,1024,1.2,30000,0.580822,7.3946,phase1
14,0,1024,1.2,30000,0.582848,7.3689,phase1
15,0,1024,1.2,30000,0.590892,7.2686,phase1
16,0,1024,1.2,30000,0.600382,7.1537,phase1
17,0,1024,1.2,30000,0.975082,4.4047,phase1
18,0,1024,1.2,30000,1.313703,3.2694,phase1
19,0,1024,1.2,30000,1.360623,3.1566,phase1
20,1,1024,1.2,30000,0.720777,5.9588,phase1
21,1,1024,1.2,30000,0.72041,5.9618,phase1
22,1,1024,1.2,30000,0.713637,6.0184,phase1
23,1,1024,1.2,30000,0.713018,6.0236,phase1
24,1,1024,1.2,30000,0.716534,5.9941,phase1
25,1,1024,1.2,30000,0.71178,6.0341,phase1
26,1,1024,1.2,30000,0.716614,5.9934,phase1
27,1,1024,1.2,30000,0.716109,5.9976,phase1
28,1,1024,1.2,30000,0.738054,5.8193,phase1
29,1,1024,1.2,30000,0.695039,6.1795,phase1
30,1,1024,1.2,30000,0.699284,6.1419,phase1
31,1,1024,1.2,30000,0.700753,6.1291,phase1
32,1,1024,1.2,30000,0.698724,6.1469,phase1
33,1,1024,1.2,30000,0.698995,6.1445,phase1
34,1,1024,1.2,30000,0.690779,6.2176,phase1
35,1,1024,1.2,30000,0.685906,6.2617,phase1
36,1,1024,1.2,30000,0.699348,6.1414,phase1
37,1,1024,1.2,30000,0.703403,6.106,phase1
38,1,1024,1.2,30000,0.716577,5.9937,phase1
39,1,1024,1.2,30000,0.709271,6.0555,phase1
40,2,1024,1.2,30000,0.704077,6.1001,phase1
41,2,1024,1.2,30000,0.707979,6.0665,phase1
42,2,1024,1.2,30000,0.695872,6.1721,phase1
43,2,1024,1.2,30000,0.695117,6.1788,phase1
44,2,1024,1.2,30000,0.71266,6.0267,phase1
45,2,1024,1.2,30000,0.69876,6.1466,phase1
46,2,1024,1.2,30000,0.711744,6.0344,phase1
47,2,1024,1.2,30000,0.742472,5.7847,phase1
48,2,1024,1.2,30000,0.711954,6.0327,phase1
