iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,1.358266,3.1621,phase1
1,0,1024,3.0,30000,1.279982,3.3555,phase1
2,0,1024,3.0,30000,1.28373,3.3457,phase1
3,0,1024,3.0,30000,1.197342,3.5871,phase1
4,0,1024,3.0,30000,1.11903,3.8381,phase1
5,0,1024,3.0,30000,1.25706,3.4167,phase1
6,0,1024,3.0,30000,1.244185,3.452,phase1
7,0,1024,3.0,30000,1.239531,3.465,phase1
8,0,1024,3.0,30000,1.427855,3.008,phase1
9,0,1024,3.0,30000,1.201438,3.5749,phase1
10,0,1024,3.0,30000,1.252794,3.4283,phase1
11,0,1024,3.0,30000,1.220447,3.5192,phase1
12,0,1024,3.0,30000,1.181238,3.636,phase1
13,0,1024,3.0,30000,1.222526,3.5132,phase1
14,0,1024,3.0,30000,1.266724,3.3906,phase1
15,0,1024,3.0,30000,1.2098,3.5501,phase1
16,0,1024,3.0,30000,1.179431,3.6416,phase1
17,0,1024,3.0,30000,1.210187,3.549,phase1
18,0,1024,3.0,30000,1.197955,3.5852,phase1
19,0,1024,3.0,30000,1.213669,3.5388,phase1
20,1,1024,3.0,30000,1.331247,3.2263,phase1
21,1,1024,3.0,30000,1.158578,3.7071,phase1
22,1,1024,3.0,30000,1.275052,3.3685,phase1
23,1,1024,3.0,30000,1.187496,3.6168,phase1
24,1,1024,3.0,30000,1.340104,3.205,phase1
25,1,1024,3.0,30000,1.170688,3.6688,phase1
26,1,1024,3.0,30000,1.180248,3.639,phase1
27,1,1024,3.0,30000,1.317744,3.2593,phase1
28,1,1024,3.0,30000,1.231424,3.4878,phase1
29,1,1024,3.0,30000,1.209776,3.5502,phase1
30,1,1024,3.0,30000,1.214212,3.5372,phase1
31,1,1024,3.0,30000,1.344756,3.1939,phase1
32,1,1024,3.0,30000,1.192971,3.6002,phase1
33,1,1024,3.0,30000,1.257394,3.4158,phase1
34,1,1024,3.0,30000,1.414063,3.0373,phase1
35,1,1024,3.0,30000,1.197947,3.5853,phase1
36,1,1024,3.0,30000,1.179437,3.6415,phase1
37,1,1024,3.0,30000,1.22777,3.4982,phase1
38,1,1024,3.0,30000,1.224467,3.5076,phase1
39,1,1024,3.0,30000,1.179651,3.6409,phase1
40,2,1024,3.0,30000,1.230052,3.4917,phase1
41,2,1024,3.0,30000,1.257196,3.4163,phase1
42,2,1024,3.0,30000,1.231681,3.4871,phase1
43,2,1024,3.0,30000,1.188521,3.6137,phase1
44,2,1024,3.0,30000,1.205465,3.5629,phase1
45,2,1024,3.0,30000,1.197677,3.5861,phase1
46,2,1024,3.0,30000,1.155511,3.7169,phase1
47,2,1024,3.0,30000,1.2187,3.5242,phase1
48,2,1024,3.0,30000,1.284054,3.3448,phase1
49,2,1024,3.0,30000,1.201083,3.5759,phase1
50,2,1024,3.0,30000,1.206068,3.5611,phase1
51,2,1024,3.0,30000,1.187972,3.6154,phase1
52,2,1024,3.0,30000,1.186159,3.6209,phase1
53,2,1024,3.0,30000,1.228134,3.4971,phase1
54,2,1024,3.0,30000,1.248741,3.4394,phase1
55,2,1024,3.0,30000,1.214258,3.5371,phase1
56,2,1024,3.0,30000,1.296886,3.3118,phase1
57,2,1024,3.0,30000,1.190025,3.6091,phase1
58,2,1024,3.0,30000,1.231647,3.4872,phase1
59,2,1024,3.0,30000,1.180445,3.6384,phase1
60,3,1024,3.0,30000,1.504134,2.8554,phase1
61,3,1024,3.0,30000,1.210368,3.5485,phase1
62,3,1024,3.0,30000,1.188098,3.615,phase1
63,3,1024,3.0,30000,1.369655,3.1358,phase1
64,3,1024,3.0,30000,1.218417,3.525,phase1
65,3,1024,3.0,30000,1.24727,3.4435,phase1
66,3,1024,3.0,30000,1.434502,2.994,phase1
67,3,1024,3.0,30000,1.211041,3.5465,phase1
68,3,1024,3.0,30000,1.258007,3.4141,phase1
69,3,1024,3.0,30000,1.408485,3.0494,phase1
70,3,1024,3.0,30000,1.188545,3.6136,phase1
71,3,1024,3.0,30000,1.27951,3.3567,phase1
72,3,1024,3.0,30000,1.214111,3.5375,phase1
73,3,1024,3.0,30000,1.223809,3.5095,phase1
74,3,1024,3.0,30000,1.375143,3.1233,phase1
75,3,1024,3.0,30000,1.167193,3.6797,phase1
76,3,1024,3.0,30000,1.254179,3.4245,phase1
77,3,1024,3.0,30000,1.214398,3.5367,phase1
78,3,1024,3.0,30000,1.248785,3.4393,phase1
79,3,1024,3.0,30000,1.341171,3.2024,phase1
80,4,1024,3.0,30000,1.196854,3.5885,phase1
81,4,1024,3.0,30000,1.150297,3.7338,phase1
82,4,1024,3.0,30000,1.18538,3.6233,phase1
83,4,1024,3.0,30000,1.261848,3.4037,phase1
84,4,1024,3.0,30000,1.181972,3.6337,phase1
85,4,1024,3.0,30000,1.241444,3.4597,phase1
86,4,1024,3.0,30000,1.293956,3.3193,phase1
87,4,1024,3.0,30000,1.276766,3.3639,phase1
88,4,1024,3.0,30000,1.201551,3.5745,phase1
89,4,1024,3.0,30000,1.244419,3.4514,phase1
90,4,1024,3.0,30000,1.244296,3.4517,phase1
91,4,1024,3.0,30000,1.279284,3.3573,phase1
92,4,1024,3.0,30000,1.209945,3.5497,phase1
93,4,1024,3.0,30000,1.196861,3.5885,phase1
94,4,1024,3.0,30000,1.253664,3.4259,phase1
95,4,1024,3.0,30000,1.176815,3.6497,phase1
96,4,1024,3.0,30000,1.206795,3.559,phase1
97,4,1024,3.0,30000,1.183595,3.6287,phase1
98,4,1024,3.0,30000,1.232426,3.485,phase1
99,4,1024,3.0,30000,1.224368,3.5079,phase1
100,5,1024,3.0,30000,1.290097,3.3292,phase1
101,5,1024,3.0,30000,1.345206,3.1928,phase1
102,5,1024,3.0,30000,1.302053,3.2986,phase1
103,5,1024,3.0,30000,1.241401,3.4598,phase1
104,5,1024,3.0,30000,1.278978,3.3581,phase1
105,5,1024,3.0,30000,1.19284,3.6006,phase1
106,5,1024,3.0,30000,1.228431,3.4963,phase1
107,5,1024,3.0,30000,1.194324,3.5961,phase1
108,5,1024,3.0,30000,1.188041,3.6152,phase1
109,5,1024,3.0,30000,1.172369,3.6635,phase1
110,5,1024,3.0,30000,1.304907,3.2914,phase1
111,5,1024,3.0,30000,1.283555,3.3462,phase1
112,5,1024,3.0,30000,1.211655,3.5447,phase1
113,5,1024,3.0,30000,1.251265,3.4325,phase1
114,5,1024,3.0,30000,1.396619,3.0753,phase1
115,5,1024,3.0,30000,1.302426,3.2977,phase1
116,5,1024,3.0,30000,1.211822,3.5442,phase1
117,5,1024,3.0,30000,1.168417,3.6759,phase1
118,5,1024,3.0,30000,1.249157,3.4383,phase1
119,5,1024,3.0,30000,1.226943,3.5005,phase1
120,6,1024,3.0,30000,1.196523,3.5895,phase1
121,6,1024,3.0,30000,1.21402,3.5378,phase1
122,6,1024,3.0,30000,1.223277,3.511,phase1
123,6,1024,3.0,30000,1.184745,3.6252,phase1
124,6,1024,3.0,30000,1.292218,3.3237,phase1
125,6,1024,3.0,30000,1.210217,3.5489,phase1
126,6,1024,3.0,30000,1.257627,3.4151,phase1
127,6,1024,3.0,30000,1.306496,3.2874,phase1
128,6,1024,3.0,30000,1.296581,3.3125,phase1
129,6,1024,3.0,30000,1.26674,3.3906,phase1
130,6,1024,3.0,30000,1.224445,3.5077,phase1
131,6,1024,3.0,30000,1.192548,3.6015,phase1
132,6,1024,3.0,30000,1.280937,3.353,phase1
133,6,1024,3.0,30000,1.427796,3.0081,phase1
134,6,1024,3.0,30000,1.146775,3.7453,phase1
135,6,1024,3.0,30000,1.240165,3.4632,phase1
136,6,1024,3.0,30000,1.296539,3.3126,phase1
137,6,1024,3.0,30000,1.275118,3.3683,phase1
138,6,1024,3.0,30000,1.219808,3.521,phase1
139,6,1024,3.0,30000,1.319204,3.2557,phase1
140,7,1024,1.2,30000,1.172284,3.6638,phase2
141,7,1024,1.2,30000,1.322263,3.2482,phase2
142,7,1024,1.2,30000,1.172477,3.6632,phase2
143,7,1024,1.2,30000,1.244117,3.4522,phase2
144,7,1024,1.2,30000,1.19682,3.5886,phase2
145,7,1024,1.2,30000,1.201874,3.5736,phase2
146,7,1024,1.2,30000,1.176205,3.6515,phase2
147,7,1024,1.2,30000,1.206757,3.5591,phase2
148,7,1024,1.2,30000,1.243435,3.4541,phase2
149,7,1024,1.2,30000,1.197933,3.5853,phase2
150,7,1024,1.2,30000,1.233571,3.4817,phase2
151,7,1024,1.2,30000,1.189615,3.6104,phase2
152,7,1024,1.2,30000,1.183736,3.6283,phase2
153,7,1024,1.2,30000,1.174984,3.6553,phase2
