iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,1.490829,2.8809,phase1
1,0,1024,3.0,30000,1.414183,3.0371,phase1
2,0,1024,3.0,30000,1.19112,3.6058,phase1
3,0,1024,3.0,30000,1.673538,2.5664,phase1
4,0,1024,3.0,30000,2.019698,2.1265,phase1
5,0,1024,3.0,30000,1.96439,2.1864,phase1
6,0,1024,3.0,30000,1.99208,2.156,phase1
7,0,1024,3.0,30000,2.018327,2.128,phase1
8,0,1024,3.0,30000,1.902128,2.258,phase1
9,0,1024,3.0,30000,1.987531,2.161,phase1
10,0,1024,3.0,30000,1.975336,2.1743,phase1
11,0,1024,3.0,30000,1.767356,2.4302,phase1
12,0,1024,3.0,30000,1.870837,2.2957,phase1
13,0,1024,3.0,30000,1.877761,2.2873,phase1
14,0,1024,3.0,30000,1.986629,2.1619,phase1
15,0,1024,3.0,30000,1.825732,2.3525,phase1
16,0,1024,3.0,30000,1.902216,2.2579,phase1
17,0,1024,3.0,30000,2.088062,2.0569,phase1
18,0,1024,3.0,30000,1.784569,2.4067,phase1
19,0,1024,3.0,30000,1.971429,2.1786,phase1
20,1,1024,3.0,30000,1.307935,3.2838,phase1
21,1,1024,3.0,30000,1.274247,3.3706,phase1
22,1,1024,3.0,30000,1.36401,3.1488,phase1
23,1,1024,3.0,30000,1.326561,3.2377,phase1
24,1,1024,3.0,30000,1.485649,2.891,phase1
25,1,1024,3.0,30000,1.241306,3.46,phase1
26,1,1024,3.0,30000,1.265655,3.3935,phase1
27,1,1024,3.0,30000,1.394789,3.0793,phase1
28,1,1024,3.0,30000,1.261286,3.4052,phase1
29,1,1024,3.0,30000,1.487317,2.8877,phase1
30,1,1024,3.0,30000,1.489849,2.8828,phase1
31,1,1024,3.0,30000,1.244839,3.4502,phase1
32,1,1024,3.0,30000,1.282331,3.3493,phase1
33,1,1024,3.0,30000,1.334337,3.2188,phase1
34,1,1024,3.0,30000,1.283789,3.3455,phase1
35,1,1024,3.0,30000,1.330992,3.2269,phase1
36,1,1024,3.0,30000,1.287092,3.337,phase1
37,1,1024,3.0,30000,1.314372,3.2677,phase1
38,1,1024,3.0,30000,1.279308,3.3573,phase1
39,1,1024,3.0,30000,1.25035,3.435,phase1
40,2,1024,3.0,30000,1.342894,3.1983,phase1
41,2,1024,3.0,30000,1.261985,3.4033,phase1
42,2,1024,3.0,30000,1.308434,3.2825,phase1
43,2,1024,3.0,30000,1.334403,3.2186,phase1
44,2,1024,3.0,30000,1.291984,3.3243,phase1
45,2,1024,3.0,30000,1.338801,3.2081,phase1
46,2,1024,3.0,30000,1.310008,3.2786,phase1
47,2,1024,3.0,30000,1.248514,3.4401,phase1
48,2,1024,3.0,30000,1.24522,3.4492,phase1
49,2,1024,3.0,30000,1.374454,3.1249,phase1
50,2,1024,3.0,30000,1.271216,3.3786,phase1
51,2,1024,3.0,30000,1.387839,3.0947,phase1
52,2,1024,3.0,30000,1.382732,3.1061,phase1
53,2,1024,3.0,30000,1.432313,2.9986,phase1
54,2,1024,3.0,30000,1.379973,3.1124,phase1
55,2,1024,3.0,30000,1.352336,3.176,phase1
56,2,1024,3.0,30000,1.245641,3.448,phase1
57,2,1024,3.0,30000,1.331027,3.2268,phase1
58,2,1024,3.0,30000,1.243909,3.4528,phase1
59,2,1024,3.0,30000,1.281257,3.3522,phase1
60,3,1024,3.0,30000,1.267067,3.3897,phase1
61,3,1024,3.0,30000,1.318925,3.2564,phase1
62,3,1024,3.0,30000,1.288149,3.3342,phase1
