iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,1.392933,3.0834,phase1
1,0,1024,3.0,30000,1.373681,3.1266,phase1
2,0,1024,3.0,30000,1.275253,3.3679,phase1
3,0,1024,3.0,30000,1.295932,3.3142,phase1
4,0,1024,3.0,30000,1.441737,2.979,phase1
5,0,1024,3.0,30000,1.50404,2.8556,phase1
6,0,1024,3.0,30000,1.169885,3.6713,phase1
7,0,1024,3.0,30000,1.195911,3.5914,phase1
8,0,1024,3.0,30000,1.149583,3.7361,phase1
9,0,1024,3.0,30000,1.261411,3.4049,phase1
10,0,1024,3.0,30000,1.201472,3.5748,phase1
11,0,1024,3.0,30000,1.183405,3.6293,phase1
12,0,1024,3.0,30000,1.239452,3.4652,phase1
13,0,1024,3.0,30000,1.192796,3.6008,phase1
14,0,1024,3.0,30000,1.183327,3.6296,phase1
15,0,1024,3.0,30000,1.364521,3.1476,phase1
16,0,1024,3.0,30000,1.226302,3.5024,phase1
17,0,1024,3.0,30000,1.24913,3.4384,phase1
18,0,1024,3.0,30000,1.332409,3.2235,phase1
19,0,1024,3.0,30000,1.16584,3.684,phase1
20,1,1024,3.0,30000,1.29142,3.3258,phase1
21,1,1024,3.0,30000,1.338765,3.2082,phase1
22,1,1024,3.0,30000,1.494707,2.8735,phase1
23,1,1024,3.0,30000,1.381815,3.1082,phase1
24,1,1024,3.0,30000,1.158373,3.7078,phase1
25,1,1024,3.0,30000,1.098337,3.9104,phase1
26,1,1024,3.0,30000,1.196513,3.5896,phase1
27,1,1024,3.0,30000,1.330222,3.2288,phase1
28,1,1024,3.0,30000,1.301468,3.3001,phase1
29,1,1024,3.0,30000,1.344794,3.1938,phase1
30,1,1024,3.0,30000,1.162077,3.6959,phase1
31,1,1024,3.0,30000,1.265411,3.3941,phase1
32,1,1024,3.0,30000,1.426885,3.01,phase1
33,1,1024,3.0,30000,1.378205,3.1163,phase1
34,1,1024,3.0,30000,1.188191,3.6147,phase1
35,1,1024,3.0,30000,1.422315,3.0197,phase1
36,1,1024,3.0,30000,1.18311,3.6302,phase1
37,1,1024,3.0,30000,1.309876,3.2789,phase1
38,1,1024,3.0,30000,1.252943,3.4279,phase1
39,1,1024,3.0,30000,1.136154,3.7803,phase1
40,2,1024,3.0,30000,1.158834,3.7063,phase1
41,2,1024,3.0,30000,1.168002,3.6772,phase1
42,2,1024,3.0,30000,1.171611,3.6659,phase1
43,2,1024,3.0,30000,1.174149,3.6579,phase1
44,2,1024,3.0,30000,1.119373,3.8369,phase1
