iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,1.366384,3.1433,phase1
1,0,1024,3.0,30000,1.343763,3.1962,phase1
2,0,1024,3.0,30000,1.577449,2.7227,phase1
3,0,1024,3.0,30000,2.011982,2.1347,phase1
4,0,1024,3.0,30000,1.824845,2.3536,phase1
5,0,1024,3.0,30000,1.871497,2.2949,phase1
6,0,1024,3.0,30000,1.886127,2.2771,phase1
7,0,1024,3.0,30000,2.119739,2.0262,phase1
8,0,1024,3.0,30000,1.90317,2.2567,phase1
9,0,1024,3.0,30000,1.807819,2.3758,phase1
10,0,1024,3.0,30000,1.640483,2.6181,phase1
11,0,1024,3.0,30000,1.803772,2.3811,phase1
12,0,1024,3.0,30000,1.798732,2.3878,phase1
13,0,1024,3.0,30000,1.724479,2.4906,phase1
14,0,1024,3.0,30000,1.761152,2.4387,phase1
15,0,1024,3.0,30000,1.763413,2.4356,phase1
16,0,1024,3.0,30000,1.748134,2.4569,phase1
17,0,1024,3.0,30000,1.930545,2.2247,phase1
18,0,1024,3.0,30000,1.704784,2.5194,phase1
19,0,1024,3.0,30000,1.938716,2.2154,phase1
20,1,1024,3.0,30000,1.208291,3.5546,phase1
21,1,1024,3.0,30000,1.206476,3.5599,phase1
22,1,1024,3.0,30000,1.352551,3.1755,phase1
23,1,1024,3.0,30000,1.13683,3.778,phase1
24,1,1024,3.0,30000,1.265609,3.3936,phase1
25,1,1024,3.0,30000,1.11923,3.8374,phase1
26,1,1024,3.0,30000,1.166371,3.6823,phase1
27,1,1024,3.0,30000,1.111687,3.8635,phase1
28,1,1024,3.0,30000,1.102957,3.894,phase1
29,1,1024,3.0,30000,1.309236,3.2805,phase1
30,1,1024,3.0,30000,1.149365,3.7368,phase1
31,1,1024,3.0,30000,1.150804,3.7321,phase1
32,1,1024,3.0,30000,1.254703,3.4231,phase1
33,1,1024,3.0,30000,1.11573,3.8495,phase1
34,1,1024,3.0,30000,1.141122,3.7638,phase1
35,1,1024,3.0,30000,1.098127,3.9112,phase1
36,1,1024,3.0,30000,1.170741,3.6686,phase1
37,1,1024,3.0,30000,1.13741,3.7761,phase1
38,1,1024,3.0,30000,1.20565,3.5624,phase1
39,1,1024,3.0,30000,1.119137,3.8377,phase1
40,2,1024,3.0,30000,1.140707,3.7652,phase1
41,2,1024,3.0,30000,1.280474,3.3542,phase1
42,2,1024,3.0,30000,1.340662,3.2036,phase1
43,2,1024,3.0,30000,1.189631,3.6103,phase1
44,2,1024,3.0,30000,1.144714,3.752,phase1
45,2,1024,3.0,30000,1.150095,3.7344,phase1
46,2,1024,3.0,30000,1.154111,3.7215,phase1
47,2,1024,3.0,30000,1.40486,3.0572,phase1
48,2,1024,3.0,30000,1.271203,3.3787,phase1
49,2,1024,3.0,30000,1.136359,3.7796,phase1
50,2,1024,3.0,30000,1.207217,3.5577,phase1
51,2,1024,3.0,30000,1.262811,3.4011,phase1
52,2,1024,3.0,30000,1.341212,3.2023,phase1
53,2,1024,3.0,30000,1.278777,3.3587,phase1
54,2,1024,3.0,30000,1.084043,3.962,phase1
55,2,1024,3.0,30000,1.112015,3.8623,phase1
56,2,1024,3.0,30000,1.248465,3.4402,phase1
57,2,1024,3.0,30000,1.241759,3.4588,phase1
58,2,1024,3.0,30000,1.171249,3.667,phase1
59,2,1024,3.0,30000,1.292737,3.3224,phase1
60,3,1024,3.0,30000,1.2268,3.501,phase1
61,3,1024,3.0,30000,1.158065,3.7087,phase1
62,3,1024,3.0,30000,1.185368,3.6233,phase1
63,3,1024,3.0,30000,1.149061,3.7378,phase1
64,3,1024,3.0,30000,1.205685,3.5623,phase1
65,3,1024,3.0,30000,1.192367,3.6021,phase1
66,3,1024,3.0,30000,1.365399,3.1456,phase1
67,3,1024,3.0,30000,1.123473,3.8229,phase1
68,3,1024,3.0,30000,1.257121,3.4165,phase1
69,3,1024,3.0,30000,1.180984,3.6368,phase1
70,3,1024,3.0,30000,1.206876,3.5587,phase1
71,3,1024,3.0,30000,1.131726,3.7951,phase1
72,3,1024,3.0,30000,1.285095,3.3421,phase1
73,3,1024,3.0,30000,1.127596,3.809,phase1
74,3,1024,3.0,30000,1.102416,3.896,phase1
75,3,1024,3.0,30000,1.197051,3.588,phase1
76,3,1024,3.0,30000,1.183845,3.628,phase1
77,3,1024,3.0,30000,1.134802,3.7848,phase1
78,3,1024,3.0,30000,1.189552,3.6106,phase1
79,3,1024,3.0,30000,1.183845,3.628,phase1
80,4,1024,3.0,30000,1.274345,3.3703,phase1
81,4,1024,3.0,30000,1.154723,3.7195,phase1
82,4,1024,3.0,30000,1.344082,3.1955,phase1
83,4,1024,3.0,30000,1.227216,3.4998,phase1
84,4,1024,3.0,30000,1.31469,3.2669,phase1
85,4,1024,3.0,30000,1.237585,3.4704,phase1
86,4,1024,3.0,30000,1.201299,3.5753,phase1
87,4,1024,3.0,30000,1.214317,3.5369,phase1
88,4,1024,3.0,30000,1.214327,3.5369,phase1
89,4,1024,3.0,30000,1.185593,3.6226,phase1
90,4,1024,3.0,30000,1.284459,3.3438,phase1
91,4,1024,3.0,30000,1.380002,3.1123,phase1
92,4,1024,3.0,30000,1.12338,3.8233,phase1
93,4,1024,3.0,30000,1.144915,3.7513,phase1
94,4,1024,3.0,30000,1.306429,3.2876,phase1
95,4,1024,3.0,30000,1.209431,3.5512,phase1
96,4,1024,3.0,30000,1.132946,3.791,phase1
97,4,1024,3.0,30000,1.190917,3.6064,phase1
98,4,1024,3.0,30000,1.193262,3.5993,phase1
99,4,1024,3.0,30000,1.123603,3.8225,phase1
100,5,1024,3.0,30000,1.215316,3.534,phase1
101,5,1024,3.0,30000,1.24017,3.4632,phase1
102,5,1024,3.0,30000,1.154358,3.7207,phase1
103,5,1024,3.0,30000,1.228218,3.4969,phase1
104,5,1024,3.0,30000,1.301762,3.2994,phase1
105,5,1024,3.0,30000,1.270838,3.3796,phase1
106,5,1024,3.0,30000,1.348252,3.1856,phase1
107,5,1024,3.0,30000,1.166462,3.682,phase1
108,5,1024,3.0,30000,1.228804,3.4952,phase1
109,5,1024,3.0,30000,1.127924,3.8079,phase1
110,5,1024,3.0,30000,1.198464,3.5837,phase1
111,5,1024,3.0,30000,1.284733,3.3431,phase1
112,5,1024,3.0,30000,1.127743,3.8085,phase1
113,5,1024,3.0,30000,1.129145,3.8037,phase1
114,5,1024,3.0,30000,1.155252,3.7178,phase1
115,5,1024,3.0,30000,1.157877,3.7093,phase1
116,5,1024,3.0,30000,1.157882,3.7093,phase1
117,5,1024,3.0,30000,1.127562,3.8091,phase1
118,5,1024,3.0,30000,1.127289,3.81,phase1
119,5,1024,3.0,30000,1.149208,3.7373,phase1
120,6,1024,3.0,30000,1.128031,3.8075,phase1
121,6,1024,3.0,30000,1.185082,3.6242,phase1
122,6,1024,3.0,30000,1.293435,3.3206,phase1
123,6,1024,3.0,30000,1.154972,3.7187,phase1
124,6,1024,3.0,30000,1.157613,3.7102,phase1
125,6,1024,3.0,30000,1.138644,3.772,phase1
126,6,1024,3.0,30000,1.280182,3.355,phase1
127,6,1024,3.0,30000,1.223543,3.5103,phase1
128,6,1024,3.0,30000,1.180798,3.6373,phase1
129,6,1024,3.0,30000,1.112505,3.8606,phase1
130,6,1024,3.0,30000,1.145419,3.7497,phase1
131,6,1024,3.0,30000,1.249713,3.4368,phase1
132,6,1024,3.0,30000,1.17615,3.6517,phase1
133,6,1024,3.0,30000,1.219696,3.5213,phase1
134,6,1024,3.0,30000,1.084307,3.961,phase1
135,6,1024,3.0,30000,1.127782,3.8083,phase1
136,6,1024,3.0,30000,1.136277,3.7799,phase1
137,6,1024,3.0,30000,1.159714,3.7035,phase1
138,6,1024,3.0,30000,1.16783,3.6777,phase1
139,6,1024,3.0,30000,1.222965,3.5119,phase1
140,7,1024,1.2,30000,1.149915,3.735,phase2
141,7,1024,1.2,30000,1.180171,3.6393,phase2
142,7,1024,1.2,30000,1.305152,3.2908,phase2
143,7,1024,1.2,30000,1.18814,3.6149,phase2
144,7,1024,1.2,30000,1.241342,3.4599,phase2
145,7,1024,1.2,30000,1.356766,3.1656,phase2
146,7,1024,1.2,30000,1.171283,3.6669,phase2
147,7,1024,1.2,30000,1.143284,3.7567,phase2
148,7,1024,1.2,30000,1.166928,3.6806,phase2
149,7,1024,1.2,30000,1.248666,3.4396,phase2
150,7,1024,1.2,30000,1.339502,3.2064,phase2
151,7,1024,1.2,30000,1.150755,3.7323,phase2
152,7,1024,1.2,30000,1.238855,3.4669,phase2
153,7,1024,1.2,30000,1.201108,3.5758,phase2
154,7,1024,1.2,30000,1.1586,3.707,phase2
155,7,1024,1.2,30000,1.272184,3.3761,phase2
156,7,1024,1.2,30000,1.123884,3.8215,phase2
157,7,1024,1.2,30000,1.158726,3.7066,phase2
158,7,1024,1.2,30000,1.318609,3.2572,phase2
159,7,1024,1.2,30000,1.129696,3.8019,phase2
160,8,1024,1.2,30000,1.214463,3.5365,phase2
161,8,1024,1.2,30000,1.132217,3.7934,phase2
162,8,1024,1.2,30000,1.138162,3.7736,phase2
163,8,1024,1.2,30000,1.120423,3.8333,phase2
164,8,1024,1.2,30000,1.187978,3.6154,phase2
165,8,1024,1.2,30000,1.225934,3.5034,phase2
166,8,1024,1.2,30000,1.184613,3.6256,phase2
167,8,1024,1.2,30000,1.184115,3.6272,phase2
168,8,1024,1.2,30000,1.096244,3.9179,phase2
169,8,1024,1.2,30000,1.124956,3.8179,phase2
170,8,1024,1.2,30000,1.240291,3.4629,phase2
171,8,1024,1.2,30000,1.189366,3.6111,phase2
172,8,1024,1.2,30000,1.280495,3.3541,phase2
173,8,1024,1.2,30000,1.274813,3.3691,phase2
174,8,1024,1.2,30000,1.296722,3.3122,phase2
175,8,1024,1.2,30000,1.127792,3.8083,phase2
176,8,1024,1.2,30000,1.150435,3.7333,phase2
177,8,1024,1.2,30000,1.292047,3.3242,phase2
178,8,1024,1.2,30000,1.171211,3.6671,phase2
179,8,1024,1.2,30000,1.201229,3.5755,phase2
180,9,1024,1.2,30000,1.17112,3.6674,phase2
181,9,1024,1.2,30000,1.233145,3.4829,phase2
182,9,1024,1.2,30000,1.153485,3.7235,phase2
183,9,1024,1.2,30000,1.166599,3.6816,phase2
184,9,1024,1.2,30000,1.219456,3.522,phase2
185,9,1024,1.2,30000,1.149373,3.7368,phase2
186,9,1024,1.2,30000,1.21421,3.5373,phase2
187,9,1024,1.2,30000,1.149525,3.7363,phase2
188,9,1024,1.2,30000,1.214134,3.5375,phase2
189,9,1024,1.2,30000,1.271489,3.3779,phase2
190,9,1024,1.2,30000,1.185337,3.6234,phase2
191,9,1024,1.2,30000,1.198298,3.5842,phase2
192,9,1024,1.2,30000,1.218682,3.5243,phase2
193,9,1024,1.2,30000,1.149587,3.7361,phase2
194,9,1024,1.2,30000,1.22343,3.5106,phase2
195,9,1024,1.2,30000,1.166728,3.6812,phase2
196,9,1024,1.2,30000,1.218803,3.5239,phase2
197,9,1024,1.2,30000,1.175556,3.6536,phase2
198,9,1024,1.2,30000,1.305629,3.2896,phase2
199,9,1024,1.2,30000,1.158136,3.7085,phase2
200,10,1024,1.2,30000,1.154321,3.7208,phase2
201,10,1024,1.2,30000,1.258601,3.4125,phase2
202,10,1024,1.2,30000,1.177569,3.6473,phase2
203,10,1024,1.2,30000,1.18583,3.6219,phase2
204,10,1024,1.2,30000,1.159432,3.7044,phase2
205,10,1024,1.2,30000,1.201869,3.5736,phase2
206,10,1024,1.2,30000,1.214481,3.5365,phase2
207,10,1024,1.2,30000,1.207941,3.5556,phase2
208,10,1024,1.2,30000,1.128082,3.8073,phase2
209,10,1024,1.2,30000,1.164491,3.6883,phase2
210,10,1024,1.2,30000,1.196931,3.5883,phase2
211,10,1024,1.2,30000,1.084521,3.9602,phase2
212,10,1024,1.2,30000,1.219863,3.5209,phase2
213,10,1024,1.2,30000,1.177378,3.6479,phase2
214,10,1024,1.2,30000,1.175652,3.6533,phase2
215,10,1024,1.2,30000,1.240724,3.4617,phase2
216,10,1024,1.2,30000,1.246184,3.4465,phase2
217,10,1024,1.2,30000,1.202333,3.5722,phase2
218,10,1024,1.2,30000,1.207066,3.5582,phase2
219,10,1024,1.2,30000,1.115619,3.8499,phase2
220,11,1024,1.2,30000,1.133005,3.7908,phase2
221,11,1024,1.2,30000,1.357108,3.1648,phase2
222,11,1024,1.2,30000,1.197119,3.5878,phase2
223,11,1024,1.2,30000,1.10774,3.8772,phase2
224,11,1024,1.2,30000,1.18003,3.6397,phase2
225,11,1024,1.2,30000,1.244646,3.4508,phase2
226,11,1024,1.2,30000,1.172649,3.6626,phase2
227,11,1024,1.2,30000,1.080214,3.976,phase2
228,11,1024,1.2,30000,1.149399,3.7367,phase2
229,11,1024,1.2,30000,1.185526,3.6228,phase2
230,11,1024,1.2,30000,1.201836,3.5737,phase2
231,11,1024,1.2,30000,1.160712,3.7003,phase2
232,11,1024,1.2,30000,1.206355,3.5603,phase2
233,11,1024,1.2,30000,1.194633,3.5952,phase2
234,11,1024,1.2,30000,1.098615,3.9094,phase2
235,11,1024,1.2,30000,1.172578,3.6628,phase2
236,11,1024,1.2,30000,1.110417,3.8679,phase2
237,11,1024,1.2,30000,1.357427,3.1641,phase2
238,11,1024,1.2,30000,1.176761,3.6498,phase2
239,11,1024,1.2,30000,1.213968,3.538,phase2
240,12,1024,1.2,30000,1.162929,3.6932,phase2
241,12,1024,1.2,30000,1.17715,3.6486,phase2
242,12,1024,1.2,30000,1.140541,3.7657,phase2
243,12,1024,1.2,30000,1.175135,3.6549,phase2
244,12,1024,1.2,30000,1.205694,3.5622,phase2
245,12,1024,1.2,30000,1.184279,3.6267,phase2
246,12,1024,1.2,30000,1.20245,3.5718,phase2
247,12,1024,1.2,30000,1.194131,3.5967,phase2
248,12,1024,1.2,30000,1.196689,3.589,phase2
249,12,1024,1.2,30000,1.127774,3.8084,phase2
250,12,1024,1.2,30000,1.248809,3.4393,phase2
251,12,1024,1.2,30000,1.19388,3.5975,phase2
252,12,1024,1.2,30000,1.24952,3.4373,phase2
253,12,1024,1.2,30000,1.179664,3.6408,phase2
254,12,1024,1.2,30000,1.079347,3.9792,phase2
255,12,1024,1.2,30000,0.593758,7.2335,phase2
256,12,1024,1.2,30000,0.627578,6.8437,phase2
257,12,1024,1.2,30000,0.617711,6.953,phase2
258,12,1024,1.2,30000,0.645342,6.6553,phase2
259,12,1024,1.2,30000,0.598159,7.1803,phase2
260,13,1024,1.2,30000,0.619289,6.9353,phase2
261,13,1024,1.2,30000,0.642179,6.6881,phase2
262,13,1024,1.2,30000,0.630986,6.8068,phase2
263,13,1024,1.2,30000,0.587723,7.3078,phase2
264,13,1024,1.2,30000,0.624448,6.878,phase2
265,13,1024,1.2,30000,0.621151,6.9145,phase2
266,13,1024,1.2,30000,0.618106,6.9486,phase2
267,13,1024,1.2,30000,0.629649,6.8212,phase2
268,13,1024,1.2,30000,0.602707,7.1261,phase2
269,13,1024,1.2,30000,0.586555,7.3224,phase2
270,13,1024,1.2,30000,0.622049,6.9045,phase2
271,13,1024,1.2,30000,0.60262,7.1272,phase2
272,13,1024,1.2,30000,0.600346,7.1542,phase2
273,13,1024,1.2,30000,0.571602,7.5139,phase2
274,13,1024,1.2,30000,0.55119,7.7922,phase2
275,13,1024,1.2,30000,0.599103,7.169,phase2
276,13,1024,1.2,30000,0.611367,7.0252,phase2
277,13,1024,1.2,30000,0.61235,7.0139,phase2
278,13,1024,1.2,30000,0.60119,7.1441,phase2
279,13,1024,1.2,30000,0.620886,6.9175,phase2
280,14,1024,1.2,30000,0.582729,7.3704,phase2
281,14,1024,1.2,30000,0.63202,6.7956,phase2
282,14,1024,1.2,30000,0.577342,7.4392,phase2
283,14,1024,1.2,30000,0.571182,7.5194,phase2
284,14,1024,1.2,30000,0.56222,7.6393,phase2
285,14,1024,1.2,30000,0.602062,7.1338,phase2
286,14,1024,1.2,30000,0.637616,6.736,phase2
287,14,1024,1.2,30000,0.571299,7.5179,phase2
288,14,1024,1.2,30000,0.570955,7.5224,phase2
289,14,1024,1.2,30000,0.595902,7.2075,phase2
290,14,1024,1.2,30000,0.577982,7.431,phase2
291,14,1024,1.2,30000,0.622899,6.8951,phase2
292,14,1024,1.2,30000,0.641432,6.6959,phase2
293,14,1024,1.2,30000,0.628451,6.8342,phase2
294,14,1024,1.2,30000,0.637475,6.7375,phase2
295,14,1024,1.2,30000,0.603538,7.1163,phase2
296,14,1024,1.2,30000,0.619387,6.9342,phase2
297,14,1024,1.2,30000,0.585928,7.3302,phase2
298,14,1024,1.2,30000,0.594546,7.2239,phase2
299,14,1024,1.2,30000,0.62094,6.9169,phase2
