iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.745427,5.7618,phase1
1,0,1024,1.2,30000,0.59103,7.2669,phase1
2,0,1024,1.2,30000,0.579123,7.4163,phase1
3,0,1024,1.2,30000,0.603821,7.113,phase1
4,0,1024,1.2,30000,0.578843,7.4199,phase1
5,0,1024,1.2,30000,0.589688,7.2835,phase1
6,0,1024,1.2,30000,0.600571,7.1515,phase1
7,0,1024,1.2,30000,0.594145,7.2288,phase1
8,0,1024,1.2,30000,0.58824,7.3014,phase1
9,0,1024,1.2,30000,0.580799,7.3949,phase1
10,0,1024,1.2,30000,0.596708,7.1978,phase1
11,0,1024,1.2,30000,0.602968,7.123,phase1
12,0,1024,1.2,30000,0.582635,7.3716,phase1
13,0,1024,1.2,30000,0.596064,7.2055,phase1
14,0,1024,1.2,30000,0.594593,7.2234,phase1
15,0,1024,1.2,30000,0.598543,7.1757,phase1
16,0,1024,1.2,30000,0.599191,7.1679,phase1
17,0,1024,1.2,30000,0.623753,6.8857,phase1
18,0,1024,1.2,30000,0.624992,6.872,phase1
19,0,1024,1.2,30000,0.634905,6.7647,phase1
20,1,1024,1.2,30000,0.622635,6.898,phase1
21,1,1024,1.2,30000,0.606299,7.0839,phase1
22,1,1024,1.2,30000,0.584642,7.3463,phase1
23,1,1024,1.2,30000,0.926108,4.6377,phase1
24,1,1024,1.2,30000,1.175441,3.6539,phase1
25,1,1024,1.2,30000,1.149045,3.7379,phase1
26,1,1024,1.2,30000,1.094522,3.9241,phase1
27,1,1024,1.2,30000,1.110161,3.8688,phase1
28,1,1024,1.2,30000,1.124282,3.8202,phase1
29,1,1024,1.2,30000,1.200678,3.5771,phase1
30,1,1024,1.2,30000,1.215285,3.5341,phase1
31,1,1024,1.2,30000,1.144638,3.7523,phase1
32,1,1024,1.2,30000,1.105526,3.885,phase1
33,1,1024,1.2,30000,1.1464,3.7465,phase1
34,1,1024,1.2,30000,1.187811,3.6159,phase1
35,1,1024,1.2,30000,1.140268,3.7666,phase1
36,1,1024,1.2,30000,1.128949,3.8044,phase1
37,1,1024,1.2,30000,1.137396,3.7761,phase1
38,1,1024,1.2,30000,1.12732,3.8099,phase1
39,1,1024,1.2,30000,1.145507,3.7494,phase1
40,2,1024,1.2,30000,1.09671,3.9162,phase1
41,2,1024,1.2,30000,1.207701,3.5563,phase1
42,2,1024,1.2,30000,1.094007,3.9259,phase1
43,2,1024,1.2,30000,1.103052,3.8937,phase1
44,2,1024,1.2,30000,1.30017,3.3034,phase1
45,2,1024,1.2,30000,1.131763,3.7949,phase1
46,2,1024,1.2,30000,0.986114,4.3554,phase1
47,2,1024,1.2,30000,1.132859,3.7913,phase1
48,2,1024,1.2,30000,1.119429,3.8367,phase1
49,2,1024,1.2,30000,1.206803,3.559,phase1
50,2,1024,1.2,30000,1.120849,3.8319,phase1
51,2,1024,1.2,30000,1.099157,3.9075,phase1
52,2,1024,1.2,30000,1.124775,3.8185,phase1
53,2,1024,1.2,30000,1.179857,3.6402,phase1
54,2,1024,1.2,30000,1.09805,3.9114,phase1
55,2,1024,1.2,30000,1.110912,3.8662,phase1
56,2,1024,1.2,30000,1.064289,4.0355,phase1
57,2,1024,1.2,30000,1.1854,3.6232,phase1
58,2,1024,1.2,30000,1.23727,3.4713,phase1
59,2,1024,1.2,30000,1.094695,3.9234,phase1
60,3,1024,1.2,30000,1.132829,3.7914,phase1
61,3,1024,1.2,30000,1.12901,3.8042,phase1
62,3,1024,1.2,30000,1.087604,3.949,phase1
63,3,1024,1.2,30000,1.141411,3.7629,phase1
64,3,1024,1.2,30000,1.097627,3.913,phase1
65,3,1024,1.2,30000,1.180032,3.6397,phase1
66,3,1024,1.2,30000,1.107778,3.8771,phase1
67,3,1024,1.2,30000,1.158632,3.7069,phase1
68,3,1024,1.2,30000,1.12073,3.8323,phase1
69,3,1024,1.2,30000,1.084873,3.959,phase1
70,3,1024,1.2,30000,1.153444,3.7236,phase1
71,3,1024,1.2,30000,1.12505,3.8176,phase1
72,3,1024,1.2,30000,1.106876,3.8803,phase1
73,3,1024,1.2,30000,1.075934,3.9919,phase1
74,3,1024,1.2,30000,1.128121,3.8072,phase1
75,3,1024,1.2,30000,1.114508,3.8537,phase1
76,3,1024,1.2,30000,1.100154,3.904,phase1
77,3,1024,1.2,30000,1.076556,3.9895,phase1
78,3,1024,1.2,30000,1.123186,3.8239,phase1
79,3,1024,1.2,30000,1.119431,3.8367,phase1
80,4,1024,1.2,30000,1.076474,3.9898,phase1
81,4,1024,1.2,30000,1.118955,3.8384,phase1
82,4,1024,1.2,30000,1.088791,3.9447,phase1
83,4,1024,1.2,30000,1.06769,4.0227,phase1
84,4,1024,1.2,30000,1.185612,3.6226,phase1
85,4,1024,1.2,30000,1.14267,3.7587,phase1
86,4,1024,1.2,30000,1.104787,3.8876,phase1
87,4,1024,1.2,30000,1.089617,3.9417,phase1
88,4,1024,1.2,30000,1.093614,3.9273,phase1
89,4,1024,1.2,30000,1.12081,3.832,phase1
90,4,1024,1.2,30000,1.106037,3.8832,phase1
91,4,1024,1.2,30000,1.127972,3.8077,phase1
92,4,1024,1.2,30000,1.14068,3.7653,phase1
93,4,1024,1.2,30000,1.138358,3.773,phase1
94,4,1024,1.2,30000,1.106921,3.8801,phase1
95,4,1024,1.2,30000,1.134186,3.7868,phase1
96,4,1024,1.2,30000,1.081549,3.9711,phase1
97,4,1024,1.2,30000,1.110184,3.8687,phase1
98,4,1024,1.2,30000,1.120187,3.8342,phase1
99,4,1024,1.2,30000,1.128063,3.8074,phase1
100,5,1024,1.2,30000,1.118973,3.8383,phase1
101,5,1024,1.2,30000,1.158122,3.7086,phase1
102,5,1024,1.2,30000,1.124675,3.8189,phase1
103,5,1024,1.2,30000,1.097579,3.9131,phase1
104,5,1024,1.2,30000,1.150709,3.7325,phase1
105,5,1024,1.2,30000,1.121518,3.8296,phase1
106,5,1024,1.2,30000,1.069298,4.0166,phase1
107,5,1024,1.2,30000,1.106514,3.8815,phase1
108,5,1024,1.2,30000,1.090363,3.939,phase1
109,5,1024,1.2,30000,1.109071,3.8726,phase1
110,5,1024,1.2,30000,1.196845,3.5886,phase1
111,5,1024,1.2,30000,1.124021,3.8211,phase1
112,5,1024,1.2,30000,1.080291,3.9757,phase1
113,5,1024,1.2,30000,1.107749,3.8772,phase1
114,5,1024,1.2,30000,1.172097,3.6643,phase1
115,5,1024,1.2,30000,1.167753,3.678,phase1
116,5,1024,1.2,30000,1.145211,3.7504,phase1
117,5,1024,1.2,30000,1.127594,3.809,phase1
118,5,1024,1.2,30000,1.114537,3.8536,phase1
119,5,1024,1.2,30000,1.13294,3.791,phase1
120,6,1024,1.2,30000,1.085006,3.9585,phase1
121,6,1024,1.2,30000,1.128632,3.8055,phase1
122,6,1024,1.2,30000,1.114595,3.8534,phase1
123,6,1024,1.2,30000,1.128532,3.8058,phase1
124,6,1024,1.2,30000,1.149348,3.7369,phase1
125,6,1024,1.2,30000,1.13397,3.7875,phase1
126,6,1024,1.2,30000,1.112105,3.862,phase1
127,6,1024,1.2,30000,1.180678,3.6377,phase1
128,6,1024,1.2,30000,1.110864,3.8663,phase1
129,6,1024,1.2,30000,1.189319,3.6113,phase1
130,6,1024,1.2,30000,1.205897,3.5616,phase1
131,6,1024,1.2,30000,1.10051,3.9027,phase1
132,6,1024,1.2,30000,1.084771,3.9593,phase1
133,6,1024,1.2,30000,1.079885,3.9772,phase1
134,6,1024,1.2,30000,1.132058,3.7939,phase1
135,6,1024,1.2,30000,1.120543,3.8329,phase1
136,6,1024,1.2,30000,1.144901,3.7514,phase1
137,6,1024,1.2,30000,1.097445,3.9136,phase1
138,6,1024,1.2,30000,1.171125,3.6674,phase1
139,6,1024,1.2,30000,1.119103,3.8379,phase1
140,7,1024,3.0,30000,1.153388,3.7238,phase2
141,7,1024,3.0,30000,1.155605,3.7166,phase2
142,7,1024,3.0,30000,1.123443,3.823,phase2
143,7,1024,3.0,30000,1.092223,3.9323,phase2
144,7,1024,3.0,30000,1.175376,3.6541,phase2
145,7,1024,3.0,30000,1.12918,3.8036,phase2
146,7,1024,3.0,30000,1.076772,3.9887,phase2
147,7,1024,3.0,30000,1.102328,3.8963,phase2
148,7,1024,3.0,30000,1.076445,3.99,phase2
149,7,1024,3.0,30000,1.141688,3.7619,phase2
150,7,1024,3.0,30000,1.106277,3.8824,phase2
151,7,1024,3.0,30000,1.110306,3.8683,phase2
152,7,1024,3.0,30000,1.136915,3.7777,phase2
153,7,1024,3.0,30000,1.078267,3.9832,phase2
154,7,1024,3.0,30000,1.082648,3.9671,phase2
155,7,1024,3.0,30000,1.125267,3.8168,phase2
156,7,1024,3.0,30000,1.106876,3.8803,phase2
157,7,1024,3.0,30000,1.114292,3.8544,phase2
158,7,1024,3.0,30000,1.218668,3.5243,phase2
159,7,1024,3.0,30000,1.142568,3.759,phase2
160,8,1024,3.0,30000,1.076585,3.9894,phase2
161,8,1024,3.0,30000,1.132188,3.7935,phase2
162,8,1024,3.0,30000,1.063392,4.0389,phase2
163,8,1024,3.0,30000,1.106553,3.8814,phase2
164,8,1024,3.0,30000,1.110689,3.8669,phase2
165,8,1024,3.0,30000,1.110178,3.8687,phase2
166,8,1024,3.0,30000,1.141112,3.7638,phase2
167,8,1024,3.0,30000,1.136654,3.7786,phase2
168,8,1024,3.0,30000,1.10325,3.893,phase2
169,8,1024,3.0,30000,1.141929,3.7611,phase2
170,8,1024,3.0,30000,1.124927,3.818,phase2
171,8,1024,3.0,30000,1.061313,4.0468,phase2
172,8,1024,3.0,30000,1.163798,3.6905,phase2
173,8,1024,3.0,30000,1.081918,3.9698,phase2
174,8,1024,3.0,30000,1.078588,3.982,phase2
175,8,1024,3.0,30000,1.133415,3.7894,phase2
176,8,1024,3.0,30000,1.201004,3.5761,phase2
177,8,1024,3.0,30000,1.093909,3.9263,phase2
178,8,1024,3.0,30000,1.118999,3.8382,phase2
179,8,1024,3.0,30000,1.162414,3.6949,phase2
180,9,1024,3.0,30000,1.12883,3.8048,phase2
181,9,1024,3.0,30000,1.167249,3.6796,phase2
182,9,1024,3.0,30000,1.072871,4.0032,phase2
183,9,1024,3.0,30000,1.136469,3.7792,phase2
184,9,1024,3.0,30000,1.158597,3.707,phase2
185,9,1024,3.0,30000,1.15018,3.7342,phase2
186,9,1024,3.0,30000,1.142793,3.7583,phase2
187,9,1024,3.0,30000,1.188399,3.6141,phase2
188,9,1024,3.0,30000,1.080834,3.9738,phase2
189,9,1024,3.0,30000,1.128583,3.8056,phase2
190,9,1024,3.0,30000,1.114505,3.8537,phase2
191,9,1024,3.0,30000,1.196524,3.5895,phase2
192,9,1024,3.0,30000,1.099312,3.907,phase2
193,9,1024,3.0,30000,1.185177,3.6239,phase2
194,9,1024,3.0,30000,1.157844,3.7095,phase2
195,9,1024,3.0,30000,1.104091,3.89,phase2
196,9,1024,3.0,30000,1.07187,4.007,phase2
197,9,1024,3.0,30000,1.071412,4.0087,phase2
