window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.605302,7.1163,1.402068,3,16,2.4014,4201.087
1,phase1,1024,1.2,30000,1.053646,4.2994,2.294402,3,16,4.1801,4201.087
2,phase1,1024,1.2,30000,1.134693,3.7981,2.699558,3,16,4.5016,4201.087
3,phase1,1024,1.2,30000,1.118189,3.8432,2.885811,3,16,4.4361,4201.087
4,phase1,1024,1.2,30000,1.114158,3.8571,2.994357,3,16,4.4201,4201.087
5,phase1,1024,1.2,30000,1.125793,3.818,3.074416,3,16,4.4663,4201.087
6,phase1,1024,1.2,30000,1.129464,3.8061,3.133684,3,16,4.4808,4201.087
7,phase2,1024,3.0,30000,1.122427,3.8302,0.669854,3,16,1.7812,4201.087
8,phase2,1024,3.0,30000,1.117141,3.8484,0.681667,3,16,1.7728,4201.087
9,phase2,1024,3.0,30000,1.140415,3.7733,0.69481,3,16,1.8097,4201.087
10,phase2,1024,3.0,30000,1.120697,3.8378,0.702719,3,16,1.7784,4201.087
11,phase2,1024,3.0,30000,1.12568,3.823,0.70997,3,16,1.7863,4201.087
12,phase2,1024,3.0,30000,1.129289,3.8083,0.716545,3,16,1.7921,4201.087
13,phase2,1024,3.0,30000,1.1243,3.8224,0.721616,3,16,1.7841,4201.087
14,phase2,1024,3.0,30000,1.113081,3.8605,0.724823,3,16,1.7663,4201.087
