window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,1.323975,3.6337,1.263241,3,16,2.2602,3905.163
1,phase1,1024,3.0,30000,1.135642,3.7903,1.10795,3,16,1.9387,3905.163
2,phase1,1024,3.0,30000,1.114292,3.8567,1.040574,3,16,1.9023,3905.163
3,phase1,1024,3.0,30000,1.125427,3.8184,1.011649,3,16,1.9213,3905.163
4,phase1,1024,3.0,30000,1.125166,3.8215,0.99421,3,16,1.9208,3905.163
5,phase1,1024,3.0,30000,1.133015,3.793,0.984817,3,16,1.9342,3905.163
6,phase1,1024,3.0,30000,1.116054,3.8531,0.973973,3,16,1.9053,3905.163
7,phase2,1024,1.2,30000,1.12372,3.8261,3.918674,3,16,4.7959,3905.163
8,phase2,1024,1.2,30000,1.141672,3.7672,3.914553,3,16,4.8725,3905.163
9,phase2,1024,1.2,30000,1.12199,3.8334,3.90286,3,16,4.7885,3905.163
10,phase2,1024,1.2,30000,1.129432,3.8118,3.896176,3,16,4.8203,3905.163
11,phase2,1024,1.2,30000,1.127953,3.8105,3.890082,3,16,4.8139,3905.163
12,phase2,1024,1.2,30000,1.121881,3.8311,3.882929,3,16,4.788,3905.163
13,phase2,1024,1.2,30000,1.012116,4.5249,3.843246,3,16,4.3196,3905.163
14,phase2,1024,1.2,30000,0.57032,7.5332,3.682668,3,16,2.434,3905.163
