window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,1.269951,3.4013,1.171597,3,16,2.168,3905.163
1,phase1,1024,3.0,30000,1.283079,3.3707,1.18274,3,16,2.1904,3905.163
2,phase1,1024,3.0,30000,1.192202,3.6164,1.134722,3,16,2.0353,3905.163
3,phase1,1024,3.0,30000,1.195913,3.595,1.112332,3,16,2.0416,3905.163
4,phase1,1024,3.0,30000,1.212097,3.5545,1.104433,3,16,2.0692,3905.163
5,phase1,1024,3.0,30000,1.193713,3.603,1.093931,3,16,2.0378,3905.163
6,phase1,1024,3.0,30000,1.215997,3.5398,1.091869,3,16,2.0759,3905.163
7,phase2,1024,1.2,30000,1.201527,3.5846,4.218068,3,16,5.1279,3905.163
8,phase2,1024,1.2,30000,1.221352,3.5279,4.21846,3,16,5.2126,3905.163
9,phase2,1024,1.2,30000,1.208735,3.5642,4.213391,3,16,5.1587,3905.163
10,phase2,1024,1.2,30000,1.206938,3.5692,4.208545,3,16,5.151,3905.163
11,phase2,1024,1.2,30000,1.239279,3.4812,4.21601,3,16,5.2891,3905.163
12,phase2,1024,1.2,30000,1.194052,3.6028,4.207476,3,16,5.096,3905.163
13,phase2,1024,1.2,30000,1.228506,3.5097,4.210665,3,16,5.2431,3905.163
14,phase2,1024,1.2,30000,0.645154,6.6766,4.046915,3,16,2.7534,3905.163
