iter,epoch,comm_dur_s,bw_gbps,phase
0,0,0.400163,21.4661,solo_rampup
1,0,0.266666,32.2124,solo_rampup
2,0,0.258706,33.2035,solo_rampup
3,0,0.254658,33.7312,solo_rampup
4,0,0.256037,33.5496,solo_rampup
5,0,0.26068,32.952,solo_rampup
6,0,0.263248,32.6306,solo_rampup
7,0,0.254186,33.7939,solo_rampup
8,0,0.255283,33.6487,solo_rampup
9,0,0.261213,32.8847,solo_rampup
10,0,0.260324,32.997,solo_rampup
11,0,0.258354,33.2488,solo_rampup
12,0,0.26074,32.9444,solo_rampup
13,0,0.266744,32.2029,solo_rampup
14,0,0.288136,29.8121,solo_rampup
15,0,0.270043,31.8095,solo_rampup
16,0,0.268145,32.0346,solo_rampup
17,0,0.266519,32.2301,solo_rampup
18,0,0.270089,31.8041,solo_rampup
19,0,0.260152,33.0189,solo_rampup
20,1,0.26724,32.1431,solo_rampup
21,1,0.298645,28.7631,solo_rampup
22,1,0.289993,29.6212,solo_rampup
23,1,0.280088,30.6687,solo_rampup
24,1,0.296873,28.9347,solo_rampup
25,1,0.288795,29.744,solo_rampup
26,1,0.287612,29.8663,solo_rampup
27,1,0.288146,29.811,solo_rampup
28,1,0.597423,14.3783,solo_rampup
29,1,0.295976,29.0224,solo_rampup
30,1,0.293593,29.258,solo_rampup
31,1,0.294835,29.1347,solo_rampup
32,1,0.294705,29.1476,solo_rampup
33,1,0.283919,30.2549,solo_rampup
34,1,0.28663,29.9687,solo_rampup
35,1,0.291423,29.4758,solo_rampup
36,1,0.294552,29.1627,solo_rampup
37,1,0.284203,30.2246,solo_rampup
38,1,0.292333,29.3841,solo_rampup
39,1,0.291284,29.4899,solo_rampup
40,2,0.289204,29.702,solo_rampup
41,2,0.295086,29.1099,solo_rampup
42,2,0.285818,30.0538,solo_rampup
43,2,0.289636,29.6577,solo_rampup
44,2,0.28928,29.6942,solo_rampup
45,2,0.290601,29.5592,solo_rampup
46,2,0.287518,29.8762,solo_rampup
47,2,0.289198,29.7027,solo_rampup
48,2,0.299078,28.7213,solo_rampup
49,2,0.29278,29.3392,solo_rampup
50,2,0.286351,29.9979,solo_rampup
51,2,0.290012,29.6192,solo_rampup
52,2,0.294772,29.141,solo_rampup
53,2,0.284941,30.1464,solo_rampup
54,2,0.287436,29.8847,solo_rampup
55,2,0.29043,29.5766,solo_rampup
56,2,0.293808,29.2366,solo_rampup
