iter,epoch,comm_dur_s,bw_gbps,phase
0,0,0.843627,10.1821,contested
1,0,0.959425,8.9532,contested
2,0,0.89903,9.5547,contested
3,0,0.813229,10.5627,contested
4,0,0.934516,9.1919,contested
5,0,0.935004,9.1871,contested
6,0,0.931328,9.2233,contested
7,0,0.873929,9.8291,contested
8,0,0.921674,9.3199,contested
9,0,0.98789,8.6952,contested
10,0,0.895763,9.5895,contested
11,0,0.869913,9.8745,contested
12,0,0.936698,9.1704,contested
13,0,0.86096,9.9772,contested
14,0,0.85319,10.068,contested
15,0,0.78746,10.9084,contested
16,0,0.837804,10.2529,contested
17,0,0.815674,10.5311,contested
18,0,0.7916,10.8514,contested
19,0,0.784801,10.9454,contested
20,1,0.66285,12.9591,contested
21,1,0.58272,14.7411,contested
22,1,0.582732,14.7408,contested
23,1,0.562697,15.2656,contested
24,1,0.591142,14.5311,contested
25,1,0.573885,14.968,contested
26,1,0.612804,14.0174,contested
27,1,0.541821,15.8538,contested
28,1,0.582587,14.7445,contested
29,1,0.570104,15.0673,contested
30,1,0.505661,16.9875,contested
31,1,0.322352,26.6477,contested
32,1,0.605683,14.1822,contested
33,1,0.609726,14.0882,contested
34,1,0.582788,14.7394,contested
35,1,0.570069,15.0682,contested
36,1,0.583394,14.7241,contested
37,1,0.616873,13.925,contested
38,1,0.617255,13.9163,contested
39,1,0.669165,12.8368,contested
40,2,0.95129,9.0298,contested
41,2,0.838893,10.2396,contested
42,2,0.795499,10.7982,contested
43,2,0.809137,10.6162,contested
44,2,0.826748,10.39,contested
45,2,0.77022,11.1526,contested
46,2,0.805425,10.6651,contested
47,2,0.795937,10.7922,contested
48,2,0.873495,9.834,contested
49,2,0.801613,10.7158,contested
50,2,0.817641,10.5058,contested
51,2,0.856445,10.0298,contested
52,2,0.765364,11.2233,contested
53,2,0.821931,10.4509,contested
54,2,0.79222,10.8429,contested
55,2,0.780525,11.0053,contested
56,2,0.834169,10.2976,contested
57,2,0.844472,10.172,contested
58,2,1.003254,8.5621,contested
59,2,1.260728,6.8135,contested
60,3,0.743337,11.5559,contested
61,3,0.561293,15.3038,contested
62,3,0.528038,16.2677,contested
63,3,0.630761,13.6184,contested
64,3,0.589743,14.5656,contested
65,3,0.552731,15.5409,contested
66,3,0.539305,15.9278,contested
67,3,0.588757,14.5899,contested
68,3,0.591309,14.527,contested
69,3,0.548687,15.6554,contested
70,3,0.510385,16.8303,contested
71,3,0.532838,16.1211,contested
72,3,0.613654,13.998,contested
73,3,0.631627,13.5997,contested
74,3,0.588401,14.5988,contested
75,3,0.545342,15.7515,contested
76,3,0.541391,15.8664,contested
77,3,0.578743,14.8424,contested
78,3,0.591548,14.5211,contested
79,3,0.563639,15.2401,contested
80,4,1.141055,7.5281,contested
81,4,1.189488,7.2215,contested
82,4,1.095543,7.8408,contested
83,4,1.194624,7.1905,contested
84,4,1.144877,7.5029,contested
85,4,1.167069,7.3603,contested
86,4,1.126216,7.6273,contested
87,4,1.034488,8.3036,contested
88,4,0.917752,9.3598,contested
89,4,1.092116,7.8654,contested
90,4,1.125732,7.6305,contested
91,4,1.233456,6.9641,contested
92,4,1.274532,6.7397,contested
93,4,1.212436,7.0849,contested
94,4,0.969433,8.8608,contested
95,4,0.821493,10.4565,contested
96,4,0.848993,10.1178,contested
97,4,0.839566,10.2314,contested
98,4,0.823315,10.4333,contested
99,4,0.819965,10.476,contested
100,5,0.629245,13.6512,contested
101,5,0.571401,15.0331,contested
102,5,0.556613,15.4325,contested
103,5,0.539772,15.914,contested
104,5,0.603904,14.224,contested
105,5,0.565868,15.1801,contested
106,5,0.540252,15.8999,contested
107,5,0.582533,14.7458,contested
108,5,0.596923,14.3903,contested
109,5,0.566095,15.174,contested
110,5,0.599837,14.3204,contested
111,5,0.543921,15.7926,contested
112,5,0.578605,14.8459,contested
113,5,0.566015,15.1762,contested
114,5,0.386734,22.2115,contested
115,5,0.305662,28.1027,contested
116,5,0.295842,29.0355,contested
117,5,0.314798,27.2872,contested
118,5,0.290584,29.5609,contested
119,5,0.280847,30.5858,contested
120,6,0.295685,29.0509,contested
121,6,0.265005,32.4142,contested
122,6,0.277973,30.9021,contested
123,6,0.297485,28.8752,contested
124,6,0.267643,32.0948,contested
125,6,0.289478,29.6739,contested
126,6,0.283621,30.2867,contested
127,6,0.291904,29.4273,contested
128,6,0.32,26.8435,contested
129,6,0.277553,30.9489,contested
130,6,0.262894,32.6745,contested
131,6,0.280567,30.6164,contested
132,6,0.280263,30.6496,contested
133,6,0.285042,30.1357,contested
134,6,0.286969,29.9334,contested
135,6,0.293519,29.2653,contested
136,6,0.27496,31.2406,contested
137,6,0.269049,31.927,contested
138,6,0.282564,30.4,contested
139,6,0.301656,28.476,contested
140,7,0.281029,30.566,contested
141,7,0.300748,28.5619,contested
142,7,0.29463,29.155,contested
143,7,0.30384,28.2713,contested
144,7,0.320326,26.8162,contested
145,7,0.296902,28.9319,contested
146,7,0.289418,29.68,contested
147,7,0.280752,30.5961,contested
148,7,0.295327,29.0862,contested
149,7,0.298333,28.7931,contested
150,7,0.297908,28.8342,contested
151,7,0.28269,30.3864,contested
152,7,0.287231,29.906,contested
153,7,0.304277,28.2307,contested
154,7,0.28645,29.9875,contested
155,7,0.291486,29.4694,contested
156,7,0.297025,28.9199,contested
157,7,0.28067,30.6051,contested
158,7,0.287624,29.8651,contested
159,7,0.306989,27.9812,contested
