[JobA-LONGLIU-MAIN] Loaded T_target=4201.09ms from /tmp/ttarget_v5_jobA.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29520...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=8)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=16)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=24)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=32)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=40)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=48)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=48)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29520, priority=P4
[JobA-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_epoch=7 (c_i swap), num_iters=300
[JobA-LONGLIU-MAIN] Phase 1 (epoch 0-6): c_i=1.7
[JobA-LONGLIU-MAIN] Phase 2 (epoch 7-14): c_i=3.0
[JobA-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=7.5 GB
[JobA-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P4 (DSCP 48 -> 32)
[JobA-LONGLIU-MAIN] iter   0 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=286.3ms, bw=15.00 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   1 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=181.8ms, bw=23.63 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   2 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=171.9ms, bw=24.99 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   3 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=174.1ms, bw=24.67 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   4 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=182.9ms, bw=23.48 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   5 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=170.9ms, bw=25.13 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   6 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=180.5ms, bw=23.80 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   7 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=177.2ms, bw=24.23 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   8 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=182.1ms, bw=23.58 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   9 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=165.3ms, bw=25.98 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  10 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=146.6ms, bw=29.29 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  11 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=153.7ms, bw=27.94 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  12 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=173.9ms, bw=24.70 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  13 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=196.4ms, bw=21.87 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  14 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=171.4ms, bw=25.05 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  15 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=170.3ms, bw=25.22 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  16 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=168.3ms, bw=25.52 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  17 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=174.8ms, bw=24.57 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  18 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=180.2ms, bw=23.83 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  19 (epoch 0): payload=1024MB, c_i=1.7, sleep=30000us, comm=182.4ms, bw=23.55 Gbps [phase1]
[SLO] T_target PRESET (calibrated): 4201.1ms (c_i=1.7, SLO target=7141.8ms) — EMA updates SKIPPED
[SLO] Epoch 1: π=-0.497 (A=3.59s, expected=7.14s, T_target=4201.1ms, k=1), Priority P4 -> P2 (DSCP 32 -> 16)
[MultiComm] Rank 0: switching priority P4 -> P2 (DSCP 32 -> 16)
[JobA-LONGLIU-MAIN] iter  20 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=326.4ms, bw=13.16 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  21 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=197.9ms, bw=21.70 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  22 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=198.9ms, bw=21.59 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  23 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=218.8ms, bw=19.63 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  24 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=201.4ms, bw=21.32 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  25 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=187.4ms, bw=22.92 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  26 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=186.2ms, bw=23.06 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  27 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=177.8ms, bw=24.16 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  28 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=196.1ms, bw=21.90 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  29 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=186.3ms, bw=23.05 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  30 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=200.4ms, bw=21.43 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  31 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=183.1ms, bw=23.46 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  32 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=205.4ms, bw=20.91 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  33 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=198.5ms, bw=21.64 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  34 (epoch 1): payload=1024MB, c_i=1.7, sleep=30000us, comm=200.2ms, bw=21.46 Gbps [phase1]
