epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,768,1.5,30000,0.267841,28.208,0.591974,6,8,1.5906,2245.132
1,phase1,768,1.5,30000,0.099435,32.4193,0.091448,4,0,0.5905,2245.132
2,phase1,768,1.5,30000,0.364459,18.5934,0.452509,6,8,2.1644,2245.132
3,phase1,768,1.5,30000,0.186176,17.5942,0.368903,6,8,1.1057,2245.132
4,phase1,768,1.5,30000,0.192869,16.723,0.326847,6,8,1.1454,2245.132
5,phase1,768,1.5,30000,0.193685,16.6535,0.299618,4,0,1.1503,2245.132
6,phase1,768,1.5,30000,0.20058,16.1138,0.285748,4,0,1.1912,2245.132
7,phase1,768,1.5,30000,0.198419,16.2569,0.273962,4,0,1.1784,2245.132
8,phase1,768,1.5,30000,0.200822,16.0794,0.266323,4,0,1.1926,2245.132
9,phase1,768,1.5,30000,0.20281,15.9163,0.261211,4,0,1.2044,2245.132
10,phase1,768,1.5,30000,0.198705,16.2581,0.255037,4,0,1.1801,2245.132
11,phase1,768,1.5,30000,0.20083,16.0638,0.250942,4,0,1.1927,2245.132
12,phase1,768,1.5,30000,0.197612,16.3326,0.246007,4,0,1.1736,2245.132
13,phase1,768,1.5,30000,0.202598,15.9213,0.24386,4,0,1.2032,2245.132
14,phase1,768,1.5,30000,0.196445,16.4298,0.23955,4,0,1.1666,2245.132
15,phase1,768,1.5,30000,0.194959,16.5433,0.235265,4,0,1.1578,2245.132
16,phase1,768,1.5,30000,0.195364,16.5273,0.231628,4,0,1.1602,2245.132
17,phase1,768,1.5,30000,0.194772,16.5791,0.2282,4,0,1.1567,2245.132
18,phase1,768,1.5,30000,0.199589,16.1563,0.226638,4,0,1.1853,2245.132
19,phase1,768,1.5,30000,0.197459,16.348,0.224599,4,0,1.1727,2245.132
20,phase1,768,1.5,30000,0.193745,16.6481,0.22168,4,0,1.1506,2245.132
21,phase1,768,1.5,30000,0.204108,15.7995,0.221777,4,0,1.2121,2245.132
22,phase1,768,1.5,30000,0.200137,16.1373,0.220786,4,0,1.1886,2245.132
23,phase1,768,1.5,30000,0.200328,16.1054,0.220043,4,0,1.1897,2245.132
24,phase1,768,1.5,30000,0.200467,16.0918,0.219391,4,0,1.1905,2245.132
