iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,768,1.5,30000,3.279793,0.9821,phase1
1,0,768,1.5,30000,0.108342,29.732,phase1
2,0,768,1.5,30000,0.108247,29.758,phase1
3,0,768,1.5,30000,0.126041,25.557,phase1
4,0,768,1.5,30000,0.121653,26.4788,phase1
5,0,768,1.5,30000,0.104129,30.935,phase1
6,0,768,1.5,30000,0.112228,28.7024,phase1
7,0,768,1.5,30000,0.127586,25.2474,phase1
8,0,768,1.5,30000,0.114173,28.2134,phase1
9,0,768,1.5,30000,0.105027,30.6704,phase1
10,0,768,1.5,30000,0.121538,26.5039,phase1
11,0,768,1.5,30000,0.106237,30.3212,phase1
12,0,768,1.5,30000,0.106455,30.259,phase1
13,0,768,1.5,30000,0.100848,31.9414,phase1
14,0,768,1.5,30000,0.100375,32.0918,phase1
15,0,768,1.5,30000,0.106402,30.2742,phase1
16,0,768,1.5,30000,0.10519,30.6231,phase1
17,0,768,1.5,30000,0.100048,32.1969,phase1
18,0,768,1.5,30000,0.103861,31.0146,phase1
19,0,768,1.5,30000,0.09864,32.6564,phase1
20,1,768,1.5,30000,0.108988,29.5559,phase1
21,1,768,1.5,30000,0.096322,33.4423,phase1
22,1,768,1.5,30000,0.09839,32.7393,phase1
23,1,768,1.5,30000,0.098876,32.5785,phase1
24,1,768,1.5,30000,0.097131,33.1636,phase1
25,1,768,1.5,30000,0.100205,32.1463,phase1
26,1,768,1.5,30000,0.099332,32.4288,phase1
27,1,768,1.5,30000,0.102148,31.5348,phase1
28,1,768,1.5,30000,0.10116,31.843,phase1
29,1,768,1.5,30000,0.097611,33.0007,phase1
30,1,768,1.5,30000,0.09921,32.4687,phase1
31,1,768,1.5,30000,0.100424,32.0761,phase1
32,1,768,1.5,30000,0.102606,31.3943,phase1
33,1,768,1.5,30000,0.09828,32.7759,phase1
34,1,768,1.5,30000,0.097395,33.0739,phase1
35,1,768,1.5,30000,0.100429,32.0747,phase1
36,1,768,1.5,30000,0.097288,33.1102,phase1
37,1,768,1.5,30000,0.098413,32.7318,phase1
38,1,768,1.5,30000,0.097786,32.9416,phase1
39,1,768,1.5,30000,0.096716,33.3062,phase1
40,2,768,1.5,30000,3.952682,0.8149,phase1
41,2,768,1.5,30000,0.110633,29.1162,phase1
42,2,768,1.5,30000,0.106622,30.2116,phase1
43,2,768,1.5,30000,0.113057,28.492,phase1
44,2,768,1.5,30000,0.096816,33.2717,phase1
45,2,768,1.5,30000,0.182382,17.6619,phase1
46,2,768,1.5,30000,0.197656,16.2972,phase1
47,2,768,1.5,30000,0.198023,16.2669,phase1
48,2,768,1.5,30000,0.186363,17.2847,phase1
49,2,768,1.5,30000,0.178895,18.0063,phase1
50,2,768,1.5,30000,0.188949,17.0481,phase1
51,2,768,1.5,30000,0.216841,14.8553,phase1
52,2,768,1.5,30000,0.181909,17.7079,phase1
53,2,768,1.5,30000,0.190403,16.9179,phase1
54,2,768,1.5,30000,0.206535,15.5965,phase1
55,2,768,1.5,30000,0.190576,16.9026,phase1
56,2,768,1.5,30000,0.191401,16.8297,phase1
57,2,768,1.5,30000,0.181323,17.7651,phase1
58,2,768,1.5,30000,0.206441,15.6036,phase1
59,2,768,1.5,30000,0.211682,15.2173,phase1
60,3,768,1.5,30000,0.185145,17.3984,phase1
61,3,768,1.5,30000,0.193764,16.6245,phase1
62,3,768,1.5,30000,0.192936,16.6958,phase1
63,3,768,1.5,30000,0.186407,17.2806,phase1
64,3,768,1.5,30000,0.194325,16.5765,phase1
65,3,768,1.5,30000,0.127592,25.2462,phase1
66,3,768,1.5,30000,0.127284,25.3074,phase1
67,3,768,1.5,30000,0.193812,16.6204,phase1
68,3,768,1.5,30000,0.208773,15.4293,phase1
69,3,768,1.5,30000,0.201823,15.9606,phase1
70,3,768,1.5,30000,0.180662,17.8302,phase1
71,3,768,1.5,30000,0.183165,17.5865,phase1
72,3,768,1.5,30000,0.193809,16.6206,phase1
73,3,768,1.5,30000,0.190474,16.9116,phase1
74,3,768,1.5,30000,0.189198,17.0257,phase1
75,3,768,1.5,30000,0.203085,15.8615,phase1
76,3,768,1.5,30000,0.193733,16.6272,phase1
77,3,768,1.5,30000,0.198436,16.2331,phase1
78,3,768,1.5,30000,0.181624,17.7357,phase1
79,3,768,1.5,30000,0.197473,16.3123,phase1
80,4,768,1.5,30000,0.201533,15.9836,phase1
81,4,768,1.5,30000,0.176916,18.2077,phase1
82,4,768,1.5,30000,0.193146,16.6777,phase1
83,4,768,1.5,30000,0.19553,16.4744,phase1
84,4,768,1.5,30000,0.184671,17.443,phase1
85,4,768,1.5,30000,0.190347,16.9229,phase1
86,4,768,1.5,30000,0.206898,15.5691,phase1
87,4,768,1.5,30000,0.197694,16.294,phase1
88,4,768,1.5,30000,0.190136,16.9417,phase1
89,4,768,1.5,30000,0.189678,16.9826,phase1
90,4,768,1.5,30000,0.186253,17.2949,phase1
91,4,768,1.5,30000,0.193338,16.6611,phase1
92,4,768,1.5,30000,0.207502,15.5238,phase1
93,4,768,1.5,30000,0.189285,17.0178,phase1
94,4,768,1.5,30000,0.196035,16.4319,phase1
95,4,768,1.5,30000,0.190974,16.8673,phase1
96,4,768,1.5,30000,0.190078,16.9468,phase1
97,4,768,1.5,30000,0.194622,16.5512,phase1
98,4,768,1.5,30000,0.193495,16.6476,phase1
99,4,768,1.5,30000,0.189257,17.0204,phase1
100,5,768,1.5,30000,0.185691,17.3472,phase1
101,5,768,1.5,30000,0.195023,16.5171,phase1
102,5,768,1.5,30000,0.19753,16.3075,phase1
103,5,768,1.5,30000,0.197658,16.297,phase1
104,5,768,1.5,30000,0.200055,16.1017,phase1
105,5,768,1.5,30000,0.201976,15.9486,phase1
106,5,768,1.5,30000,0.210358,15.3131,phase1
107,5,768,1.5,30000,0.197707,16.2929,phase1
108,5,768,1.5,30000,0.185734,17.3433,phase1
109,5,768,1.5,30000,0.189092,17.0352,phase1
110,5,768,1.5,30000,0.190872,16.8763,phase1
111,5,768,1.5,30000,0.198986,16.1882,phase1
112,5,768,1.5,30000,0.189147,17.0302,phase1
113,5,768,1.5,30000,0.189078,17.0365,phase1
114,5,768,1.5,30000,0.182108,17.6886,phase1
115,5,768,1.5,30000,0.185307,17.3831,phase1
116,5,768,1.5,30000,0.186157,17.3038,phase1
117,5,768,1.5,30000,0.194059,16.5992,phase1
118,5,768,1.5,30000,0.193903,16.6126,phase1
119,5,768,1.5,30000,0.20326,15.8478,phase1
120,6,768,1.5,30000,0.202341,15.9198,phase1
121,6,768,1.5,30000,0.184599,17.4498,phase1
122,6,768,1.5,30000,0.185352,17.379,phase1
