iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.32171,13.3504,phase1
1,0,1024,1.2,30000,0.194935,22.0328,phase1
2,0,1024,1.2,30000,0.180632,23.7775,phase1
3,0,1024,1.2,30000,0.182107,23.5849,phase1
4,0,1024,1.2,30000,0.183615,23.3912,phase1
5,0,1024,1.2,30000,0.182346,23.5539,phase1
6,0,1024,1.2,30000,0.174506,24.6121,phase1
7,0,1024,1.2,30000,0.185219,23.1885,phase1
8,0,1024,1.2,30000,0.192611,22.2987,phase1
9,0,1024,1.2,30000,0.178208,24.1009,phase1
10,0,1024,1.2,30000,0.186413,23.04,phase1
11,0,1024,1.2,30000,0.175095,24.5294,phase1
12,0,1024,1.2,30000,0.187919,22.8554,phase1
13,0,1024,1.2,30000,0.1872,22.9432,phase1
14,0,1024,1.2,30000,0.176447,24.3413,phase1
15,0,1024,1.2,30000,0.181163,23.7078,phase1
16,0,1024,1.2,30000,0.165593,25.9369,phase1
17,0,1024,1.2,30000,0.179861,23.8794,phase1
18,0,1024,1.2,30000,0.179935,23.8695,phase1
19,0,1024,1.2,30000,0.184064,23.3341,phase1
20,1,1024,1.2,30000,0.349055,12.3046,phase1
21,1,1024,1.2,30000,0.201794,21.284,phase1
22,1,1024,1.2,30000,0.183083,23.4592,phase1
23,1,1024,1.2,30000,0.176572,24.3242,phase1
24,1,1024,1.2,30000,0.187528,22.9031,phase1
25,1,1024,1.2,30000,0.183544,23.4002,phase1
26,1,1024,1.2,30000,0.183254,23.4373,phase1
27,1,1024,1.2,30000,0.1669,25.7338,phase1
28,1,1024,1.2,30000,0.182967,23.474,phase1
29,1,1024,1.2,30000,0.183686,23.3821,phase1
30,1,1024,1.2,30000,0.17721,24.2366,phase1
31,1,1024,1.2,30000,0.181415,23.6748,phase1
32,1,1024,1.2,30000,0.188766,22.7529,phase1
33,1,1024,1.2,30000,0.170606,25.1747,phase1
34,1,1024,1.2,30000,0.181834,23.6203,phase1
35,1,1024,1.2,30000,0.159677,26.8978,phase1
36,1,1024,1.2,30000,0.18505,23.2098,phase1
37,1,1024,1.2,30000,0.18491,23.2274,phase1
38,1,1024,1.2,30000,0.17973,23.8968,phase1
39,1,1024,1.2,30000,0.169928,25.2752,phase1
40,2,1024,1.2,30000,0.18702,22.9653,phase1
41,2,1024,1.2,30000,0.178372,24.0787,phase1
42,2,1024,1.2,30000,0.160972,26.6814,phase1
43,2,1024,1.2,30000,0.180945,23.7363,phase1
44,2,1024,1.2,30000,0.187447,22.913,phase1
45,2,1024,1.2,30000,0.181058,23.7214,phase1
46,2,1024,1.2,30000,0.176695,24.3072,phase1
47,2,1024,1.2,30000,0.179638,23.909,phase1
48,2,1024,1.2,30000,0.175368,24.4911,phase1
49,2,1024,1.2,30000,0.176355,24.3541,phase1
50,2,1024,1.2,30000,0.160014,26.8411,phase1
51,2,1024,1.2,30000,0.165177,26.0022,phase1
52,2,1024,1.2,30000,0.164182,26.1598,phase1
53,2,1024,1.2,30000,0.167072,25.7074,phase1
54,2,1024,1.2,30000,0.176211,24.374,phase1
55,2,1024,1.2,30000,0.177353,24.217,phase1
56,2,1024,1.2,30000,0.180225,23.8311,phase1
57,2,1024,1.2,30000,0.170825,25.1424,phase1
58,2,1024,1.2,30000,0.190642,22.5289,phase1
59,2,1024,1.2,30000,0.297049,14.4588,phase1
60,3,1024,1.2,30000,0.301717,14.2351,phase1
61,3,1024,1.2,30000,0.310691,13.8239,phase1
62,3,1024,1.2,30000,0.310044,13.8528,phase1
63,3,1024,1.2,30000,0.301106,14.264,phase1
64,3,1024,1.2,30000,0.301305,14.2545,phase1
65,3,1024,1.2,30000,0.289645,14.8284,phase1
66,3,1024,1.2,30000,0.314117,13.6731,phase1
67,3,1024,1.2,30000,0.305305,14.0678,phase1
68,3,1024,1.2,30000,0.316896,13.5532,phase1
69,3,1024,1.2,30000,0.293611,14.6281,phase1
70,3,1024,1.2,30000,0.297671,14.4286,phase1
71,3,1024,1.2,30000,0.294853,14.5665,phase1
72,3,1024,1.2,30000,0.302328,14.2063,phase1
73,3,1024,1.2,30000,0.310832,13.8176,phase1
74,3,1024,1.2,30000,0.301665,14.2376,phase1
75,3,1024,1.2,30000,0.301513,14.2447,phase1
76,3,1024,1.2,30000,0.296864,14.4678,phase1
77,3,1024,1.2,30000,0.285089,15.0653,phase1
78,3,1024,1.2,30000,0.296449,14.4881,phase1
79,3,1024,1.2,30000,0.21057,20.3968,phase1
80,4,1024,1.2,30000,0.288156,14.905,phase1
81,4,1024,1.2,30000,0.301918,14.2256,phase1
82,4,1024,1.2,30000,0.306778,14.0002,phase1
83,4,1024,1.2,30000,0.305976,14.0369,phase1
84,4,1024,1.2,30000,0.2946,14.579,phase1
85,4,1024,1.2,30000,0.305805,14.0448,phase1
86,4,1024,1.2,30000,0.294946,14.5619,phase1
87,4,1024,1.2,30000,0.306588,14.0089,phase1
88,4,1024,1.2,30000,0.29482,14.5681,phase1
89,4,1024,1.2,30000,0.296799,14.4709,phase1
90,4,1024,1.2,30000,0.301119,14.2633,phase1
91,4,1024,1.2,30000,0.301961,14.2236,phase1
92,4,1024,1.2,30000,0.283983,15.124,phase1
93,4,1024,1.2,30000,0.296736,14.474,phase1
94,4,1024,1.2,30000,0.301008,14.2686,phase1
95,4,1024,1.2,30000,0.305603,14.0541,phase1
96,4,1024,1.2,30000,0.308832,13.9071,phase1
97,4,1024,1.2,30000,0.314942,13.6373,phase1
98,4,1024,1.2,30000,0.297699,14.4272,phase1
99,4,1024,1.2,30000,0.315214,13.6256,phase1
100,5,1024,1.2,30000,0.488167,8.7981,phase1
101,5,1024,1.2,30000,0.357719,12.0065,phase1
102,5,1024,1.2,30000,0.358636,11.9758,phase1
103,5,1024,1.2,30000,0.371692,11.5552,phase1
104,5,1024,1.2,30000,0.346315,12.4019,phase1
105,5,1024,1.2,30000,0.357622,12.0098,phase1
106,5,1024,1.2,30000,0.361617,11.8771,phase1
107,5,1024,1.2,30000,0.389776,11.0191,phase1
108,5,1024,1.2,30000,0.384122,11.1813,phase1
109,5,1024,1.2,30000,0.393455,10.916,phase1
110,5,1024,1.2,30000,0.367263,11.6945,phase1
111,5,1024,1.2,30000,0.381285,11.2645,phase1
112,5,1024,1.2,30000,0.362525,11.8474,phase1
113,5,1024,1.2,30000,0.218722,19.6367,phase1
114,5,1024,1.2,30000,0.381193,11.2672,phase1
115,5,1024,1.2,30000,0.401942,10.6855,phase1
116,5,1024,1.2,30000,0.376474,11.4084,phase1
117,5,1024,1.2,30000,0.381157,11.2682,phase1
118,5,1024,1.2,30000,0.341219,12.5871,phase1
119,5,1024,1.2,30000,0.367208,11.6963,phase1
120,6,1024,1.2,30000,0.359717,11.9399,phase1
121,6,1024,1.2,30000,0.353209,12.1599,phase1
122,6,1024,1.2,30000,0.38754,11.0826,phase1
123,6,1024,1.2,30000,0.393333,10.9194,phase1
124,6,1024,1.2,30000,0.379395,11.3206,phase1
125,6,1024,1.2,30000,0.364856,11.7717,phase1
126,6,1024,1.2,30000,0.363858,11.804,phase1
127,6,1024,1.2,30000,0.375367,11.4421,phase1
128,6,1024,1.2,30000,0.346705,12.388,phase1
129,6,1024,1.2,30000,0.357269,12.0217,phase1
130,6,1024,1.2,30000,0.375296,11.4442,phase1
131,6,1024,1.2,30000,0.34105,12.5934,phase1
132,6,1024,1.2,30000,0.372103,11.5424,phase1
133,6,1024,1.2,30000,0.380549,11.2862,phase1
134,6,1024,1.2,30000,0.366623,11.7149,phase1
135,6,1024,1.2,30000,0.366442,11.7207,phase1
136,6,1024,1.2,30000,0.384977,11.1564,phase1
137,6,1024,1.2,30000,0.39191,10.9591,phase1
138,6,1024,1.2,30000,0.381533,11.2571,phase1
