window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.714222,6.282,1.834902,3,16,2.8335,4201.087
1,phase1,1024,1.2,30000,1.235775,3.4821,2.872912,3,16,4.9026,4201.087
2,phase1,1024,1.2,30000,1.237009,3.4797,3.220557,3,16,4.9075,4201.087
3,phase1,1024,1.2,30000,1.226618,3.5117,3.384077,3,16,4.8663,4201.087
4,phase1,1024,1.2,30000,1.264302,3.4101,3.512096,3,16,5.0158,4201.087
5,phase1,1024,1.2,30000,1.237602,3.4747,3.579794,3,16,4.9098,4201.087
6,phase1,1024,1.2,30000,1.240063,3.4717,3.629547,3,16,4.9196,4201.087
7,phase2,1024,3.0,30000,1.256794,3.4244,0.870058,3,16,1.9944,4201.087
8,phase2,1024,3.0,30000,1.199737,3.5817,0.874188,3,16,1.9039,4201.087
9,phase2,1024,3.0,30000,1.239429,3.4711,0.883794,3,16,1.9668,4201.087
10,phase2,1024,3.0,30000,1.211478,3.547,0.887621,3,16,1.9225,4201.087
11,phase2,1024,3.0,30000,1.26022,3.4187,0.897254,3,16,1.9998,4201.087
12,phase2,1024,3.0,30000,1.232193,3.4924,0.901984,3,16,1.9554,4201.087
13,phase2,1024,3.0,30000,1.244211,3.4596,0.907389,3,16,1.9744,4201.087
14,phase2,1024,3.0,30000,1.227394,3.5068,0.910298,3,16,1.9477,4201.087
