iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.267066,16.082,phase1
1,0,1024,1.2,30000,0.170496,25.1911,phase1
2,0,1024,1.2,30000,0.184783,23.2433,phase1
3,0,1024,1.2,30000,0.167292,25.6735,phase1
4,0,1024,1.2,30000,0.178708,24.0334,phase1
5,0,1024,1.2,30000,0.175107,24.5277,phase1
6,0,1024,1.2,30000,0.191544,22.4228,phase1
7,0,1024,1.2,30000,0.180899,23.7423,phase1
8,0,1024,1.2,30000,0.17997,23.8649,phase1
9,0,1024,1.2,30000,0.184315,23.3024,phase1
10,0,1024,1.2,30000,0.181183,23.7051,phase1
11,0,1024,1.2,30000,0.173548,24.7481,phase1
12,0,1024,1.2,30000,0.19037,22.5611,phase1
13,0,1024,1.2,30000,0.171513,25.0417,phase1
14,0,1024,1.2,30000,0.18661,23.0157,phase1
15,0,1024,1.2,30000,0.168637,25.4687,phase1
16,0,1024,1.2,30000,0.185681,23.1309,phase1
17,0,1024,1.2,30000,0.187254,22.9366,phase1
18,0,1024,1.2,30000,0.178605,24.0473,phase1
19,0,1024,1.2,30000,0.184655,23.2594,phase1
20,1,1024,1.2,30000,0.331664,12.9498,phase1
21,1,1024,1.2,30000,0.160206,26.8089,phase1
22,1,1024,1.2,30000,0.16836,25.5106,phase1
23,1,1024,1.2,30000,0.181282,23.6922,phase1
24,1,1024,1.2,30000,0.178338,24.0833,phase1
25,1,1024,1.2,30000,0.175328,24.4968,phase1
26,1,1024,1.2,30000,0.18588,23.1061,phase1
27,1,1024,1.2,30000,0.180064,23.8525,phase1
28,1,1024,1.2,30000,0.190341,22.5646,phase1
29,1,1024,1.2,30000,0.183044,23.4642,phase1
30,1,1024,1.2,30000,0.176995,24.266,phase1
31,1,1024,1.2,30000,0.176761,24.2982,phase1
32,1,1024,1.2,30000,0.167018,25.7155,phase1
33,1,1024,1.2,30000,0.177178,24.241,phase1
34,1,1024,1.2,30000,0.171136,25.0969,phase1
35,1,1024,1.2,30000,0.161971,26.5168,phase1
36,1,1024,1.2,30000,0.180381,23.8105,phase1
37,1,1024,1.2,30000,0.177189,24.2394,phase1
38,1,1024,1.2,30000,0.172433,24.908,phase1
39,1,1024,1.2,30000,0.182147,23.5797,phase1
40,2,1024,1.2,30000,0.191575,22.4193,phase1
41,2,1024,1.2,30000,0.18633,23.0503,phase1
42,2,1024,1.2,30000,0.184919,23.2262,phase1
43,2,1024,1.2,30000,0.182047,23.5926,phase1
44,2,1024,1.2,30000,0.161116,26.6576,phase1
45,2,1024,1.2,30000,0.16402,26.1856,phase1
46,2,1024,1.2,30000,0.166696,25.7652,phase1
47,2,1024,1.2,30000,0.184375,23.2948,phase1
48,2,1024,1.2,30000,0.169562,25.3297,phase1
49,2,1024,1.2,30000,0.178907,24.0067,phase1
50,2,1024,1.2,30000,0.182941,23.4774,phase1
51,2,1024,1.2,30000,0.175237,24.5094,phase1
52,2,1024,1.2,30000,0.164684,26.0801,phase1
53,2,1024,1.2,30000,0.172007,24.9698,phase1
54,2,1024,1.2,30000,0.168523,25.486,phase1
55,2,1024,1.2,30000,0.168254,25.5267,phase1
56,2,1024,1.2,30000,0.161657,26.5684,phase1
57,2,1024,1.2,30000,0.167805,25.595,phase1
58,2,1024,1.2,30000,0.183601,23.3929,phase1
59,2,1024,1.2,30000,0.1801,23.8477,phase1
60,3,1024,1.2,30000,0.17944,23.9354,phase1
61,3,1024,1.2,30000,0.255101,16.8363,phase1
62,3,1024,1.2,30000,0.298576,14.3849,phase1
63,3,1024,1.2,30000,0.298426,14.3921,phase1
64,3,1024,1.2,30000,0.288904,14.8664,phase1
65,3,1024,1.2,30000,0.288755,14.8741,phase1
66,3,1024,1.2,30000,0.311096,13.8059,phase1
67,3,1024,1.2,30000,0.306718,14.003,phase1
68,3,1024,1.2,30000,0.28844,14.8903,phase1
69,3,1024,1.2,30000,0.311536,13.7864,phase1
70,3,1024,1.2,30000,0.301088,14.2648,phase1
71,3,1024,1.2,30000,0.310348,13.8392,phase1
72,3,1024,1.2,30000,0.305745,14.0475,phase1
73,3,1024,1.2,30000,0.293025,14.6574,phase1
