window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.766108,6.0072,2.041107,6,8,3.0393,4201.087
1,phase1,1024,1.2,30000,0.728337,5.9008,1.96945,6,8,2.8895,4201.087
2,phase1,1024,1.2,30000,0.724448,5.9309,1.940422,6,8,2.8741,4201.087
3,phase1,1024,1.2,30000,1.208307,3.78,2.405797,6,8,4.7936,4201.087
4,phase1,1024,1.2,30000,1.316682,3.2688,2.771014,6,8,5.2236,4201.087
5,phase1,1024,1.2,30000,1.306549,3.2939,3.007802,6,8,5.1834,4201.087
6,phase1,1024,1.2,30000,1.329475,3.2352,3.189928,6,8,5.2743,4201.087
7,phase2,1024,3.0,30000,1.318514,3.2618,0.728428,6,8,2.0923,4201.087
8,phase2,1024,3.0,30000,1.328521,3.24,0.771,6,8,2.1082,4201.087
9,phase2,1024,3.0,30000,1.324401,3.2535,0.804404,6,8,2.1017,4201.087
10,phase2,1024,3.0,30000,1.322174,3.2587,0.831415,6,8,2.0981,4201.087
11,phase2,1024,3.0,30000,1.320667,3.2613,0.853724,6,8,2.0958,4201.087
12,phase2,1024,3.0,30000,1.335341,3.2246,0.874391,6,8,2.119,4201.087
13,phase2,1024,3.0,30000,1.325306,3.2484,0.89097,6,8,2.1031,4201.087
14,phase2,1024,3.0,30000,1.316089,3.2711,0.904352,6,8,2.0885,4201.087
