epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,768,1.5,30000,0.20089,16.3076,0.23585,4,0,1.2216,2192.583
1,phase1,768,1.5,30000,0.200876,16.3208,0.235445,4,0,1.2215,2192.583
2,phase1,768,1.5,30000,0.195279,16.5233,0.223974,4,0,1.1875,2192.583
3,phase1,768,1.5,30000,0.193892,16.6588,0.216133,4,0,1.1791,2192.583
4,phase1,768,1.5,30000,0.202037,15.9734,0.220924,4,0,1.2286,2192.583
5,phase1,768,1.5,30000,0.199587,16.1775,0.221956,4,0,1.2137,2192.583
6,phase1,768,1.5,30000,0.199588,16.1691,0.222651,4,0,1.2137,2192.583
7,phase1,768,1.5,30000,0.203508,15.8692,0.225961,4,0,1.2376,2192.583
8,phase1,768,1.5,30000,0.200079,16.1454,0.226434,4,0,1.2167,2192.583
9,phase1,768,1.5,30000,0.201595,16.0049,0.227736,4,0,1.2259,2192.583
10,phase1,768,1.5,30000,0.198814,16.2425,0.227264,4,0,1.209,2192.583
11,phase1,768,1.5,30000,0.196102,16.4635,0.225423,4,0,1.1925,2192.583
12,phase1,768,1.5,30000,0.195897,16.4813,0.223836,4,0,1.1913,2192.583
13,phase1,768,1.5,30000,0.19528,16.5476,0.222208,4,0,1.1875,2192.583
14,phase1,768,1.5,30000,0.19566,16.5061,0.220951,4,0,1.1898,2192.583
15,phase1,768,1.5,30000,0.197805,16.3116,0.220667,4,0,1.2029,2192.583
16,phase1,768,1.5,30000,0.197088,16.3776,0.220159,4,0,1.1985,2192.583
17,phase1,768,1.5,30000,0.196221,16.4441,0.219416,4,0,1.1932,2192.583
18,phase1,768,1.5,30000,0.20036,16.1092,0.220042,4,0,1.2184,2192.583
19,phase1,768,1.5,30000,0.201705,16.0089,0.220856,4,0,1.2266,2192.583
20,phase1,768,1.5,30000,0.199886,16.1364,0.221184,4,0,1.2155,2192.583
21,phase1,768,1.5,30000,0.199638,16.163,0.221474,4,0,1.214,2192.583
22,phase1,768,1.5,30000,0.1736,19.6713,0.214683,4,0,1.0557,2192.583
23,phase1,768,1.5,30000,0.123616,26.1182,0.195407,4,0,0.7517,2192.583
24,phase1,768,1.5,30000,0.125825,25.714,0.178212,4,0,0.7652,2192.583
