iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,768,1.5,30000,0.338432,9.5181,phase1
1,0,768,1.5,30000,0.189709,16.9799,phase1
2,0,768,1.5,30000,0.193822,16.6195,phase1
3,0,768,1.5,30000,0.186963,17.2292,phase1
4,0,768,1.5,30000,0.186155,17.304,phase1
5,0,768,1.5,30000,0.199226,16.1687,phase1
6,0,768,1.5,30000,0.199077,16.1808,phase1
7,0,768,1.5,30000,0.1893,17.0165,phase1
8,0,768,1.5,30000,0.190814,16.8815,phase1
9,0,768,1.5,30000,0.201787,15.9635,phase1
10,0,768,1.5,30000,0.195851,16.4474,phase1
11,0,768,1.5,30000,0.186454,17.2762,phase1
12,0,768,1.5,30000,0.18565,17.351,phase1
13,0,768,1.5,30000,0.210672,15.2902,phase1
14,0,768,1.5,30000,0.211392,15.2381,phase1
15,0,768,1.5,30000,0.185173,17.3958,phase1
16,0,768,1.5,30000,0.20222,15.9293,phase1
17,0,768,1.5,30000,0.184465,17.4625,phase1
18,0,768,1.5,30000,0.183057,17.5969,phase1
19,0,768,1.5,30000,0.197587,16.3028,phase1
20,1,768,1.5,30000,0.341621,9.4292,phase1
21,1,768,1.5,30000,0.190943,16.8701,phase1
22,1,768,1.5,30000,0.206931,15.5666,phase1
23,1,768,1.5,30000,0.189355,17.0115,phase1
24,1,768,1.5,30000,0.177559,18.1417,phase1
25,1,768,1.5,30000,0.203087,15.8613,phase1
26,1,768,1.5,30000,0.19503,16.5165,phase1
27,1,768,1.5,30000,0.197904,16.2767,phase1
28,1,768,1.5,30000,0.207708,15.5084,phase1
29,1,768,1.5,30000,0.19761,16.3009,phase1
30,1,768,1.5,30000,0.194737,16.5414,phase1
31,1,768,1.5,30000,0.176036,18.2986,phase1
32,1,768,1.5,30000,0.194434,16.5672,phase1
33,1,768,1.5,30000,0.197182,16.3363,phase1
34,1,768,1.5,30000,0.189905,16.9623,phase1
35,1,768,1.5,30000,0.188816,17.0602,phase1
36,1,768,1.5,30000,0.19039,16.9191,phase1
37,1,768,1.5,30000,0.180962,17.8005,phase1
38,1,768,1.5,30000,0.194085,16.597,phase1
39,1,768,1.5,30000,0.20322,15.8509,phase1
40,2,768,1.5,30000,0.19769,16.2944,phase1
41,2,768,1.5,30000,0.193619,16.6369,phase1
42,2,768,1.5,30000,0.194264,16.5816,phase1
43,2,768,1.5,30000,0.182697,17.6316,phase1
44,2,768,1.5,30000,0.197486,16.3112,phase1
45,2,768,1.5,30000,0.211775,15.2106,phase1
46,2,768,1.5,30000,0.193829,16.6189,phase1
47,2,768,1.5,30000,0.19484,16.5327,phase1
48,2,768,1.5,30000,0.191283,16.8401,phase1
49,2,768,1.5,30000,0.18952,16.9968,phase1
50,2,768,1.5,30000,0.194759,16.5395,phase1
51,2,768,1.5,30000,0.189989,16.9548,phase1
52,2,768,1.5,30000,0.197877,16.279,phase1
53,2,768,1.5,30000,0.193612,16.6375,phase1
54,2,768,1.5,30000,0.183133,17.5896,phase1
55,2,768,1.5,30000,0.193406,16.6553,phase1
56,2,768,1.5,30000,0.1931,16.6817,phase1
57,2,768,1.5,30000,0.20321,15.8517,phase1
58,2,768,1.5,30000,0.190309,16.9263,phase1
59,2,768,1.5,30000,0.219188,14.6962,phase1
60,3,768,1.5,30000,0.197766,16.2881,phase1
61,3,768,1.5,30000,0.180532,17.8429,phase1
62,3,768,1.5,30000,0.18116,17.7811,phase1
63,3,768,1.5,30000,0.189174,17.0279,phase1
64,3,768,1.5,30000,0.19644,16.398,phase1
65,3,768,1.5,30000,0.188933,17.0496,phase1
66,3,768,1.5,30000,0.184743,17.4362,phase1
67,3,768,1.5,30000,0.184755,17.4351,phase1
68,3,768,1.5,30000,0.190751,16.8871,phase1
69,3,768,1.5,30000,0.195366,16.4881,phase1
70,3,768,1.5,30000,0.189966,16.9568,phase1
71,3,768,1.5,30000,0.210158,15.3276,phase1
72,3,768,1.5,30000,0.199768,16.1248,phase1
73,3,768,1.5,30000,0.198206,16.2519,phase1
74,3,768,1.5,30000,0.197524,16.308,phase1
75,3,768,1.5,30000,0.188896,17.0529,phase1
76,3,768,1.5,30000,0.215772,14.9288,phase1
77,3,768,1.5,30000,0.189057,17.0384,phase1
78,3,768,1.5,30000,0.216859,14.854,phase1
79,3,768,1.5,30000,0.182014,17.6977,phase1
80,4,768,1.5,30000,0.211326,15.2429,phase1
81,4,768,1.5,30000,0.206505,15.5988,phase1
82,4,768,1.5,30000,0.194013,16.6032,phase1
83,4,768,1.5,30000,0.194516,16.5602,phase1
84,4,768,1.5,30000,0.215461,14.9504,phase1
85,4,768,1.5,30000,0.198354,16.2398,phase1
86,4,768,1.5,30000,0.21995,14.6453,phase1
87,4,768,1.5,30000,0.199426,16.1525,phase1
88,4,768,1.5,30000,0.195019,16.5175,phase1
89,4,768,1.5,30000,0.201787,15.9635,phase1
90,4,768,1.5,30000,0.195118,16.5092,phase1
91,4,768,1.5,30000,0.193539,16.6438,phase1
92,4,768,1.5,30000,0.221564,14.5386,phase1
93,4,768,1.5,30000,0.198598,16.2198,phase1
94,4,768,1.5,30000,0.193132,16.6789,phase1
95,4,768,1.5,30000,0.206855,15.5724,phase1
96,4,768,1.5,30000,0.194565,16.556,phase1
97,4,768,1.5,30000,0.199161,16.174,phase1
98,4,768,1.5,30000,0.207895,15.4945,phase1
99,4,768,1.5,30000,0.193961,16.6076,phase1
100,5,768,1.5,30000,0.19155,16.8167,phase1
101,5,768,1.5,30000,0.189784,16.9731,phase1
102,5,768,1.5,30000,0.207372,15.5336,phase1
103,5,768,1.5,30000,0.189406,17.007,phase1
104,5,768,1.5,30000,0.186654,17.2577,phase1
105,5,768,1.5,30000,0.193216,16.6717,phase1
106,5,768,1.5,30000,0.215021,14.981,phase1
107,5,768,1.5,30000,0.194281,16.5803,phase1
108,5,768,1.5,30000,0.184686,17.4416,phase1
109,5,768,1.5,30000,0.206175,15.6238,phase1
110,5,768,1.5,30000,0.206267,15.6167,phase1
111,5,768,1.5,30000,0.193165,16.6761,phase1
112,5,768,1.5,30000,0.206171,15.624,phase1
113,5,768,1.5,30000,0.197724,16.2915,phase1
