iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.4166,10.3096,phase1
1,0,1024,3.0,30000,0.289128,14.8549,phase1
2,0,1024,3.0,30000,0.301474,14.2465,phase1
3,0,1024,3.0,30000,0.284208,15.1121,phase1
4,0,1024,3.0,30000,0.301525,14.2441,phase1
5,0,1024,3.0,30000,0.288897,14.8668,phase1
6,0,1024,3.0,30000,0.284588,15.0919,phase1
7,0,1024,3.0,30000,0.30581,14.0446,phase1
8,0,1024,3.0,30000,0.297996,14.4129,phase1
9,0,1024,3.0,30000,0.304484,14.1057,phase1
10,0,1024,3.0,30000,0.29357,14.6301,phase1
11,0,1024,3.0,30000,0.293492,14.634,phase1
12,0,1024,3.0,30000,0.29454,14.582,phase1
13,0,1024,3.0,30000,0.294116,14.603,phase1
14,0,1024,3.0,30000,0.293955,14.6109,phase1
15,0,1024,3.0,30000,0.315766,13.6017,phase1
16,0,1024,3.0,30000,0.293468,14.6352,phase1
17,0,1024,3.0,30000,0.284829,15.0791,phase1
18,0,1024,3.0,30000,0.283957,15.1254,phase1
19,0,1024,3.0,30000,0.293492,14.634,phase1
20,1,1024,3.0,30000,0.285966,15.0191,phase1
21,1,1024,3.0,30000,0.290024,14.809,phase1
22,1,1024,3.0,30000,0.302571,14.1949,phase1
23,1,1024,3.0,30000,0.312208,13.7568,phase1
24,1,1024,3.0,30000,0.297349,14.4442,phase1
25,1,1024,3.0,30000,0.318592,13.4811,phase1
26,1,1024,3.0,30000,0.314275,13.6663,phase1
27,1,1024,3.0,30000,0.281893,15.2361,phase1
28,1,1024,3.0,30000,0.293511,14.6331,phase1
29,1,1024,3.0,30000,0.302155,14.2145,phase1
30,1,1024,3.0,30000,0.298299,14.3982,phase1
31,1,1024,3.0,30000,0.288868,14.8683,phase1
32,1,1024,3.0,30000,0.284254,15.1096,phase1
33,1,1024,3.0,30000,0.29302,14.6576,phase1
34,1,1024,3.0,30000,0.344743,12.4585,phase1
35,1,1024,3.0,30000,0.298491,14.3889,phase1
36,1,1024,3.0,30000,0.294335,14.5921,phase1
37,1,1024,3.0,30000,0.297908,14.4171,phase1
38,1,1024,3.0,30000,0.293527,14.6323,phase1
39,1,1024,3.0,30000,0.284485,15.0973,phase1
40,2,1024,3.0,30000,0.281605,15.2517,phase1
41,2,1024,3.0,30000,0.301155,14.2617,phase1
42,2,1024,3.0,30000,0.318503,13.4848,phase1
43,2,1024,3.0,30000,0.307279,13.9774,phase1
44,2,1024,3.0,30000,0.294042,14.6066,phase1
45,2,1024,3.0,30000,0.297921,14.4165,phase1
46,2,1024,3.0,30000,0.285097,15.0649,phase1
47,2,1024,3.0,30000,0.285175,15.0608,phase1
48,2,1024,3.0,30000,0.276624,15.5264,phase1
49,2,1024,3.0,30000,0.28501,15.0695,phase1
50,2,1024,3.0,30000,0.289311,14.8455,phase1
51,2,1024,3.0,30000,0.29889,14.3697,phase1
52,2,1024,3.0,30000,0.284939,15.0733,phase1
53,2,1024,3.0,30000,0.294065,14.6055,phase1
54,2,1024,3.0,30000,0.28922,14.8502,phase1
55,2,1024,3.0,30000,0.294413,14.5882,phase1
56,2,1024,3.0,30000,0.293601,14.6286,phase1
57,2,1024,3.0,30000,0.285041,15.0679,phase1
58,2,1024,3.0,30000,0.293208,14.6482,phase1
59,2,1024,3.0,30000,0.3146,13.6521,phase1
60,3,1024,3.0,30000,0.297185,14.4522,phase1
61,3,1024,3.0,30000,0.302558,14.1955,phase1
62,3,1024,3.0,30000,0.311306,13.7966,phase1
63,3,1024,3.0,30000,0.314122,13.6729,phase1
64,3,1024,3.0,30000,0.288729,14.8754,phase1
65,3,1024,3.0,30000,0.293168,14.6502,phase1
66,3,1024,3.0,30000,0.311832,13.7733,phase1
67,3,1024,3.0,30000,0.315787,13.6009,phase1
68,3,1024,3.0,30000,0.30657,14.0097,phase1
69,3,1024,3.0,30000,0.301425,14.2489,phase1
70,3,1024,3.0,30000,0.288431,14.8908,phase1
71,3,1024,3.0,30000,0.305936,14.0388,phase1
72,3,1024,3.0,30000,0.288877,14.8678,phase1
73,3,1024,3.0,30000,0.298451,14.3909,phase1
74,3,1024,3.0,30000,0.311245,13.7993,phase1
75,3,1024,3.0,30000,0.302218,14.2115,phase1
76,3,1024,3.0,30000,0.316243,13.5812,phase1
77,3,1024,3.0,30000,0.288462,14.8892,phase1
78,3,1024,3.0,30000,0.284563,15.0932,phase1
79,3,1024,3.0,30000,0.289166,14.853,phase1
80,4,1024,3.0,30000,0.285667,15.0349,phase1
81,4,1024,3.0,30000,0.284623,15.09,phase1
82,4,1024,3.0,30000,0.307297,13.9766,phase1
83,4,1024,3.0,30000,0.29737,14.4432,phase1
84,4,1024,3.0,30000,0.297235,14.4497,phase1
85,4,1024,3.0,30000,0.299045,14.3623,phase1
86,4,1024,3.0,30000,0.297206,14.4512,phase1
87,4,1024,3.0,30000,0.293152,14.651,phase1
88,4,1024,3.0,30000,0.284495,15.0968,phase1
89,4,1024,3.0,30000,0.297428,14.4404,phase1
90,4,1024,3.0,30000,0.306081,14.0321,phase1
91,4,1024,3.0,30000,0.285711,15.0326,phase1
92,4,1024,3.0,30000,0.301835,14.2295,phase1
93,4,1024,3.0,30000,0.323484,13.2772,phase1
94,4,1024,3.0,30000,0.299968,14.3181,phase1
95,4,1024,3.0,30000,0.325797,13.183,phase1
96,4,1024,3.0,30000,0.301302,14.2547,phase1
97,4,1024,3.0,30000,0.305642,14.0523,phase1
98,4,1024,3.0,30000,0.306031,14.0344,phase1
99,4,1024,3.0,30000,0.310023,13.8537,phase1
100,5,1024,3.0,30000,0.301227,14.2583,phase1
101,5,1024,3.0,30000,0.292983,14.6594,phase1
102,5,1024,3.0,30000,0.304058,14.1255,phase1
103,5,1024,3.0,30000,0.314484,13.6572,phase1
104,5,1024,3.0,30000,0.297921,14.4165,phase1
105,5,1024,3.0,30000,0.284993,15.0704,phase1
106,5,1024,3.0,30000,0.310096,13.8504,phase1
107,5,1024,3.0,30000,0.302225,14.2112,phase1
108,5,1024,3.0,30000,0.294065,14.6055,phase1
109,5,1024,3.0,30000,0.30243,14.2015,phase1
110,5,1024,3.0,30000,0.309911,13.8587,phase1
111,5,1024,3.0,30000,0.292941,14.6615,phase1
112,5,1024,3.0,30000,0.288702,14.8768,phase1
113,5,1024,3.0,30000,0.3027,14.1888,phase1
114,5,1024,3.0,30000,0.284381,15.1028,phase1
115,5,1024,3.0,30000,0.293915,14.6129,phase1
116,5,1024,3.0,30000,0.293405,14.6384,phase1
117,5,1024,3.0,30000,0.30143,14.2486,phase1
118,5,1024,3.0,30000,0.288391,14.8928,phase1
119,5,1024,3.0,30000,0.290392,14.7903,phase1
120,6,1024,3.0,30000,0.285656,15.0355,phase1
121,6,1024,3.0,30000,0.281652,15.2492,phase1
122,6,1024,3.0,30000,0.301529,14.244,phase1
123,6,1024,3.0,30000,0.281001,15.2845,phase1
124,6,1024,3.0,30000,0.310019,13.8539,phase1
125,6,1024,3.0,30000,0.318433,13.4878,phase1
126,6,1024,3.0,30000,0.314518,13.6557,phase1
127,6,1024,3.0,30000,0.310516,13.8317,phase1
128,6,1024,3.0,30000,0.302111,14.2165,phase1
129,6,1024,3.0,30000,0.307401,13.9719,phase1
130,6,1024,3.0,30000,0.304542,14.103,phase1
131,6,1024,3.0,30000,0.306564,14.01,phase1
132,6,1024,3.0,30000,0.297547,14.4346,phase1
133,6,1024,3.0,30000,0.297366,14.4434,phase1
134,6,1024,3.0,30000,0.288734,14.8752,phase1
135,6,1024,3.0,30000,0.28141,15.2623,phase1
136,6,1024,3.0,30000,0.302104,14.2168,phase1
137,6,1024,3.0,30000,0.280851,15.2927,phase1
138,6,1024,3.0,30000,0.303421,14.1551,phase1
139,6,1024,3.0,30000,0.298434,14.3917,phase1
140,7,1024,1.2,30000,0.294547,14.5816,phase2
141,7,1024,1.2,30000,0.280255,15.3252,phase2
142,7,1024,1.2,30000,0.290538,14.7828,phase2
143,7,1024,1.2,30000,0.296969,14.4627,phase2
144,7,1024,1.2,30000,0.293049,14.6562,phase2
145,7,1024,1.2,30000,0.316342,13.577,phase2
146,7,1024,1.2,30000,0.297063,14.4581,phase2
147,7,1024,1.2,30000,0.305986,14.0365,phase2
148,7,1024,1.2,30000,0.288603,14.8819,phase2
149,7,1024,1.2,30000,0.280552,15.309,phase2
150,7,1024,1.2,30000,0.288684,14.8778,phase2
151,7,1024,1.2,30000,0.290029,14.8088,phase2
152,7,1024,1.2,30000,0.284553,15.0937,phase2
153,7,1024,1.2,30000,0.292705,14.6734,phase2
154,7,1024,1.2,30000,0.288601,14.882,phase2
155,7,1024,1.2,30000,0.298044,14.4105,phase2
156,7,1024,1.2,30000,0.293839,14.6167,phase2
157,7,1024,1.2,30000,0.30237,14.2043,phase2
158,7,1024,1.2,30000,0.30583,14.0436,phase2
159,7,1024,1.2,30000,0.310339,13.8396,phase2
160,8,1024,1.2,30000,0.30735,13.9742,phase2
161,8,1024,1.2,30000,0.307234,13.9795,phase2
162,8,1024,1.2,30000,0.298082,14.4087,phase2
163,8,1024,1.2,30000,0.306007,14.0355,phase2
164,8,1024,1.2,30000,0.289913,14.8147,phase2
165,8,1024,1.2,30000,0.310493,13.8327,phase2
166,8,1024,1.2,30000,0.293928,14.6123,phase2
167,8,1024,1.2,30000,0.285554,15.0408,phase2
168,8,1024,1.2,30000,0.302023,14.2206,phase2
169,8,1024,1.2,30000,0.289503,14.8357,phase2
170,8,1024,1.2,30000,0.284191,15.113,phase2
171,8,1024,1.2,30000,0.276349,15.5418,phase2
172,8,1024,1.2,30000,0.310027,13.8535,phase2
173,8,1024,1.2,30000,0.306327,14.0209,phase2
174,8,1024,1.2,30000,0.310961,13.8119,phase2
175,8,1024,1.2,30000,0.306034,14.0343,phase2
176,8,1024,1.2,30000,0.288481,14.8882,phase2
177,8,1024,1.2,30000,0.271734,15.8058,phase2
178,8,1024,1.2,30000,0.267176,16.0754,phase2
179,8,1024,1.2,30000,0.301532,14.2438,phase2
180,9,1024,1.2,30000,0.290032,14.8086,phase2
181,9,1024,1.2,30000,0.29891,14.3688,phase2
182,9,1024,1.2,30000,0.289451,14.8383,phase2
183,9,1024,1.2,30000,0.289956,14.8125,phase2
184,9,1024,1.2,30000,0.293086,14.6543,phase2
185,9,1024,1.2,30000,0.306027,14.0346,phase2
186,9,1024,1.2,30000,0.28635,14.999,phase2
187,9,1024,1.2,30000,0.281496,15.2577,phase2
188,9,1024,1.2,30000,0.30184,14.2293,phase2
189,9,1024,1.2,30000,0.323545,13.2747,phase2
190,9,1024,1.2,30000,0.305969,14.0372,phase2
191,9,1024,1.2,30000,0.298175,14.4042,phase2
192,9,1024,1.2,30000,0.280393,15.3177,phase2
193,9,1024,1.2,30000,0.284271,15.1087,phase2
194,9,1024,1.2,30000,0.284759,15.0828,phase2
195,9,1024,1.2,30000,0.284441,15.0997,phase2
196,9,1024,1.2,30000,0.280332,15.321,phase2
197,9,1024,1.2,30000,0.290023,14.8091,phase2
198,9,1024,1.2,30000,0.280987,15.2853,phase2
199,9,1024,1.2,30000,0.307339,13.9747,phase2
200,10,1024,1.2,30000,0.280135,15.3318,phase2
201,10,1024,1.2,30000,0.276811,15.5159,phase2
202,10,1024,1.2,30000,0.294339,14.5919,phase2
203,10,1024,1.2,30000,0.28389,15.129,phase2
204,10,1024,1.2,30000,0.305776,14.0461,phase2
205,10,1024,1.2,30000,0.310253,13.8434,phase2
206,10,1024,1.2,30000,0.306704,14.0036,phase2
207,10,1024,1.2,30000,0.293778,14.6198,phase2
208,10,1024,1.2,30000,0.303245,14.1634,phase2
209,10,1024,1.2,30000,0.293471,14.6351,phase2
210,10,1024,1.2,30000,0.28475,15.0833,phase2
211,10,1024,1.2,30000,0.276577,15.529,phase2
212,10,1024,1.2,30000,0.288903,14.8665,phase2
213,10,1024,1.2,30000,0.28963,14.8291,phase2
214,10,1024,1.2,30000,0.311346,13.7949,phase2
215,10,1024,1.2,30000,0.29286,14.6656,phase2
216,10,1024,1.2,30000,0.3089,13.9041,phase2
217,10,1024,1.2,30000,0.284415,15.1011,phase2
218,10,1024,1.2,30000,0.289417,14.8401,phase2
219,10,1024,1.2,30000,0.28957,14.8322,phase2
220,11,1024,1.2,30000,0.288928,14.8652,phase2
221,11,1024,1.2,30000,0.298969,14.3659,phase2
222,11,1024,1.2,30000,0.302275,14.2088,phase2
223,11,1024,1.2,30000,0.289124,14.8551,phase2
224,11,1024,1.2,30000,0.297409,14.4413,phase2
225,11,1024,1.2,30000,0.29755,14.4344,phase2
226,11,1024,1.2,30000,0.301302,14.2547,phase2
227,11,1024,1.2,30000,0.29726,14.4485,phase2
228,11,1024,1.2,30000,0.289326,14.8447,phase2
229,11,1024,1.2,30000,0.280507,15.3114,phase2
230,11,1024,1.2,30000,0.293958,14.6108,phase2
231,11,1024,1.2,30000,0.305645,14.0521,phase2
232,11,1024,1.2,30000,0.297038,14.4593,phase2
233,11,1024,1.2,30000,0.289177,14.8524,phase2
234,11,1024,1.2,30000,0.289877,14.8165,phase2
235,11,1024,1.2,30000,0.276653,15.5247,phase2
236,11,1024,1.2,30000,0.297027,14.4598,phase2
237,11,1024,1.2,30000,0.277659,15.4685,phase2
238,11,1024,1.2,30000,0.28871,14.8764,phase2
239,11,1024,1.2,30000,0.289029,14.86,phase2
240,12,1024,1.2,30000,0.177919,24.1401,phase2
241,12,1024,1.2,30000,0.148956,28.8339,phase2
242,12,1024,1.2,30000,0.147646,29.0897,phase2
243,12,1024,1.2,30000,0.14694,29.2293,phase2
244,12,1024,1.2,30000,0.143769,29.8742,phase2
245,12,1024,1.2,30000,0.150636,28.5122,phase2
246,12,1024,1.2,30000,0.151383,28.3716,phase2
247,12,1024,1.2,30000,0.153626,27.9573,phase2
248,12,1024,1.2,30000,0.150661,28.5074,phase2
249,12,1024,1.2,30000,0.168713,25.4573,phase2
250,12,1024,1.2,30000,0.143778,29.8722,phase2
251,12,1024,1.2,30000,0.15718,27.3252,phase2
252,12,1024,1.2,30000,0.159369,26.9498,phase2
253,12,1024,1.2,30000,0.144485,29.7261,phase2
254,12,1024,1.2,30000,0.158715,27.0608,phase2
255,12,1024,1.2,30000,0.162448,26.4391,phase2
256,12,1024,1.2,30000,0.148241,28.9729,phase2
257,12,1024,1.2,30000,0.139347,30.8221,phase2
258,12,1024,1.2,30000,0.149856,28.6606,phase2
259,12,1024,1.2,30000,0.158564,27.0866,phase2
260,13,1024,1.2,30000,0.157275,27.3086,phase2
261,13,1024,1.2,30000,0.145404,29.5382,phase2
262,13,1024,1.2,30000,0.151309,28.3854,phase2
263,13,1024,1.2,30000,0.160244,26.8026,phase2
264,13,1024,1.2,30000,0.146217,29.374,phase2
265,13,1024,1.2,30000,0.152059,28.2453,phase2
266,13,1024,1.2,30000,0.160435,26.7707,phase2
267,13,1024,1.2,30000,0.155706,27.5838,phase2
268,13,1024,1.2,30000,0.150207,28.5936,phase2
269,13,1024,1.2,30000,0.152765,28.1148,phase2
270,13,1024,1.2,30000,0.148026,29.0149,phase2
271,13,1024,1.2,30000,0.149768,28.6776,phase2
272,13,1024,1.2,30000,0.147395,29.1392,phase2
273,13,1024,1.2,30000,0.154849,27.7364,phase2
274,13,1024,1.2,30000,0.150444,28.5485,phase2
275,13,1024,1.2,30000,0.150156,28.6033,phase2
276,13,1024,1.2,30000,0.165407,25.9661,phase2
277,13,1024,1.2,30000,0.15238,28.1858,phase2
278,13,1024,1.2,30000,0.152171,28.2246,phase2
279,13,1024,1.2,30000,0.157992,27.1847,phase2
280,14,1024,1.2,30000,0.152712,28.1246,phase2
281,14,1024,1.2,30000,0.152691,28.1284,phase2
282,14,1024,1.2,30000,0.148797,28.8646,phase2
283,14,1024,1.2,30000,0.151609,28.3292,phase2
284,14,1024,1.2,30000,0.157164,27.3279,phase2
285,14,1024,1.2,30000,0.165785,25.9068,phase2
286,14,1024,1.2,30000,0.150701,28.5,phase2
287,14,1024,1.2,30000,0.153997,27.8899,phase2
288,14,1024,1.2,30000,0.150185,28.5979,phase2
289,14,1024,1.2,30000,0.15139,28.3703,phase2
290,14,1024,1.2,30000,0.143892,29.8485,phase2
291,14,1024,1.2,30000,0.149315,28.7645,phase2
292,14,1024,1.2,30000,0.146573,29.3026,phase2
293,14,1024,1.2,30000,0.149575,28.7145,phase2
294,14,1024,1.2,30000,0.148493,28.9237,phase2
295,14,1024,1.2,30000,0.159472,26.9324,phase2
296,14,1024,1.2,30000,0.144631,29.6961,phase2
297,14,1024,1.2,30000,0.139046,30.8887,phase2
298,14,1024,1.2,30000,0.14109,30.4412,phase2
299,14,1024,1.2,30000,0.152185,28.2221,phase2
