window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,1.238159,3.4779,1.117266,3,16,2.1137,3905.163
1,phase1,1024,3.0,30000,1.241751,3.4693,1.120297,3,16,2.1198,3905.163
2,phase1,1024,3.0,30000,1.217014,3.5319,1.107258,3,16,2.0776,3905.163
3,phase1,1024,3.0,30000,1.277841,3.3775,1.126706,3,16,2.1815,3905.163
4,phase1,1024,3.0,30000,1.222127,3.5178,1.119359,3,16,2.0863,3905.163
5,phase1,1024,3.0,30000,1.252025,3.4378,1.122964,3,16,2.1374,3905.163
6,phase1,1024,3.0,30000,1.253589,3.4339,1.125922,3,16,2.1401,3905.163
7,phase2,1024,1.2,30000,1.207232,3.5609,4.295598,3,16,5.1523,3905.163
8,phase2,1024,1.2,30000,1.227837,3.5058,4.290459,3,16,5.2402,3905.163
9,phase2,1024,1.2,30000,1.215005,3.5377,4.280854,3,16,5.1855,3905.163
10,phase2,1024,1.2,30000,1.260203,3.4234,4.290457,3,16,5.3784,3905.163
11,phase2,1024,1.2,30000,1.227234,3.5088,4.286786,3,16,5.2377,3905.163
12,phase2,1024,1.2,30000,1.241049,3.4671,4.288224,3,16,5.2966,3905.163
13,phase2,1024,1.2,30000,1.230616,3.4966,4.286284,3,16,5.2521,3905.163
14,phase2,1024,1.2,30000,0.708615,6.3353,4.135605,3,16,3.0243,3905.163
