iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.42476,10.1115,phase1
1,0,1024,3.0,30000,0.298503,14.3884,phase1
2,0,1024,3.0,30000,0.284388,15.1025,phase1
3,0,1024,3.0,30000,0.280019,15.3381,phase1
4,0,1024,3.0,30000,0.303312,14.1603,phase1
5,0,1024,3.0,30000,0.314753,13.6455,phase1
6,0,1024,3.0,30000,0.284209,15.112,phase1
7,0,1024,3.0,30000,0.294529,14.5825,phase1
8,0,1024,3.0,30000,0.309801,13.8637,phase1
9,0,1024,3.0,30000,0.314314,13.6646,phase1
10,0,1024,3.0,30000,0.297248,14.4491,phase1
11,0,1024,3.0,30000,0.310075,13.8514,phase1
12,0,1024,3.0,30000,0.297392,14.4421,phase1
13,0,1024,3.0,30000,0.293728,14.6222,phase1
14,0,1024,3.0,30000,0.288218,14.9018,phase1
15,0,1024,3.0,30000,0.293175,14.6499,phase1
16,0,1024,3.0,30000,0.318614,13.4802,phase1
17,0,1024,3.0,30000,0.293023,14.6575,phase1
18,0,1024,3.0,30000,0.298662,14.3807,phase1
19,0,1024,3.0,30000,0.289346,14.8437,phase1
20,1,1024,3.0,30000,0.455492,9.4293,phase1
21,1,1024,3.0,30000,0.303795,14.1377,phase1
22,1,1024,3.0,30000,0.312942,13.7245,phase1
23,1,1024,3.0,30000,0.298326,14.3969,phase1
24,1,1024,3.0,30000,0.288612,14.8815,phase1
25,1,1024,3.0,30000,0.314033,13.6768,phase1
26,1,1024,3.0,30000,0.314743,13.6459,phase1
27,1,1024,3.0,30000,0.297459,14.4388,phase1
28,1,1024,3.0,30000,0.32375,13.2663,phase1
29,1,1024,3.0,30000,0.311093,13.8061,phase1
30,1,1024,3.0,30000,0.315401,13.6175,phase1
31,1,1024,3.0,30000,0.296854,14.4683,phase1
32,1,1024,3.0,30000,0.299896,14.3215,phase1
33,1,1024,3.0,30000,0.29329,14.6441,phase1
34,1,1024,3.0,30000,0.297596,14.4322,phase1
35,1,1024,3.0,30000,0.297176,14.4526,phase1
