window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,1.835188,2.3854,2.136543,6,8,3.1329,3905.163
1,phase1,1024,3.0,30000,1.325301,3.2514,1.701277,6,8,2.2625,3905.163
2,phase1,1024,3.0,30000,1.318247,3.2637,1.552189,6,8,2.2504,3905.163
3,phase1,1024,3.0,30000,1.319524,3.2596,1.478199,6,8,2.2526,3905.163
4,phase1,1024,3.0,30000,1.325953,3.2438,1.435999,6,8,2.2636,3905.163
5,phase1,1024,3.0,30000,1.327075,3.2411,1.408186,6,8,2.2655,3905.163
6,phase1,1024,3.0,30000,1.325434,3.2468,1.387918,6,8,2.2627,3905.163
7,phase2,1024,1.2,30000,1.320805,3.2597,4.929304,6,8,5.637,3905.163
8,phase2,1024,1.2,30000,1.326991,3.2473,4.900767,6,8,5.6634,3905.163
9,phase2,1024,1.2,30000,1.318302,3.2612,4.874233,6,8,5.6263,3905.163
10,phase2,1024,1.2,30000,1.33769,3.2154,4.860037,6,8,5.7091,3905.163
11,phase2,1024,1.2,30000,1.320837,3.2568,4.842222,6,8,5.6371,3905.163
12,phase2,1024,1.2,30000,1.200751,3.7673,4.787591,6,8,5.1246,3905.163
13,phase2,1024,1.2,30000,0.776866,5.5342,4.611054,6,8,3.3156,3905.163
14,phase2,1024,1.2,30000,0.772425,5.5682,4.456795,6,8,3.2966,3905.163
