iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.428301,10.0279,phase1
1,0,1024,3.0,30000,0.3238,13.2643,phase1
2,0,1024,3.0,30000,0.318914,13.4675,phase1
3,0,1024,3.0,30000,0.30524,14.0708,phase1
4,0,1024,3.0,30000,0.310712,13.823,phase1
5,0,1024,3.0,30000,0.307129,13.9842,phase1
6,0,1024,3.0,30000,0.327169,13.1277,phase1
7,0,1024,3.0,30000,0.323661,13.2699,phase1
8,0,1024,3.0,30000,0.339977,12.6331,phase1
9,0,1024,3.0,30000,0.324705,13.2273,phase1
10,0,1024,3.0,30000,0.315018,13.6341,phase1
11,0,1024,3.0,30000,0.341187,12.5883,phase1
12,0,1024,3.0,30000,0.310318,13.8405,phase1
13,0,1024,3.0,30000,0.305787,14.0456,phase1
14,0,1024,3.0,30000,0.306923,13.9936,phase1
15,0,1024,3.0,30000,0.293828,14.6173,phase1
16,0,1024,3.0,30000,0.323873,13.2613,phase1
17,0,1024,3.0,30000,0.320066,13.419,phase1
18,0,1024,3.0,30000,0.298303,14.398,phase1
19,0,1024,3.0,30000,0.297528,14.4355,phase1
20,1,1024,3.0,30000,0.310397,13.837,phase1
21,1,1024,3.0,30000,0.301943,14.2244,phase1
22,1,1024,3.0,30000,0.311502,13.7879,phase1
23,1,1024,3.0,30000,0.301887,14.2271,phase1
24,1,1024,3.0,30000,0.318746,13.4746,phase1
25,1,1024,3.0,30000,0.323921,13.2593,phase1
26,1,1024,3.0,30000,0.32712,13.1297,phase1
27,1,1024,3.0,30000,0.327048,13.1325,phase1
28,1,1024,3.0,30000,0.319951,13.4238,phase1
29,1,1024,3.0,30000,0.307013,13.9895,phase1
30,1,1024,3.0,30000,0.328669,13.0678,phase1
31,1,1024,3.0,30000,0.324559,13.2332,phase1
32,1,1024,3.0,30000,0.31837,13.4905,phase1
33,1,1024,3.0,30000,0.294332,14.5923,phase1
34,1,1024,3.0,30000,0.327225,13.1254,phase1
35,1,1024,3.0,30000,0.316605,13.5657,phase1
36,1,1024,3.0,30000,0.337118,12.7402,phase1
37,1,1024,3.0,30000,0.32782,13.1016,phase1
38,1,1024,3.0,30000,0.328566,13.0718,phase1
39,1,1024,3.0,30000,0.329976,13.016,phase1
40,2,1024,3.0,30000,0.337048,12.7429,phase1
41,2,1024,3.0,30000,0.297127,14.455,phase1
42,2,1024,3.0,30000,0.332924,12.9008,phase1
43,2,1024,3.0,30000,0.315461,13.6149,phase1
44,2,1024,3.0,30000,0.318916,13.4674,phase1
45,2,1024,3.0,30000,0.318221,13.4968,phase1
46,2,1024,3.0,30000,0.310236,13.8442,phase1
47,2,1024,3.0,30000,0.311323,13.7959,phase1
48,2,1024,3.0,30000,0.327606,13.1102,phase1
49,2,1024,3.0,30000,0.301301,14.2547,phase1
50,2,1024,3.0,30000,0.314511,13.656,phase1
51,2,1024,3.0,30000,0.340466,12.6149,phase1
52,2,1024,3.0,30000,0.310134,13.8487,phase1
53,2,1024,3.0,30000,0.318566,13.4822,phase1
54,2,1024,3.0,30000,0.337528,12.7248,phase1
55,2,1024,3.0,30000,0.315238,13.6245,phase1
56,2,1024,3.0,30000,0.301461,14.2472,phase1
57,2,1024,3.0,30000,0.318534,13.4836,phase1
58,2,1024,3.0,30000,0.311166,13.8028,phase1
59,2,1024,3.0,30000,0.332587,12.9138,phase1
60,3,1024,3.0,30000,0.309679,13.8691,phase1
61,3,1024,3.0,30000,0.323962,13.2576,phase1
62,3,1024,3.0,30000,0.303138,14.1684,phase1
63,3,1024,3.0,30000,0.305887,14.041,phase1
64,3,1024,3.0,30000,0.315915,13.5953,phase1
65,3,1024,3.0,30000,0.332751,12.9075,phase1
66,3,1024,3.0,30000,0.357279,12.0213,phase1
67,3,1024,3.0,30000,0.318786,13.4729,phase1
68,3,1024,3.0,30000,0.315692,13.6049,phase1
69,3,1024,3.0,30000,0.314989,13.6353,phase1
70,3,1024,3.0,30000,0.324288,13.2443,phase1
71,3,1024,3.0,30000,0.315285,13.6225,phase1
72,3,1024,3.0,30000,0.332852,12.9035,phase1
73,3,1024,3.0,30000,0.319625,13.4375,phase1
74,3,1024,3.0,30000,0.305742,14.0477,phase1
75,3,1024,3.0,30000,0.302749,14.1866,phase1
76,3,1024,3.0,30000,0.345624,12.4267,phase1
77,3,1024,3.0,30000,0.302335,14.206,phase1
78,3,1024,3.0,30000,0.311212,13.8008,phase1
79,3,1024,3.0,30000,0.315247,13.6241,phase1
80,4,1024,3.0,30000,0.321026,13.3789,phase1
81,4,1024,3.0,30000,0.292765,14.6704,phase1
82,4,1024,3.0,30000,0.309962,13.8565,phase1
83,4,1024,3.0,30000,0.323972,13.2572,phase1
84,4,1024,3.0,30000,0.340073,12.6296,phase1
85,4,1024,3.0,30000,0.337526,12.7249,phase1
86,4,1024,3.0,30000,0.314131,13.6725,phase1
87,4,1024,3.0,30000,0.316393,13.5748,phase1
88,4,1024,3.0,30000,0.320435,13.4035,phase1
89,4,1024,3.0,30000,0.32856,13.0721,phase1
90,4,1024,3.0,30000,0.319685,13.435,phase1
91,4,1024,3.0,30000,0.332421,12.9202,phase1
92,4,1024,3.0,30000,0.30592,14.0395,phase1
93,4,1024,3.0,30000,0.30554,14.057,phase1
94,4,1024,3.0,30000,0.306715,14.0031,phase1
95,4,1024,3.0,30000,0.320194,13.4137,phase1
96,4,1024,3.0,30000,0.310328,13.8401,phase1
97,4,1024,3.0,30000,0.31971,13.4339,phase1
98,4,1024,3.0,30000,0.328936,13.0571,phase1
99,4,1024,3.0,30000,0.3319,12.9406,phase1
100,5,1024,3.0,30000,0.318943,13.4662,phase1
101,5,1024,3.0,30000,0.337612,12.7216,phase1
102,5,1024,3.0,30000,0.318868,13.4694,phase1
103,5,1024,3.0,30000,0.315483,13.614,phase1
104,5,1024,3.0,30000,0.315478,13.6142,phase1
105,5,1024,3.0,30000,0.333823,12.866,phase1
106,5,1024,3.0,30000,0.315952,13.5937,phase1
107,5,1024,3.0,30000,0.318782,13.473,phase1
108,5,1024,3.0,30000,0.314706,13.6476,phase1
109,5,1024,3.0,30000,0.314227,13.6684,phase1
110,5,1024,3.0,30000,0.31531,13.6214,phase1
111,5,1024,3.0,30000,0.319035,13.4624,phase1
112,5,1024,3.0,30000,0.305956,14.0379,phase1
113,5,1024,3.0,30000,0.311066,13.8072,phase1
114,5,1024,3.0,30000,0.310597,13.8281,phase1
115,5,1024,3.0,30000,0.323407,13.2804,phase1
116,5,1024,3.0,30000,0.309956,13.8567,phase1
117,5,1024,3.0,30000,0.31025,13.8436,phase1
118,5,1024,3.0,30000,0.316062,13.589,phase1
119,5,1024,3.0,30000,0.311406,13.7922,phase1
120,6,1024,3.0,30000,0.310885,13.8153,phase1
121,6,1024,3.0,30000,0.324653,13.2294,phase1
122,6,1024,3.0,30000,0.318772,13.4735,phase1
123,6,1024,3.0,30000,0.324902,13.2193,phase1
124,6,1024,3.0,30000,0.29299,14.6591,phase1
125,6,1024,3.0,30000,0.319728,13.4332,phase1
126,6,1024,3.0,30000,0.319634,13.4372,phase1
127,6,1024,3.0,30000,0.307423,13.9709,phase1
128,6,1024,3.0,30000,0.32696,13.1361,phase1
129,6,1024,3.0,30000,0.302991,14.1752,phase1
130,6,1024,3.0,30000,0.318594,13.481,phase1
131,6,1024,3.0,30000,0.33196,12.9382,phase1
132,6,1024,3.0,30000,0.323984,13.2567,phase1
133,6,1024,3.0,30000,0.324457,13.2374,phase1
134,6,1024,3.0,30000,0.309973,13.8559,phase1
135,6,1024,3.0,30000,0.305781,14.0459,phase1
136,6,1024,3.0,30000,0.327857,13.1001,phase1
137,6,1024,3.0,30000,0.319963,13.4233,phase1
138,6,1024,3.0,30000,0.307549,13.9652,phase1
139,6,1024,3.0,30000,0.314598,13.6523,phase1
140,7,1024,1.2,30000,0.32115,13.3737,phase2
141,7,1024,1.2,30000,0.32537,13.2002,phase2
142,7,1024,1.2,30000,0.306635,14.0068,phase2
143,7,1024,1.2,30000,0.306736,14.0022,phase2
144,7,1024,1.2,30000,0.324858,13.2211,phase2
145,7,1024,1.2,30000,0.310216,13.8451,phase2
146,7,1024,1.2,30000,0.318517,13.4843,phase2
147,7,1024,1.2,30000,0.298988,14.365,phase2
148,7,1024,1.2,30000,0.320993,13.3803,phase2
149,7,1024,1.2,30000,0.307001,13.9901,phase2
150,7,1024,1.2,30000,0.327218,13.1257,phase2
151,7,1024,1.2,30000,0.314334,13.6637,phase2
152,7,1024,1.2,30000,0.328803,13.0624,phase2
153,7,1024,1.2,30000,0.321054,13.3777,phase2
154,7,1024,1.2,30000,0.311583,13.7843,phase2
155,7,1024,1.2,30000,0.309763,13.8653,phase2
156,7,1024,1.2,30000,0.315254,13.6238,phase2
157,7,1024,1.2,30000,0.320266,13.4106,phase2
158,7,1024,1.2,30000,0.309792,13.864,phase2
159,7,1024,1.2,30000,0.315326,13.6207,phase2
160,8,1024,1.2,30000,0.307478,13.9684,phase2
161,8,1024,1.2,30000,0.319548,13.4408,phase2
162,8,1024,1.2,30000,0.333362,12.8838,phase2
163,8,1024,1.2,30000,0.315953,13.5937,phase2
164,8,1024,1.2,30000,0.328524,13.0735,phase2
165,8,1024,1.2,30000,0.323869,13.2614,phase2
166,8,1024,1.2,30000,0.315656,13.6065,phase2
