mode,job,epoch,phase,payload_mb,c_i,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown_correct,slo_met,t_target_ms
crux,A,0,phase1,512,1.6,0.088589,25.419,-0.262922,3,24,0.736,YES,1504.513
crux,A,1,phase1,512,1.6,0.089744,24.3605,-0.258378,3,24,0.7456,YES,1504.513
crux,A,2,phase1,512,1.6,0.087295,25.1841,-0.263639,3,24,0.7253,YES,1504.513
crux,A,3,phase1,512,1.6,0.091145,23.8566,-0.258269,3,24,0.7573,YES,1504.513
crux,A,4,phase1,512,1.6,0.084857,25.8595,-0.26539,3,24,0.705,YES,1504.513
crux,A,5,phase1,512,1.6,0.088753,24.8116,-0.264745,3,24,0.7374,YES,1504.513
crux,A,6,phase1,512,1.6,0.167177,13.0055,-0.16884,3,24,1.389,NO,1504.513
crux,A,7,phase2,512,3.0,0.173947,12.4919,-0.514587,3,24,0.7708,YES,1504.513
crux,A,8,phase2,512,3.0,0.17005,12.7491,-0.483709,3,24,0.7535,YES,1504.513
crux,A,9,phase2,512,3.0,0.173662,12.4717,-0.457406,3,24,0.7695,YES,1504.513
crux,A,10,phase2,512,3.0,0.172303,12.6202,-0.436428,3,24,0.7635,YES,1504.513
crux,A,11,phase2,512,3.0,0.170718,12.6504,-0.41962,3,24,0.7565,YES,1504.513
crux,A,12,phase2,512,3.0,0.177168,12.2771,-0.403176,3,24,0.7851,YES,1504.513
crux,A,13,phase2,512,3.0,0.17021,12.7566,-0.391229,3,24,0.7542,YES,1504.513
crux,A,14,phase2,512,3.0,0.169632,12.8446,-0.381047,3,24,0.7517,YES,1504.513
longliu,A,0,phase1,512,1.6,0.080372,27.7831,-0.331382,2,16,0.6678,YES,1504.513
longliu,A,1,phase1,512,1.6,0.079667,28.7639,-0.334207,2,16,0.6619,YES,1504.513
longliu,A,2,phase1,512,1.6,0.074134,29.0854,-0.350589,2,16,0.6159,YES,1504.513
longliu,A,3,phase1,512,1.6,0.076699,28.2518,-0.353473,2,16,0.6372,YES,1504.513
longliu,A,4,phase1,512,1.6,0.072911,29.6571,-0.361485,2,16,0.6058,YES,1504.513
longliu,A,5,phase1,512,1.6,0.069133,31.2851,-0.371996,2,16,0.5744,YES,1504.513
longliu,A,6,phase1,512,1.6,0.07068,30.5422,-0.377668,2,16,0.5872,YES,1504.513
longliu,A,7,phase2,512,3.0,0.1008,21.6833,-0.652683,1,8,0.4467,YES,1504.513
longliu,A,8,phase2,512,3.0,0.124385,18.2366,-0.629043,1,8,0.5512,YES,1504.513
longliu,A,9,phase2,512,3.0,0.127244,16.9037,-0.608771,1,8,0.5638,YES,1504.513
longliu,A,10,phase2,512,3.0,0.130562,16.4832,-0.590849,1,8,0.5785,YES,1504.513
longliu,A,11,phase2,512,3.0,0.128476,16.7387,-0.576682,1,8,0.5693,YES,1504.513
longliu,A,12,phase2,512,3.0,0.127835,16.8243,-0.564913,1,8,0.5665,YES,1504.513
longliu,A,13,phase2,512,3.0,0.128041,16.7976,-0.554762,1,8,0.5674,YES,1504.513
longliu,A,14,phase2,512,3.0,0.128143,16.7886,-0.545934,1,8,0.5678,YES,1504.513
