epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.18361,23.9582,-0.270664,2,24,0.7284,4201.087
1,phase1,1024,1.2,30000,0.183193,23.9454,-0.271576,2,24,0.7268,4201.087
2,phase1,1024,1.2,30000,0.197368,22.7146,-0.252675,2,24,0.783,4201.087
3,phase1,1024,1.2,30000,0.299216,14.436,-0.140676,2,24,1.1871,4201.087
4,phase1,1024,1.2,30000,0.29826,14.4127,-0.074157,4,0,1.1833,4201.087
5,phase1,1024,1.2,30000,0.3121,13.898,-0.020651,4,0,1.2382,4201.087
6,phase1,1024,1.2,30000,0.306853,14.0118,0.01459,4,0,1.2174,4201.087
7,phase2,1024,3.0,30000,0.305675,14.0618,-0.583824,1,32,0.4851,4201.087
8,phase2,1024,3.0,30000,0.372513,11.6365,-0.564003,1,32,0.5911,4201.087
9,phase2,1024,3.0,30000,0.364192,11.8975,-0.549475,1,32,0.5779,4201.087
10,phase2,1024,3.0,30000,0.349275,12.3657,-0.53974,1,32,0.5543,4201.087
11,phase2,1024,3.0,30000,0.362046,11.8892,-0.529929,1,32,0.5745,4201.087
12,phase2,1024,3.0,30000,0.359749,11.9683,-0.521906,1,32,0.5709,4201.087
13,phase2,1024,3.0,30000,0.363599,11.8494,-0.514594,1,32,0.577,4201.087
14,phase2,1024,3.0,30000,0.368092,11.7108,-0.50778,1,32,0.5841,4201.087
