epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.184412,23.4999,-0.267483,2,24,0.7316,4201.087
1,phase1,1024,1.2,30000,0.183886,23.8601,-0.268682,2,24,0.7295,4201.087
2,phase1,1024,1.2,30000,0.174718,24.6491,-0.281122,2,24,0.6931,4201.087
3,phase1,1024,1.2,30000,0.291708,14.9374,-0.169437,2,24,1.1573,4201.087
4,phase1,1024,1.2,30000,0.29664,14.5895,-0.098526,4,0,1.1768,4201.087
5,phase1,1024,1.2,30000,0.317263,13.7014,-0.037548,4,0,1.2587,4201.087
6,phase1,1024,1.2,30000,0.317276,13.5615,0.00602,4,0,1.2587,4201.087
7,phase2,1024,3.0,30000,0.313509,13.733,-0.585268,1,32,0.4975,4201.087
8,phase2,1024,3.0,30000,0.376492,11.4821,-0.564611,1,32,0.5975,4201.087
9,phase2,1024,3.0,30000,0.374816,11.4851,-0.548322,1,32,0.5948,4201.087
10,phase2,1024,3.0,30000,0.36664,11.9155,-0.536203,1,32,0.5818,4201.087
11,phase2,1024,3.0,30000,0.376078,11.444,-0.524828,1,32,0.5968,4201.087
12,phase2,1024,3.0,30000,0.380683,11.2945,-0.514655,1,32,0.6041,4201.087
13,phase2,1024,3.0,30000,0.378153,11.3743,-0.50621,1,32,0.6001,4201.087
14,phase2,1024,3.0,30000,0.365972,11.7625,-0.500181,1,32,0.5808,4201.087
