iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.341029,12.5941,phase1
1,0,1024,1.2,30000,0.23482,18.2905,phase1
2,0,1024,1.2,30000,0.205077,20.9432,phase1
3,0,1024,1.2,30000,0.198931,21.5903,phase1
4,0,1024,1.2,30000,0.203447,21.111,phase1
5,0,1024,1.2,30000,0.194757,22.053,phase1
6,0,1024,1.2,30000,0.190707,22.5213,phase1
7,0,1024,1.2,30000,0.197684,21.7264,phase1
8,0,1024,1.2,30000,0.1831,23.4569,phase1
9,0,1024,1.2,30000,0.16805,25.5577,phase1
10,0,1024,1.2,30000,0.185924,23.1006,phase1
11,0,1024,1.2,30000,0.185486,23.1553,phase1
12,0,1024,1.2,30000,0.196222,21.8883,phase1
13,0,1024,1.2,30000,0.190279,22.572,phase1
14,0,1024,1.2,30000,0.204826,20.9689,phase1
15,0,1024,1.2,30000,0.176829,24.2888,phase1
16,0,1024,1.2,30000,0.190258,22.5745,phase1
17,0,1024,1.2,30000,0.163538,26.2628,phase1
18,0,1024,1.2,30000,0.175353,24.4933,phase1
19,0,1024,1.2,30000,0.190388,22.559,phase1
20,1,1024,1.2,30000,0.187256,22.9363,phase1
21,1,1024,1.2,30000,0.19568,21.949,phase1
22,1,1024,1.2,30000,0.196785,21.8257,phase1
23,1,1024,1.2,30000,0.186636,23.0125,phase1
24,1,1024,1.2,30000,0.186987,22.9693,phase1
25,1,1024,1.2,30000,0.179142,23.9753,phase1
26,1,1024,1.2,30000,0.185219,23.1886,phase1
27,1,1024,1.2,30000,0.19093,22.495,phase1
28,1,1024,1.2,30000,0.187013,22.9661,phase1
29,1,1024,1.2,30000,0.211143,20.3415,phase1
30,1,1024,1.2,30000,0.192997,22.254,phase1
31,1,1024,1.2,30000,0.192495,22.3121,phase1
32,1,1024,1.2,30000,0.169251,25.3763,phase1
33,1,1024,1.2,30000,0.190111,22.5919,phase1
34,1,1024,1.2,30000,0.189677,22.6436,phase1
35,1,1024,1.2,30000,0.195297,21.992,phase1
36,1,1024,1.2,30000,0.189217,22.6986,phase1
37,1,1024,1.2,30000,0.158931,27.0242,phase1
38,1,1024,1.2,30000,0.187989,22.8469,phase1
39,1,1024,1.2,30000,0.202016,21.2606,phase1
40,2,1024,1.2,30000,0.198794,21.6051,phase1
41,2,1024,1.2,30000,0.192369,22.3267,phase1
42,2,1024,1.2,30000,0.190704,22.5216,phase1
43,2,1024,1.2,30000,0.197653,21.7299,phase1
44,2,1024,1.2,30000,0.194145,22.1225,phase1
45,2,1024,1.2,30000,0.184146,23.3237,phase1
46,2,1024,1.2,30000,0.195936,21.9203,phase1
47,2,1024,1.2,30000,0.185172,23.1944,phase1
48,2,1024,1.2,30000,0.192453,22.317,phase1
49,2,1024,1.2,30000,0.180223,23.8313,phase1
50,2,1024,1.2,30000,0.187833,22.8659,phase1
51,2,1024,1.2,30000,0.186851,22.986,phase1
52,2,1024,1.2,30000,0.178635,24.0432,phase1
53,2,1024,1.2,30000,0.187991,22.8466,phase1
54,2,1024,1.2,30000,0.242795,17.6897,phase1
55,2,1024,1.2,30000,0.34278,12.5298,phase1
56,2,1024,1.2,30000,0.422236,10.172,phase1
