iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.404125,10.6278,phase1
1,0,1024,1.2,30000,0.215438,19.9359,phase1
2,0,1024,1.2,30000,0.200219,21.4514,phase1
3,0,1024,1.2,30000,0.215942,19.8894,phase1
4,0,1024,1.2,30000,0.199575,21.5206,phase1
5,0,1024,1.2,30000,0.213344,20.1317,phase1
6,0,1024,1.2,30000,0.192091,22.359,phase1
7,0,1024,1.2,30000,0.209832,20.4686,phase1
8,0,1024,1.2,30000,0.199853,21.4907,phase1
9,0,1024,1.2,30000,0.19061,22.5328,phase1
10,0,1024,1.2,30000,0.211124,20.3434,phase1
11,0,1024,1.2,30000,0.208787,20.571,phase1
12,0,1024,1.2,30000,0.178967,23.9986,phase1
13,0,1024,1.2,30000,0.206857,20.763,phase1
14,0,1024,1.2,30000,0.21206,20.2536,phase1
15,0,1024,1.2,30000,0.211913,20.2676,phase1
16,0,1024,1.2,30000,0.204971,20.954,phase1
17,0,1024,1.2,30000,0.20499,20.9521,phase1
18,0,1024,1.2,30000,0.208959,20.5541,phase1
19,0,1024,1.2,30000,0.21134,20.3225,phase1
20,1,1024,1.2,30000,0.357062,12.0286,phase1
21,1,1024,1.2,30000,0.151889,28.2769,phase1
22,1,1024,1.2,30000,0.161236,26.6378,phase1
23,1,1024,1.2,30000,0.184763,23.2458,phase1
24,1,1024,1.2,30000,0.179706,23.8999,phase1
25,1,1024,1.2,30000,0.195543,21.9643,phase1
26,1,1024,1.2,30000,0.157639,27.2456,phase1
27,1,1024,1.2,30000,0.168707,25.4582,phase1
28,1,1024,1.2,30000,0.158762,27.0528,phase1
29,1,1024,1.2,30000,0.187488,22.908,phase1
30,1,1024,1.2,30000,0.180065,23.8523,phase1
31,1,1024,1.2,30000,0.188977,22.7274,phase1
32,1,1024,1.2,30000,0.184489,23.2803,phase1
33,1,1024,1.2,30000,0.191817,22.391,phase1
34,1,1024,1.2,30000,0.184929,23.225,phase1
35,1,1024,1.2,30000,0.173379,24.7721,phase1
36,1,1024,1.2,30000,0.1653,25.9829,phase1
37,1,1024,1.2,30000,0.165192,25.9998,phase1
38,1,1024,1.2,30000,0.168546,25.4825,phase1
39,1,1024,1.2,30000,0.164007,26.1877,phase1
40,2,1024,1.2,30000,0.164046,26.1814,phase1
41,2,1024,1.2,30000,0.168949,25.4217,phase1
42,2,1024,1.2,30000,0.16868,25.4622,phase1
43,2,1024,1.2,30000,0.175138,24.5234,phase1
44,2,1024,1.2,30000,0.180955,23.735,phase1
45,2,1024,1.2,30000,0.176601,24.3202,phase1
46,2,1024,1.2,30000,0.191908,22.3803,phase1
47,2,1024,1.2,30000,0.194203,22.1159,phase1
48,2,1024,1.2,30000,0.176198,24.3758,phase1
49,2,1024,1.2,30000,0.180987,23.7308,phase1
50,2,1024,1.2,30000,0.181345,23.684,phase1
51,2,1024,1.2,30000,0.194655,22.0645,phase1
52,2,1024,1.2,30000,0.143149,30.0034,phase1
53,2,1024,1.2,30000,0.200059,21.4685,phase1
54,2,1024,1.2,30000,0.179037,23.9892,phase1
55,2,1024,1.2,30000,0.183964,23.3468,phase1
56,2,1024,1.2,30000,0.31736,13.5334,phase1
57,2,1024,1.2,30000,0.432618,9.9279,phase1
58,2,1024,1.2,30000,0.455258,9.4341,phase1
59,2,1024,1.2,30000,0.462901,9.2784,phase1
60,3,1024,1.2,30000,0.520015,8.2593,phase1
61,3,1024,1.2,30000,0.455998,9.4188,phase1
62,3,1024,1.2,30000,0.458611,9.3652,phase1
63,3,1024,1.2,30000,0.483347,8.8859,phase1
64,3,1024,1.2,30000,0.522777,8.2157,phase1
65,3,1024,1.2,30000,0.330212,13.0067,phase1
66,3,1024,1.2,30000,0.220759,19.4554,phase1
67,3,1024,1.2,30000,0.229216,18.7376,phase1
68,3,1024,1.2,30000,0.223251,19.2383,phase1
69,3,1024,1.2,30000,0.241458,17.7876,phase1
70,3,1024,1.2,30000,0.235966,18.2016,phase1
71,3,1024,1.2,30000,0.241506,17.7841,phase1
72,3,1024,1.2,30000,0.234916,18.283,phase1
73,3,1024,1.2,30000,0.218582,19.6493,phase1
74,3,1024,1.2,30000,0.216091,19.8757,phase1
75,3,1024,1.2,30000,0.227382,18.8888,phase1
76,3,1024,1.2,30000,0.236739,18.1422,phase1
77,3,1024,1.2,30000,0.21983,19.5376,phase1
78,3,1024,1.2,30000,0.228999,18.7554,phase1
79,3,1024,1.2,30000,0.240163,17.8835,phase1
80,4,1024,1.2,30000,0.418828,10.2547,phase1
81,4,1024,1.2,30000,0.232398,18.4811,phase1
82,4,1024,1.2,30000,0.232596,18.4654,phase1
83,4,1024,1.2,30000,0.210077,20.4447,phase1
84,4,1024,1.2,30000,0.245569,17.4899,phase1
85,4,1024,1.2,30000,0.32839,13.0788,phase1
86,4,1024,1.2,30000,0.235861,18.2098,phase1
87,4,1024,1.2,30000,0.210392,20.4141,phase1
88,4,1024,1.2,30000,0.352567,12.182,phase1
89,4,1024,1.2,30000,0.266633,16.1081,phase1
90,4,1024,1.2,30000,0.297423,14.4406,phase1
91,4,1024,1.2,30000,0.22883,18.7692,phase1
92,4,1024,1.2,30000,0.261712,16.4111,phase1
93,4,1024,1.2,30000,0.293048,14.6562,phase1
94,4,1024,1.2,30000,0.24483,17.5427,phase1
95,4,1024,1.2,30000,0.215106,19.9667,phase1
96,4,1024,1.2,30000,0.253565,16.9383,phase1
97,4,1024,1.2,30000,0.266268,16.1303,phase1
98,4,1024,1.2,30000,0.279418,15.3711,phase1
99,4,1024,1.2,30000,0.236304,18.1756,phase1
100,5,1024,1.2,30000,0.199049,21.5774,phase1
101,5,1024,1.2,30000,0.270321,15.8884,phase1
102,5,1024,1.2,30000,0.27949,15.3671,phase1
103,5,1024,1.2,30000,0.301666,14.2375,phase1
104,5,1024,1.2,30000,0.254911,16.8489,phase1
105,5,1024,1.2,30000,0.306067,14.0328,phase1
106,5,1024,1.2,30000,0.292586,14.6793,phase1
107,5,1024,1.2,30000,0.298594,14.384,phase1
108,5,1024,1.2,30000,0.263727,16.2856,phase1
109,5,1024,1.2,30000,0.287852,14.9207,phase1
110,5,1024,1.2,30000,0.292579,14.6797,phase1
111,5,1024,1.2,30000,0.283463,15.1517,phase1
112,5,1024,1.2,30000,0.288596,14.8823,phase1
113,5,1024,1.2,30000,0.298385,14.3941,phase1
