epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.23603,18.4449,-0.062785,3,16,0.9364,4201.087
1,phase1,1024,1.2,30000,0.219046,19.6479,-0.096464,3,16,0.869,4201.087
2,phase1,1024,1.2,30000,0.308676,14.8006,0.012544,3,16,1.2246,4201.087
3,phase1,1024,1.2,30000,0.368738,11.7489,0.127292,3,16,1.4629,4201.087
4,phase1,1024,1.2,30000,0.368525,11.7454,0.19598,3,16,1.462,4201.087
5,phase1,1024,1.2,30000,0.363675,11.8524,0.238568,3,16,1.4428,4201.087
6,phase1,1024,1.2,30000,0.380698,11.3463,0.27847,3,16,1.5103,4201.087
7,phase2,1024,3.0,30000,0.373641,11.576,-0.477984,3,16,0.5929,4201.087
8,phase2,1024,3.0,30000,0.367016,11.761,-0.470882,3,16,0.5824,4201.087
9,phase2,1024,3.0,30000,0.369456,11.6887,-0.464816,3,16,0.5863,4201.087
10,phase2,1024,3.0,30000,0.372586,11.5472,-0.459402,3,16,0.5913,4201.087
11,phase2,1024,3.0,30000,0.361033,11.9535,-0.456417,3,16,0.5729,4201.087
12,phase2,1024,3.0,30000,0.355766,12.1106,-0.454535,3,16,0.5646,4201.087
13,phase2,1024,3.0,30000,0.354708,12.1693,-0.453041,3,16,0.5629,4201.087
14,phase2,1024,3.0,30000,0.377485,11.4205,-0.449358,3,16,0.599,4201.087
