iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.367641,11.6825,phase1
1,0,1024,1.2,30000,0.239846,17.9072,phase1
2,0,1024,1.2,30000,0.218405,19.6652,phase1
3,0,1024,1.2,30000,0.214937,19.9824,phase1
4,0,1024,1.2,30000,0.233369,18.4042,phase1
5,0,1024,1.2,30000,0.212915,20.1722,phase1
6,0,1024,1.2,30000,0.222355,19.3158,phase1
7,0,1024,1.2,30000,0.233401,18.4017,phase1
8,0,1024,1.2,30000,0.233232,18.415,phase1
9,0,1024,1.2,30000,0.228313,18.8117,phase1
10,0,1024,1.2,30000,0.226352,18.9748,phase1
11,0,1024,1.2,30000,0.219986,19.5238,phase1
12,0,1024,1.2,30000,0.22699,18.9214,phase1
13,0,1024,1.2,30000,0.216546,19.834,phase1
14,0,1024,1.2,30000,0.239869,17.9055,phase1
15,0,1024,1.2,30000,0.235416,18.2442,phase1
16,0,1024,1.2,30000,0.214386,20.0338,phase1
17,0,1024,1.2,30000,0.235437,18.2425,phase1
18,0,1024,1.2,30000,0.268895,15.9727,phase1
19,0,1024,1.2,30000,0.232312,18.488,phase1
20,1,1024,1.2,30000,0.209604,20.4909,phase1
21,1,1024,1.2,30000,0.216601,19.8289,phase1
22,1,1024,1.2,30000,0.207991,20.6497,phase1
23,1,1024,1.2,30000,0.224709,19.1134,phase1
24,1,1024,1.2,30000,0.226588,18.9549,phase1
25,1,1024,1.2,30000,0.216499,19.8383,phase1
26,1,1024,1.2,30000,0.230665,18.6199,phase1
27,1,1024,1.2,30000,0.221843,19.3604,phase1
28,1,1024,1.2,30000,0.222795,19.2777,phase1
29,1,1024,1.2,30000,0.225445,19.051,phase1
30,1,1024,1.2,30000,0.215306,19.9482,phase1
31,1,1024,1.2,30000,0.203521,21.1033,phase1
32,1,1024,1.2,30000,0.205612,20.8887,phase1
33,1,1024,1.2,30000,0.235671,18.2244,phase1
34,1,1024,1.2,30000,0.224141,19.1619,phase1
35,1,1024,1.2,30000,0.203427,21.113,phase1
36,1,1024,1.2,30000,0.218333,19.6716,phase1
37,1,1024,1.2,30000,0.224339,19.145,phase1
38,1,1024,1.2,30000,0.20979,20.4727,phase1
39,1,1024,1.2,30000,0.238031,18.0438,phase1
40,2,1024,1.2,30000,0.218081,19.6943,phase1
