iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.482026,8.9102,phase1
1,0,1024,3.0,30000,0.423541,10.1406,phase1
2,0,1024,3.0,30000,0.340115,12.628,phase1
3,0,1024,3.0,30000,0.33578,12.791,phase1
4,0,1024,3.0,30000,0.315414,13.6169,phase1
5,0,1024,3.0,30000,0.331716,12.9477,phase1
6,0,1024,3.0,30000,0.374816,11.4589,phase1
7,0,1024,3.0,30000,0.335991,12.783,phase1
8,0,1024,3.0,30000,0.340301,12.6211,phase1
9,0,1024,3.0,30000,0.309931,13.8578,phase1
10,0,1024,3.0,30000,0.318814,13.4717,phase1
11,0,1024,3.0,30000,0.327642,13.1087,phase1
12,0,1024,3.0,30000,0.363084,11.8291,phase1
13,0,1024,3.0,30000,0.320374,13.4061,phase1
14,0,1024,3.0,30000,0.34027,12.6222,phase1
15,0,1024,3.0,30000,0.353518,12.1492,phase1
16,0,1024,3.0,30000,0.353315,12.1562,phase1
17,0,1024,3.0,30000,0.351832,12.2074,phase1
18,0,1024,3.0,30000,0.366157,11.7299,phase1
19,0,1024,3.0,30000,0.364211,11.7925,phase1
20,1,1024,3.0,30000,0.331531,12.955,phase1
21,1,1024,3.0,30000,0.335932,12.7852,phase1
22,1,1024,3.0,30000,0.336008,12.7823,phase1
23,1,1024,3.0,30000,0.360408,11.917,phase1
24,1,1024,3.0,30000,0.328031,13.0932,phase1
25,1,1024,3.0,30000,0.341144,12.5899,phase1
26,1,1024,3.0,30000,0.357593,12.0108,phase1
27,1,1024,3.0,30000,0.340969,12.5964,phase1
28,1,1024,3.0,30000,0.353394,12.1535,phase1
29,1,1024,3.0,30000,0.337515,12.7253,phase1
30,1,1024,3.0,30000,0.323163,13.2904,phase1
31,1,1024,3.0,30000,0.328539,13.0729,phase1
32,1,1024,3.0,30000,0.367286,11.6938,phase1
33,1,1024,3.0,30000,0.344585,12.4642,phase1
34,1,1024,3.0,30000,0.357051,12.029,phase1
35,1,1024,3.0,30000,0.372541,11.5289,phase1
36,1,1024,3.0,30000,0.362925,11.8343,phase1
37,1,1024,3.0,30000,0.331671,12.9495,phase1
38,1,1024,3.0,30000,0.340329,12.62,phase1
39,1,1024,3.0,30000,0.312039,13.7642,phase1
40,2,1024,3.0,30000,0.327242,13.1247,phase1
41,2,1024,3.0,30000,0.349842,12.2769,phase1
42,2,1024,3.0,30000,0.336171,12.7761,phase1
43,2,1024,3.0,30000,0.387854,11.0737,phase1
44,2,1024,3.0,30000,0.319097,13.4597,phase1
45,2,1024,3.0,30000,0.344475,12.4682,phase1
46,2,1024,3.0,30000,0.350242,12.2629,phase1
47,2,1024,3.0,30000,0.34014,12.6271,phase1
48,2,1024,3.0,30000,0.366248,11.7269,phase1
49,2,1024,3.0,30000,0.333,12.8978,phase1
50,2,1024,3.0,30000,0.362509,11.8479,phase1
51,2,1024,3.0,30000,0.375393,11.4413,phase1
52,2,1024,3.0,30000,0.368408,11.6582,phase1
53,2,1024,3.0,30000,0.366027,11.734,phase1
54,2,1024,3.0,30000,0.350432,12.2562,phase1
55,2,1024,3.0,30000,0.379638,11.3133,phase1
56,2,1024,3.0,30000,0.344623,12.4628,phase1
57,2,1024,3.0,30000,0.371943,11.5474,phase1
58,2,1024,3.0,30000,0.374807,11.4591,phase1
59,2,1024,3.0,30000,0.333538,12.877,phase1
60,3,1024,3.0,30000,0.350292,12.2611,phase1
61,3,1024,3.0,30000,0.357237,12.0227,phase1
62,3,1024,3.0,30000,0.362603,11.8448,phase1
63,3,1024,3.0,30000,0.36795,11.6727,phase1
64,3,1024,3.0,30000,0.344379,12.4716,phase1
65,3,1024,3.0,30000,0.331585,12.9529,phase1
66,3,1024,3.0,30000,0.370656,11.5875,phase1
67,3,1024,3.0,30000,0.353217,12.1596,phase1
68,3,1024,3.0,30000,0.336231,12.7739,phase1
69,3,1024,3.0,30000,0.340403,12.6173,phase1
70,3,1024,3.0,30000,0.387827,11.0744,phase1
71,3,1024,3.0,30000,0.352981,12.1677,phase1
72,3,1024,3.0,30000,0.331852,12.9424,phase1
73,3,1024,3.0,30000,0.358798,11.9704,phase1
74,3,1024,3.0,30000,0.310155,13.8478,phase1
75,3,1024,3.0,30000,0.357655,12.0087,phase1
76,3,1024,3.0,30000,0.34897,12.3075,phase1
77,3,1024,3.0,30000,0.375988,11.4232,phase1
78,3,1024,3.0,30000,0.379179,11.327,phase1
79,3,1024,3.0,30000,0.370547,11.5909,phase1
80,4,1024,3.0,30000,0.348809,12.3132,phase1
81,4,1024,3.0,30000,0.34075,12.6045,phase1
82,4,1024,3.0,30000,0.322823,13.3044,phase1
83,4,1024,3.0,30000,0.35378,12.1402,phase1
84,4,1024,3.0,30000,0.37507,11.4511,phase1
85,4,1024,3.0,30000,0.353367,12.1544,phase1
86,4,1024,3.0,30000,0.337702,12.7182,phase1
87,4,1024,3.0,30000,0.332519,12.9164,phase1
88,4,1024,3.0,30000,0.348959,12.3079,phase1
89,4,1024,3.0,30000,0.353432,12.1522,phase1
90,4,1024,3.0,30000,0.366084,11.7322,phase1
91,4,1024,3.0,30000,0.324493,13.2359,phase1
92,4,1024,3.0,30000,0.341088,12.5919,phase1
93,4,1024,3.0,30000,0.383549,11.198,phase1
94,4,1024,3.0,30000,0.401766,10.6902,phase1
95,4,1024,3.0,30000,0.362391,11.8518,phase1
96,4,1024,3.0,30000,0.345426,12.4338,phase1
97,4,1024,3.0,30000,0.370599,11.5893,phase1
98,4,1024,3.0,30000,0.366189,11.7288,phase1
99,4,1024,3.0,30000,0.374944,11.455,phase1
100,5,1024,3.0,30000,0.344983,12.4498,phase1
101,5,1024,3.0,30000,0.345889,12.4172,phase1
102,5,1024,3.0,30000,0.323005,13.2969,phase1
103,5,1024,3.0,30000,0.337532,12.7246,phase1
104,5,1024,3.0,30000,0.336067,12.7801,phase1
105,5,1024,3.0,30000,0.384522,11.1696,phase1
106,5,1024,3.0,30000,0.328175,13.0874,phase1
107,5,1024,3.0,30000,0.345184,12.4425,phase1
108,5,1024,3.0,30000,0.345365,12.436,phase1
